,youtube_id,comment,like_num,comment_date
0,boringy,"진짜,,,항상 언니 브이로그 올라올때마다 진짜 선물 받는 늒임,,🥹 진짜 항상 재밌는 영상 올려주셔서 고마워잉,,,언니 위해서 할수있는게 댓글뿐이라 너무 많이 아쉬워ㅠㅠ️",12.0,1년 전
1,userjn4uk5lu4t,언니 진짜 너무 이쁘고 역시 오늘 브이로그도 너무너무 잼있엉,5.0,1년 전(수정됨)
2,userxx8xx9fi9p,언니도 이쁘고 친구분들도 다 이쁘고 끼리끼리 친구구만 ㅠㅠㅠ️️️️️️,2.0,1년 전
3,userwk1md3si4c,세상은 넓고 예쁜 언니들은 많구나. 개좋다.,5.0,1년 전
4,userwk1md3si4c,구독 없이 그냥 보다가 언니가 쭈콩이들 다정하게 불러주길래 쭈콩이가 되고 싶어서 1:17에 바로 구독 눌렀다,3.0,1년 전
5,usergz4tl2gc4u,"나는 태국에서 온 당신의 열렬한 팬입니다.  방콕에서 좋은 시간 보내시기 바랍니다.
    넌 내가 한국어를 배우고 싶게 만들어  넌 내가 이 영상을 보고 싶게 만들어  환한 미소로 보는 사람도 웃게 have a good trip! ꒰⑅ᵕ༚ᵕ꒱˖♡",0.0,1년 전
6,userwy7ik4nv9i,졍말로 옙버.. 웃는거 짖짜 천사각타.. 𝐸𝑛𝑔𝑒𝑙..️,3.0,1년 전
7,usercv1qz5tu9e,"진짜 !~ 행복한 여행이네요!~~
여행 떠나고 싶어요!~",0.0,7개월 전
8,useruf2wx8ov3s,"나두 힐링   된다구요
두번이나 봤는데 또 볼것같아요",0.0,1년 전
9,userxe9tp8pg6q,언니 보고싶었어요ㅠㅠ 편집 쏘 큣..,2.0,1년 전
10,dooeumi9503,해변에서 쓰신 블랭킷들 정보 궁금해요!!! 그리구 다들 왜이렇게 요정같은지..,0.0,1년 전
11,userqi3yf8xj2o,쭈이님 오늘도 영상 잘볼게요,3.0,1년 전
12,GYGYGYGYYYY,Sending all my love from turkey 🇹🇷love you do muchhhh,0.0,1년 전
13,youai245,진짜진짜 오랜만에 행복하구 건강하구 사랑하구 이거 엄청 듣고 싶어요!!! 다음 영상에서는 해주시면 안될까용~?!!,2.0,1년 전
14,MrPom11,제니 귀여워  사랑해요 ️,0.0,7개월 전(수정됨)
15,useret6gy1zc1w,언니 진짜 볼때마다 느끼는건데 오마이걸 지호 달맜어요!>< 오늘도 너무 이쁘고 매력 짱짱이고 영상 보면서 대리만족 하구 가요,5.0,1년 전
16,roun00,"오프닝 BGM이 뭔가 고전적인 느낌이네요.
아 저번  영상에서 말한 머리따기 부분이
여기(3:48)이군요.
역시 흥쭈이
태닝할때도 혹시 지난 영상에서 추천한 선크림 사용하셨나요?
선좋아요 후감상/ 아 그리고 쭈이가 말한 부분 메모.",1.0,1년 전
17,roselineuwizera7033,,0.0,11개월 전
18,julianguyen8991,Wish you could add english sub,2.0,1년 전
19,userwy2bw4zw1u,น่ารัก,0.0,8개월 전
20,chamudisathsarani807,English sub please  ,5.0,1년 전
21,userwy9bq6lb3h,미국 드리마 유포리아에 나오는 알렉사 데미 닮았어요!!!!,0.0,1년 전
22,useruz2qb3fh2j,언닝 렌즈 하루에 평균 몇시간 끼는지 궁그매요 !!,0.0,1년 전
23,jangbona,0:00 모야 시작하자마자 이쁘잖아요?? 선그리 정보 부탁해요,4.0,1년 전
24,usersh8pw4xi1r,똠얌꿍 너무 맛있을거같아요,1.0,1년 전
25,0717,썸넬 검정 선글라스 어떤 제품인가용???,0.0,1년 전(수정됨)
26,soogiboogi,영상편집하실때 어떤거 쓰시는지 알려쥬실수잇나용 ㅎㅎ,0.0,11개월 전
27,montreekulla2767,,0.0,1년 전
28,userdm6rq6mr4v,다시 또가구싶ㄷ아아아ㅏㅇ아아아아앙🥹,0.0,1년 전
29,kentosingapo8888,Vk a,0.0,1년 전
30,dulcemaria4813,"I can't speak Korean! 
Brazilian song 4:08?",0.0,1년 전
31,userhk8mr9rr3r,person or angel,0.0,1년 전
32,userzo2tu5nl6n,검정색 선글라스 정보좀 알려주세요 🥹🫶,2.0,1년 전
33,userzi8uf7mz7i,"11:23 언니 상의,하의 정보 좀 알 수 있을까요?",0.0,7개월 전(수정됨)
34,filthycannabis7610,สวย,0.0,1년 전
35,paulacoelho4727,Eng sub? ,2.0,1년 전
36,userng7cq7cp2j,비치타월 어디건가요ㅜㅜ,0.0,7개월 전
37,juheehonggg,제 수영 실력은 100점 만점에 몇점 인가요?,18.0,1년 전
38,changchukun3218,หน้าเหมือนเจนนี่แบร๊คพิ้งจัง,1.0,1년 전
