,youtube_id,comment,like_num,comment_date
0,useryf2zi1vu4b,멋지십니다냥이 귀여워요,0.0,6개월 전
1,userbl8cg5lm8t,주영밈 영상 볼때마다 저도 언니갖고싶어져요...,6.0,6개월 전
2,byl7377,아 박연진성대모사 개웃갸요ㅠㅠㅠㅋㅋㅋㅋㅋㅋ,5.0,6개월 전
3,nrrr2771,속초 무슨 바다에요? 너무 이쁘네요.. 가보고 싶어요!,2.0,6개월 전
4,userox1br6nf2j,와..우.. 알바중의 한줄기의 빛 ..잘 볼게용 ,1.0,6개월 전
5,usertj8ps4lf3f,인스타ㅜ보고 바로 달려온 늘 영상봐왔지만 ㅜ마지막에 너무 뜨거워ㅜㅜ하는거ㅜ앙칼진거귀여워서 디엠으로 주접 남길까 하다 첨으로 댓 달고 감니다 .. 블러셔 뮤드인지 아니면 술톤인지 모르겟지만 이뻐료 ,1.0,6개월 전
6,cnwosl,첫만남 썰 풀어주세여~~!,42.0,6개월 전
7,userwp4wj7lf8p,엉니 ㅠㅠ 알리 속눈썹 어떤 제품인지 링크 부탁드려도 댈까요ㅠ,1.0,6개월 전
8,yuni3403,댄싱머신때 노래 알려주세요 !!!! 멜로디는 아는데 제목이 생각이 안나서 미치겠음 ..,0.0,2개월 전
9,asdf406782,타다~ 효과음 ㅈㄴ 웃기네,1.0,6개월 전
10,zunroro,마지막 노스페이스조끼 안에 입으신 상의 정보 알 수 있나여!,0.0,4개월 전
11,userek9rk3eh1x,️️🫶,0.0,6개월 전
12,useriz9uv9ol9d,01:07 엉니 여기 카페 오디에여????,0.0,6개월 전
13,userqn2fn3dg6t,겹겹이 케익이군요,0.0,6개월 전
14,heyniig,4:06 바다라 그런가 갈매기 소리가 나네요,2.0,6개월 전
