,youtube_id,comment,like_num,comment_date
0,ddlbgphdbwzjm,지혜님만의 차분하고 자세한 설명의 룩북! 기다렸어요️역시 가을에 찰떡인 너무 예쁜 니트와 아우터 소개해주시네용,0.0,1년 전
1,m0000nriver,"가을은 지혜님의 계절 슬랙스를 좋아하는데 활용한 룩북 많이 보여주셔서 좋아요! 민트니트 영업당하고 갑니다,,🫢🫢",2.0,1년 전
2,userho4zg1dq9d,"처음 알게 된 브랜드인데 예쁘고 가격대도 합리적이라 좋네요 ㅎㅅㅎ
다른 룩북 광고는 사실 잘 안보게 되는데 지혜님은 광고 셀렉을 잘하시는건지,,, 항상 광고도 풀로 보게되고 구매로 이어지는 경우도 많는거 같씁니당ㅎㅎ
니트가 다 예뻐서 니트 지르러 가야게써요",7.0,1년 전
3,sodas4989,지혜님 룩북은 항상 기다려지고 너무 제스탈이에요 ㅎㅎ,0.0,1년 전
4,userbx8kf3ie8t,"대박대박 지혜님 영상이라니ㅠㅠㅠㅠ썸넬만 보고도 감격 그잡채.....아니 어째서 이렇게 고급진 브랜드만 알아오시는거죠....?진짜 올 겨울에 꼭 이곳에서 슬랙스와 재킷 하나 장만하고 싶네요🫶
오늘 영상도 너무 잔잔하니 눈호강하며 잘봤답니다 제 눈에 고급스러움이 흐르는 느낌
환절기에 감기 조심하세요️",3.0,1년 전
5,solev9yl,좋아하는 브랜든데 예쁘게 잘 리뷰해주셔서 구매에 도움이 될거 같아요!️,1.0,1년 전
6,userjt6dz6tc1r,"지혜님️
가을 룩북 넘 기다렸구,,설렌맘으로 봤어요~
브이넥 니트와 슬랙스의 조합이 너무  여리여리 예쁘궁,, 멋있어요
특히,,~쇄골라인 넘 예쁜거 아닌가여
셋업도 쵝오구 마지막 블랙 룩 스커트 조합도 시크하고 예뻐요~
다음 룩북도 기다리고 있을께요~
연휴 잘 보내시고,,항상 화이팅️",0.0,1년 전(수정됨)
7,userep4do9fc6m,"꺅 드뎌 가을 룩북이군요!!!! 기다렸어요
오늘 룩도 기대만큼 넘 이뻐요...",1.0,1년 전
8,memeji818,언니…. 드디어…. 누구보다 기다렸어요 지혜씨 가을 룩북…. 떨린다 …,33.0,1년 전
9,userbn1ht9uc6z,"Look4 -мой фаворит. Сочетание  цвета,фактуры,образов. Замечательно. Весь Ваш гардероб-пример  ,как надо  работать с деталями. ТРИКОТАЖ великолепен.",0.0,1년 전
10,greenkim4731,룩북 찍으시는 분들 중에 제일 깔끔하고 예쁘게 잘 입으시는 것 같아요.. 바로 구독했어요 영상 자주 올려주세요••,0.0,11개월 전
11,suyeon9850,"코디 너무 예뻐서 지혜님 믿고 구매하려구요
05:26 가방 정보좀 부탁드립니다 ㅎㅎ",1.0,1년 전
12,deangdeang2309,으아ㅜㅜㅜ 룩2 너무너무 가을 데일리로 딱이에요🫶 제가 딱 찾던 편하면서도 단정한 그런 느낌!!! 너무 조아효,0.0,1년 전
13,Dearesty,"지혜님 영상 올라왔으니 이제 가을옷 사야겠어요!! 지혜님 영상보고 사려고 기다리고 있었읍니다 풍성한 한가위 보내시고, 건강 챙기셔요",2.0,1년 전
14,userse7vp4vq5g,저는 첨보는 브랜드인데 넘 예쁘고 질도 좋아보여요 소개 감사합니다 🫶,0.0,1년 전
15,janddo,할인쿠폰까지🫶 지혜님 코디 다 이뻐서 얼른 손민수 하러 가야겠구요,3.0,1년 전
16,usersr8sb6jl5w,"저 오늘 딱 언더스탠딩 볼레로 티셔츠 구매하려고 보고 있었는데.. 지혜 님 착장 보니 2번룩 브이넥 니트 슬랙스랑 색감 잘 어울려서 너무너무 예쁘구여 🥹

그건 그렇고 지혜님 너무 오랜만이에요!!! 완전 기다렸어요 ️️",2.0,1년 전
17,uservk3fv1zo7b,언니 룩북 젤 조아요 🫶🫶.. 즐거운 추석 되시구 앞으로두 계속 유튜브 해주세요 🫶 제 최애 유튜버… ,2.0,1년 전
18,userjd2il3xw6j,언니 저 언니 가을 룩북 기다리다가 예전 가을 룩북 다 정주행 했었어요ㅠㅠㅠㅠㅠ  이번에도 잘 볼게요,1.0,1년 전
19,okpark8077,지혜님은 스커트가 잘 어울리시네요,0.0,11개월 전
20,userse3jz3sd3i,언더스탠딩 브랜드 너무 좋아하는데 정말 정말 감사합니다~ 가을 룩북도 너무 기대되요~,0.0,1년 전
21,userzp6zg4mj1g,"지혜님 ,,, 저 며칠전에 가을수트 셋업 실패해서 반품하고 영상만 기다렸어요 마침 또 셋업 소개해주시니까 너무 좋네요 ㅠㅠㅠㅠ 대신 160이라 길이감때매 고민되는••• 그래듀 이번영상도 잘봤어요 다음영상 연휴끝나구 업뎃이면 저 옷 안사고 존버타고 있을게요 ,,,🫶",0.0,1년 전
22,useruc1hd6rq3s,이번 룩북 영상 전부 취저예요ㅠㅠㅠ #4 룩 그대루 구매했습니당ㅎㅎ,1.0,1년 전
23,userij7bn3gj2l,지혜님 넘기다렸는데 추석연휴선물로 짠~하구 나타나 주셨네요️,2.0,1년 전
24,rlaekqls9824,"꺄 지혜님~~~~~~! 너무 기다렸어요!!!!!! 
계속 영상 언제 올라오지? 하며 엄청 기다렸어요 
이번에 가을 룩북으로 오시려나 하면서요!!! 
이번 영상도 감사해요 옷들 너무 예쁘네요ㅠㅠ 
사고 싶은거 한가득.... 
추석이라는 좋은 핑계도 있으니 옷 좀 사야겠어요ㅎㅎ 
지혜님 추석 잘 보내시고, 요새 폭우, 태풍 등 날씨가 장난 아닌데ㅠㅠ 무탈하시길 바랍니다 
일교차가 심해요! 감기 조심하세요️",0.0,1년 전
25,userzo3cz5lg1m,헉 언더스탠딩이라는 브랜드 처음 알았는데 핏이랑 색감 무슨일인지.. 당장 결제하러 갑니당,0.0,7개월 전
26,bunnyminha,기다렸다구요! 젤 좋아하는 룩북입니다️ 오늘도 보고 손민수해야죠><,2.0,1년 전
27,userqe6sp8ud4t,지혜님 룩북이 잘 어울려요,1.0,1년 전
28,usergj7ii4pw8h,기다렸어요ㅠㅠㅠ 어제부터 쇼핑할려고 언니 채널 두리번거리고 있었는데 참고해서 이뿐 코디할게용,3.0,1년 전
29,kkong7,회원가입하고 장바구니 담고 왔어요...!!!!!! 지혜님 감성 메리 추석되세요,1.0,1년 전
30,vanillatte2261,슬랙스로 유명한 언더스탠딩이네요! 공홈이 있는지 몰랐는데 바로 구경하러 갑니다 :),1.0,1년 전
31,userco5wg2mn8x,후.. 존버 성공 !! 졔님 룩만 기다리고 있었다구요!!! 🫶🫶🫶,0.0,1년 전
32,userfy6pr7xk4t,지혜님 너무 기다렸어요!!ㅠㅠ 자주 올려주세용🫶,2.0,1년 전
33,dkjq8905,엄청 기다렸어요오..믿고 보는 룩북,1.0,1년 전
34,userxk4kc9xd5v,지혜님 즐거운 추석 명절 되세요,2.0,1년 전
35,userbv8xn6vv9x,이뻐요 ㅎㅎ,0.0,11개월 전
36,userty9gp9pu9x,여태 룩북 올리신 것 중에 가장 제 스타일 브랜드네요! 혹시 첫번째 니트는 연베이지 바탕이라고 하셨는데 살짝 연그레이빛도 도는걸까요? 영상에서는 그래보이는데 만약 연그레이빛도 돈다면 당장 사고싶어서요️,1.0,1년 전
37,usermd2ii6ml4p,"헐 대박,,, 오늘 언더스탠딩 슬랙스 샀는데 ㅜㅜ 찌찌뽕",1.0,1년 전
38,usersr5bt5qm3o,지혜님 부츠명 알 수 있을까용?! 언니가 추천해주는 가을 겨울 부츠 추천 영상도 보구싶어요..🥹,0.0,1년 전
39,gziok9836,"역시 느므예쀼요,,,",0.0,1년 전
40,userrh1ex4jv9b,언더스탠딩 조셉바지 엄청 고민중이였는데!!! 혹시 밑위는 많이 안기나요??!!,0.0,1년 전
41,youjis2660,"옷이 나무 예뻐용 출근룩으로 딱이에요 ㅎㅎ
지혜님 룩 4가방은 어디꺼인가용?",2.0,1년 전
42,userkz6kk8bm8m,지혜님 기다렸어요…🥹🥹,1.0,1년 전
43,say2956,기다렸어요... 지혜님 룩5에 나오는 가방 정보 알 수 있을까요~?,1.0,1년 전
44,yooooooo7,룩2 가방 궁금해요..,2.0,1년 전
45,useryj5jt7zt7k,"오늘 정말 미쳤네요ㅠㅠㅠㅠ 다 사고 싶어요ㅠㅠ 우선 5번룩구매했어요…1,2번룩도 미쳤네요ㅜㅜ 근데 혹시 2번룩 4cm 굽 로퍼는 어떤건지 알수있을까요?",1.0,1년 전
46,useryp6mq8og6y,이너 니트 색깔 하나만 추천한다면! 어떤 색을 추천하시나요??,0.0,1년 전
47,karakuwa553,今日も1日お疲れ様でございます♪今日は曇りで30℃まで上がりました♪今は蒸し蒸ししています♪本日も素敵な動画をありがとうございました。,0.0,1년 전
48,userxx2cp6zy2v,룩1 신발은 어디 제품일까옹?,2.0,1년 전
49,hwasang5786,룩6 가방 품명 알려주세요~ 넘 이뻐영,1.0,1년 전
50,shshshdhshshh773,지혜님 혹시 가성비 겨울 룩북 준비해주실수 있나요..? 아님 가성비 롱코트 추천 해주실수있을까요 ㅠㅠㅠ 학생이다 보니 가격이 조금 부담스러워용.. 15만원 안쪽으로요ㅠㅠ,0.0,11개월 전
51,jvbretana,Nicehave a great day,1.0,1년 전
52,uservp4qt7vb2h,look3 목걸이 정보 궁금해요!,2.0,1년 전
53,userro4jk1xg8q,내돈내산 영상도 빨리 보고시퍼용 ,1.0,1년 전
54,usernh5rx4kq8s,"11:02 가방 범백인가요? 사이즈, 색깔 알려주세요 ㅜㅜ",0.0,1년 전
55,userhk9lj4qw6d,1번룩북에  반달크로스검정 가방? 정보알수있을까요?  잠깐씩 나오던데..,0.0,6개월 전
56,userdo5ql2wy5w,06:25 에 입은 니트 정보 좀 알려주세요 ㅠ ㅠ,1.0,1년 전
57,yjh2522,5번 착장 신발 어디껀가요 ?!! ,2.0,1년 전
58,userzo3ei3zn9x,룩5에 부츠정보 알고싶어요~,1.0,11개월 전(수정됨)
59,khaixinleong8994,Look1 의 가방 어느 브랜드인거예요?,1.0,1년 전
60,useriy6ur4kn2w,할인쿠폰 벌써 끝낫어요ㅜㅜ,1.0,1년 전
61,sy3549,혹시 머리띠는 어디 제춤인가요?!,0.0,1년 전
