,youtube_id,comment,like_num,comment_date
0,userjy2kc9gt4f,"언니는 너무 긍정적이구 마인드가 너무 예뻐서
제가 더 행복해져요 ㅠㅠ 언니처럼 착한 사람 아니 구냥 피에 착함이 흐르는 사람이 되고싶어요!!",3.0,6개월 전
1,Mrlee0107,"저도 4년쯤 전에 여행가시는거 보고 처음 접했는데요.. 
예전영상과 요즘영상에 대한건 시간이 지나면서 익숙해지고 성숙해지셔서 담담하게 느껴서 그런게 아닐까해요
앞으로도 좋은영상 기대하며 항상 좋은일만 가득하세요ㅎㅎ",2.0,6개월 전
2,zero311,언니 요즘 영상 많이 올려주셔서 완전 힐링그자체..,2.0,6개월 전
3,userjq3to6jw9z,"오래전부터 알고 있었지만 언니 역시 러블리해요… 
영상 많이 올려주셔서 너무 좋아요!! >.<",2.0,6개월 전
4,userle6nr7gf5y,언니 요즘 완전 열일하시네요.. 오래전부터 팬이에용🫶 영상 잘 볼게요!!,0.0,6개월 전
5,Happpy0,"요즘진짜 힐링영상맛집 은송님.. 오늘도 너무너무 잘봤어요🫶🫰
한번 더 보고자야지!!!!",1.0,6개월 전
6,boma,"자기 전, 언니 브이로그 보면서 다이어리쓰고 꿀잠자기!!
최고️🫶",1.0,6개월 전(수정됨)
7,useruu8rb4jo7n,이번주 엄마랑 첫 해외여행으로 후쿠오카 가요!! 물론 유후인도…! 항상 영상 잘보고 있어용 오늘 영상도 최고…,0.0,6개월 전
8,userwv8wv5kx3m,언니 영상 보는 맛으로 살아요 진짜,1.0,6개월 전
9,SONto4ip,mood in 은송님 먹는모습이 아주예쁘군요.,1.0,6개월 전
10,hue2972,이렇게 자주 올려주시면 정말 사랑함미다..️️,0.0,6개월 전
11,userxp8yr6zt1s,"퇴근길에 보기 딱 좋다,,, 하루종일 머리쓰다가 영상보니 머리가 식으면서 힐링되네여 ",0.0,6개월 전
12,useroq9eh5gx1i,"울언니 피곤해서 잠든거 ,,,저야 영상이 자주 업뎃되어 행복하지만 울 언니 절대지켜 무리하지마세욥🫶",2.0,6개월 전
13,useroz3xj8rg9i,언니!!! 중딩때부터 언니 영상 봤는데 저 이제 고3이에요 항상 언니영상 보면서 힐링한답니당..,1.0,6개월 전
14,silverstar9655,언니 사랑해 이틀연속 영상 넘 소중하당️️ 오늘 날 추운데 감기 조심하세용!!! 아 글구 저 언니가 추천해준 3ce 버터크림이랑 어뮤즈 글리터 섀도우 팔레트 중 고민인뎅 뭘 더 추천하세용??,0.0,6개월 전
15,tung8882,은송님이 몇번이고 재방문한 이자카야 이거저거 저렴한 가격에 시켜먹은 이자카야ㅠㅠ바로 옆자리에서 달님찌 만난 이자카야 거기 이름이 뭐죵ㅠㅠㅠ,0.0,4개월 전
16,userpj6vb6zk6p,온ㄴ니.. 베이지 점퍼 엣첸엠에서 사셨다고 했는데 제품명 알 수 있으까요??ㅠㅠ 색 너무 예뻐서 사고싶어요오!!,1.0,6개월 전
17,userhv9gy4ln3i,앞으로 영상들 스포해주세요!! 진짜 촤고 좋아요!!!!!!️,0.0,6개월 전
18,userxk4kc9xd5v,주말 잘지내셨나요,0.0,6개월 전
19,minbroo5039,은송님 !! 미쏘 자켓 사이즈 뭘까용?,0.0,6개월 전
20,userxu6mn6bl4o,은송님! 1번룩 손민수 하려고 하는데 안에 입은 셔츠 이름 - 베이직 오버핏 셔츠 요거 맞나요?!,0.0,6개월 전
21,usersj1sy8ce5h,언니 요즘 업로드 미춌어... 혹시 어디 갇혀서 편집만 하고 있다면 당근을 세번 흔들어죠...,14.0,6개월 전
