,youtube_id,comment,like_num,comment_date
0,userfy7rn9jh5m,"리본이 너무 찰떡이고, 헤어도 너무 예쁜데 그 와중에 메이크업은 너무 매력적이고 예뻐요. 저렇게 강렬한 색이 전혀 안어울려서 더 해보고 싶은데 그러고 소심해서 집밖은 못나간다는. 완다님의 감각은 정말 역시나 최곱니다. 이번 메이크업 튜토리얼도 보고싶어요! 새해 복 많이 받으시고요~!",3.0,8개월 전
1,catlim3587,완다님 헤어 하신 것도 아름다우시지만 앞에 인사 하실때 웃으시는데 너무 아름다우셔서 심쿵했어요./즐거운 연말연시 되세요~,2.0,8개월 전(수정됨)
2,xxxkim,울 완다님도 새해 복 많이 받으시고 건강하시고 좋은일 행복한일만 가득한 한해 되시길 바래요~️,2.0,8개월 전
3,userrz9dz5du9h,요즘 완다쇼에 푹 빠져있는 사람입니다~ 웬즈데이 저두 봤어요~ 새해 복 많이 받으시고 건강하세요~♡,3.0,8개월 전
4,kbelen1650,"완다님 예----전에 올리신 밀크 메이드 블레이즈? 그 헤어스타일 저희 딸들한테 가끔 해주고 있어요.
제가 4갈래 땋는머리는 못 해서 한복입힐 때 아주 난감했거든요. 드레스 입힐 때도 밀크메이드 머리 해주는데 주변 사람들이 머리 너무 예쁘다고 해주네요.
큰 도움 됐어요. 고맙습니다.",2.0,8개월 전
5,userop4xg8vl3d,항상 즐겁게 시청하고 있습니다. 새해 복 많이 받으시고 항상 행복하세요 완다님 ^ ^,2.0,8개월 전
6,jobchae,오늘 메이크업 이뻐요^^,1.0,8개월 전
7,kbelen1650,역시..본업 하실 때 전문가 포스,2.0,8개월 전
8,suhyeonpark7516,요번 메이크업도 올렸어야죠! 완만임 헤어 메이크업은 늘 좋아요,1.0,8개월 전
9,uping2525,완다언니이! 웬즈데이 파티룩에 헤어 연출도 알랴주세여어어 완전 잘어울리실듯 ,1.0,8개월 전
10,userpe5ph3io5i,와 넘 이쁜데 제 머리가 짧네요ㅠ 올한해 덕분에 힐링했습니다 내년에도 잘해봐요 우리♡,3.0,8개월 전
11,userxf4rr2df5r,웬즈데이 저두 봤어요오 춤추고 뭐야 하는거 너무 웃겨서 빵터져써요 춤추는거랑 뭐야 라는거 쇼츠로 찍어도 재밌을거같아여 아담스패밀리 짱잼 브리저튼에 나오는 헤어스타일같은것두 보고싶어요오 아 그리구 오영은 아니구 오은영박사님이예요ㅋㅋㅋㅋㅋㅋ,1.0,8개월 전(수정됨)
12,loveyou79,우와 간만에 헤어영상 잘볼께용^^,3.0,8개월 전
13,usermf9ve4dw7l,"오영은 박사님이라 해서 순간 저도 착각햇어요 ㅎㅎ
뭐 굳이 상관 없는 댓글이지만 적어봣어용 ㅎㅎ오늘 영상 잘보고 갈게용 ㅎㅎㅎ",6.0,8개월 전
14,hee9898,ㅋ언니ㅋ이쁜데....영상보면서ㅋ할수있겠다 이정도는 그랬다가...ㅋ앞머리들어가는거보고 ..포기했어요  역시 언니는 금손,1.0,8개월 전
15,babasy8iz,웬즈데이 저봤어용 ㅎㅎㅎ    저도너무좋아하는데 주위에안봐요 ㅡㅡ ㅋㅋ    블랙무드넘이쁘네용 ㅎㅎㅎ 네일도 요새 검정바르고 그래요   언제나잘보고있어요 ^^   오늘도이뻐요완다님 ~,1.0,8개월 전
16,userlb8qh2hr1i,제머리 숱이 순대 넣는가 만큼 많은데 어떻하죠? 본인머리로 하는 버전도 알랴주셔용 ㅠㅠ,1.0,8개월 전
17,usermh1zy6ze4q,언니 오영은 아니고 오은영 박사님이에요 :) 왜 아무도 댓글에서 말씀 안해주시지... 아무튼 언니 이뻐요️️,3.0,8개월 전
18,Kimph6tf,이뽀~~~,1.0,8개월 전
19,jeong9249,웬즈데이 간략스토리로 봤는데 넘 재미있어서 넥플릭스 다시 구독해야하나 고민중이에요~~ㅋㅋ,2.0,8개월 전(수정됨)
