,youtube_id,comment,like_num,comment_date
0,Nanimiunni,"눈팅만하다 완다님이 캠핑한다니까 이렇게 반가울수가 처음으로 댓글남겨요! 저도 2인캠퍼지만 먹는것에 진심이랍니다ㅎㅎㅎ밀키트보다 요즘 유명한 맛집들도 인터넷으로 판매를 많이하더라구요! 네이버쇼핑에 국민닭갈비(전통맛+야채추가), 공항칼국수(면은꼭 따로삶아서 넣기), 문현곱창전골 밀키트, 나우엔포에버(프렌치렉,제비추리 꼭 숯불에 구워드셔야해요),와룡막창(초벌),도축하는언니네소곱창(양파,부추필수,참소스필수) 하…더 많이 알려주고싶지만 우린 다이어터니까….완다님 캠핑영상 기대할게요️",6.0,1년 전
1,userzy4qk4ul8h,"예전에 김숙씨가 추천해준 레이식당 톳 파스타 밀키트 추천해용!! 제주도에서 엄청 유명한 파스타라고 하던데 직접 가서 먹어보진 않았지만 만들기 쉽고 진짜 맛있어요ㅠㅠ 그리고 음식 비주얼이 무조건 인스타용,,,완전 적극 추천",3.0,1년 전
2,usermh1zy6ze4q,"언니 강릉식 짬뽕 순두부(바른식) 진짜 추천해요!!!! 다른 뭐 유명한 낙곱새,목란짬뽕 맛있지만 진짜 그중 제일 최고였어요! 캠핑용으로 제일 추천드려요!",1.0,1년 전
3,uservw2qq4rx8e,일도 열심히하시고 휴식도 재대로  하시는거 보면 참 부럽습니다~,3.0,1년 전
4,userke2rt6pn6w,언니~ 미트클레버? 에서 나오는 막창도 펜션가서 먹어봤었는데 완전 맛있어요ㅎㅎㅎㅎㅎ 막장소스? 같은 소스도 들어있어서 추천합니당!,1.0,1년 전
5,userbb9qh3bw9g,문현한우 곱창전골도 너무너무 맛있어요!! 몇번주문했는지 기억도 안날정도 ,1.0,1년 전
6,tammyflowergrave6029,"캠핑에서 최고인건
세팅된 용기 채 불에 올리는거요
포장 까서 불에 올려 
다 먹고 빈 용기만 재활용하는거
칼질, 도마 귀찮아 가위만 쓰다가
이제는 아예 세팅된거만 사요
편한게 최고에요",1.0,1년 전
7,hjhalove,자~ 밀키트 나왔구요! 그다음은 또 어떤쇼핑해주실꺼죠 언니?ㅋㅋㅋ 언니랑 하는 쇼핑은 다재밌어요️,1.0,1년 전
8,userbk3gu2ix5d,완다완다님ㅋㅋ^^저두마켓컬리  잘 이용하는데 개꿀좋아요^^ 맛있는것도많고 거기옹심이칼국수도맛있고 다욧도시락 밀키트 샌드위치도 굿이요ㅋ 캠핑도즐기고 일도열심히하는완다님 짱멋쪄요,1.0,1년 전
9,yunjipark1215,마켓컬리는 맛난거 많은데 살때마다 포장지가 장난아니게 나오고 ...한번살때마다 십만원이 넘어서 저는 안쓰지만 주변에서 많이 쓰니 다시 써야하나 생각하고 있어요,1.0,1년 전
10,userlr9pb9nc6n,"카톡 쇼핑하기가면 톡딜에
가끔 뜨는 어묵꼬치 있어요
30개에 만원정도...?
보통은 15000원정돈데
톡딜뜨면 쌈ㅋㅋㅋㅋ
어묵장인 박도경의 부산포차
꼬치어묵.... 이거 맛나요~
안에 육수스프도 괜찮고!!!",2.0,1년 전
11,usergl7qw8ij8q,"완다님  팟타이  진짜 jmt!
굿초이스예요^^",1.0,1년 전
12,userfr3fw6no1m,"캠초보는 꼭 오뎅탕 ㅋㅋ 저는 캠핑 10년 넘었는데...낮에 고기구이, 저녁에 라면 고구마, 아침에 커피 입니다. 캠핑 추천 메뉴는 치킨 시켜먹음 겁나 맛있어요~~~",1.0,1년 전
13,hee9898,ㅋㄷㅋㄷ앗ㅋ캠핑ㅋㅋㅋ밀키트 간단하고 맛있는게 넘많아요...ㅠ 그래서 살이찌는건가ㅠ 캠핑가면  곱창과 양고기..곱도리탕 그런거 넘좋아요~맛있음 기름많이생겨서 집에서 해먹기힘든걸 캠핑가서 하는거쥬~~ 전 쫀드기도ㅋ캠핑가서 구워먹어요ㅋㅋㅋ,1.0,1년 전
14,jooeunlee3159,저도 마켓컬리 무자게 이용하는데요  춘천닭갈비떡볶이랑 마이쉐프 소고기샤브샤브 완전 좋아요. 그리고 떡복기는 석관동떡볶이 맛나구요 식빵은 도쿄마블 데시쉬빵 사보세요,1.0,1년 전
15,userlr7jw1vy7s,언니 디저트도 사가야죠!!! 다쿠아즈 이런거 어떤가요 ,3.0,1년 전
16,bodhi20,이런거 너무 재밋어요 ㅋㅋㅋㅋ!!!!,1.0,1년 전
