,youtube_id,comment,like_num,comment_date
0,staticev,입술이 한개인게 아쉬울만큼 소개해주신 립들이 다 이뻐요,44.0,2개월 전
1,ON3AIR,에스쁘아 립 둘 다 발색 미쳤다...,55.0,2개월 전
2,tw5758,"언니 오늘 립들 다 매트인데도 찰떡이셔요~~ 넘이쁘당 ㅎㅎ 에스쁘아 더슬릭은 진짜 소장하고싶게 만드는듯,,",4.0,2개월 전
3,usercg8kh6zk3v,모든 브랜드 측에서도 구독 누르고 꼭 챙겨봐야 할 유튜브 채널이라 생각합니다. 유트루님이 수많은 소비자 대신 할 말 다 해주심 ㅜ !!,17.0,2개월 전
4,uservl1fo9jt7j,이언니는 표현력이 미쳤당 작가하셔도 잘하셨을듯 구독 누르고 갑니돠,2.0,1개월 전
5,andysmith5218,언니 너무 좋아요.. 언니 특유의 화법과 에너지…<3 영상 몇번씩이나 더봐요 유튜브 해줘서 고마오요,22.0,2개월 전
6,userth4el9vh5o,"온에어에 닉넴 박제 트루버로서 너무 영광이에요
헥토파스칼킥 이라는 밈이 있었는데 닉넴짓는 그날따라 상사를 헥토파스칼킥으로 처리해버리고 싶었어요.... ️
그리고 저 공복에는 infp 밥먹으면 enfp에오",26.0,2개월 전(수정됨)
7,userzx2ps1bf6q,립컬러는 사람마다 다르게 발색된다는 말 완전 대공감해요...저는  파워켜쿨인데요 디올 999 바르면 탁한 벽돌 브라운도는 톤다운 레드로 발색되요...진짜 패키징.립스틱 질감 너무 고급져서 한번씩 바르긴 하는데요 정말 묘하게 안어울리고 얼굴 다크 도드라져 보이고 얼굴 누래보여서 관상용 된지 오래에요 ㅠㅠ 디올 시그니처 컬러라 일단 소장중이에요,4.0,2개월 전
8,chu,트루언니는 참 오렌지 계열 립을 사랑해옄ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 정말 다양한 색을 골고루 사랑하는 느낌,1.0,2개월 전
9,solkang1335,이번 영상 립 다 넘 예쁜...ㄷㄷ 지갑 비상...ㅠㅠㅠ,3.0,2개월 전
10,userst9gw5yd9w,"이날 립도 너무 예뻤지만 라이브 넘 재지났던.. ㅋㅋㅋㅋㅋㅋ
하 언니 라이브 보고싶다",1.0,2개월 전
11,gomsiki,썸네일 너무 이쁜거 아니냐구요,0.0,2개월 전
12,mjp2994,립스틱발색도 예쁜데   입술모양이 예쁘시네요..,2.0,2개월 전
13,youngii8ll,에스티 디파언티  풀발색했을때 트루님  너무 이뻐요..,2.0,2개월 전
14,userlv1xc2ho2f,에스쁘아는 당장 세레나데 물량을 풀어달라아아아아아아아앙아아아아아아아아ㅏ,44.0,2개월 전
15,userzw5nx9qk4h,"영상보다가 문득 깨달은 사실!!!
강빈이가 언니를 닮아서  자기는 공룡꼬리 없다며 매우 슬퍼했군요 귀여웡",1.0,2개월 전
