,youtube_id,comment,like_num,comment_date
0,userxl9gu9mm6y,"트루언니는 항상 목적에 충실한 영상이여서 너무 좋아요,,, 브이로그는 레알 알콩달콩 따수운 세가족의 생활을 볼수있어서 감사하고 광고영상은 딱 구매포인트나 실제 사용기도 알려주셔서 도움도 엄청 많이 되고, 실제로 언니픽은 믿고 쓰니까🥹 그리구 제품리뷰는 그 자체를 왜곡없이 보여주고 언니의견?팁까지 알려주시니 일석이조 (비교를 안하는게 맞겠지만,,다른 유튜버들은 그래서 립리뷰인지 화장법영상인지 비쥬얼 자랑하는 영상인지 갸우뚱했던적이 참 많거든요,,) 장비와 영상편집에 아끼지 않고 투자하는 결과물들을 계속해서 볼수있으니 감사할 따름입니당",126.0,7개월 전
1,m00nchild,장비에 진심이신 트루 언니... 덕분에 호수별로 색상 차이 확실히 느껴져요!!!!,166.0,7개월 전
2,g,이언니는 진짜 장비에 투자 엄청해....... 본디 기초 추천템이랑 그 외에도 추천해주는 주방용품 등등... 추천템 다 대박이었고 색조는 유트루에게 찰떡인게 나와 잘맞는다 / 찰떡인건 나와 안맞는다로 구분했다면 이젠그냥 색감까지 확실히 파악 가능이네....... 다른 유튜버 까려는건 아니고 립리뷰 등 색조 많이 리뷰하는 영상들 중에 색감 보고 사면 전혀 다른 색감이고 그냥 카메라와 조명이 주는 전반적인 분위기같은거에 더 집중하는 영상이 있어서 그런 영상은 색감이 보고싶은 나로선 잘 안보게되는데.... 이언닌진짜....... 돈벌어서 영상에 투자하는 언니옄ㅋㅋㅋㅋㅋㅋㅋ  아물론 주방용품도^____^ 휴 이러니 내가 자꾸 팬심이 생기지ㅠㅠㅠㅠㅠ 아닌가 그냥 믿을만 해서 사는건데 이걸 팬심이라고 생각하는건가??? 팬심이야 믿음이야 모르겠어 무튼 믿고산다 유트루 추천템ㅠㅠㅠㅠㅠㅠ,543.0,7개월 전(수정됨)
3,userwx5te2zp9z,진짜 '리뷰' 취지에 잘 맞는 영상 올려줘서 너무 좋은 언니인데 늘 그랬지만 장비에 투자한만큼 사람들도 그 진심 알아줘서 더더 대박 났으면 좋겠다 진실언니 진짜 좋아요ㅠㅠ,58.0,7개월 전
4,lalaland1091,색조 매장 안 가고 인터넷에서 살 때 유투브나 블로그 리뷰 엄청 보는데 보정이나 조명때매 다 다르면 뭐야 뭘 믿어야 돼 하는데 트루 언니는 그런점에서 색상 확인이랑 설명이 너무 확실해서 좋아요 ㅋㅋ,39.0,7개월 전
5,userho1kl9on7w,카메라 바뀌고 화질 좋아진 거 확 티나요 !! 역시 제품 리뷰는 트루님이 최고.. ,146.0,7개월 전
6,Aegithalos,"와 원래도 트루님 리뷰는 믿고 보는편인데 이젠 진짜 실사색도 잡네..!!!!!!! 넘 좋다요 ㅠㅠㅠ!!!!
그리고 20살이 인모드 한다고 해서 깜짝 놀랐는데 말려주신거 넘나 스윗... 20대 초-중반분들! 시술 성형 그런거 하지 마유~~~ 노화 시작됐을때 충분히 고민해보고 해요! 지금 그 자체로도 얼마나 찬란하고 아름다운시기인데...!!!! ",61.0,7개월 전
7,userku4hu1kb4u,하루하루 실험에 찌든 대학원생인데 요즘 언니 라이브 클립이랑 임신하셨을 때 브이로그 다시 정주행하면서 라디오 처럼 듣고있어요!! ㅠㅜ 언니 덕분에 힘든 하루동안 잠깐씩 낄낄 거릴 수 있는 것 같아요 나중에 꼭 언니 영접할 수 있는 날이 오기를…🥹🥹,22.0,7개월 전
8,userxf4kv1xu8p,와ㅜㅜ진짜 장비투자해주셔서 감사해요ㅠ 덕분에 진짜 차이가 너무 잘보여요 ! 이렇게 투자해서 보여쥬시니 광고를 어찌 넘길수 있겠습니까ㅜㅜ 사는동안 많이 버세요 트루언닝🫶,30.0,7개월 전
9,pyoungmee,언니 정말!! 장비욕심!!ㅋㅋㅋㅋ 그 덕에 더 정확한 립리뷰 볼 수 있어서 감사합니다~,8.0,7개월 전
