,youtube_id,comment,like_num,comment_date
0,userhz6sh2lj5l,화장품에 관심도 없는데 재밌어서 생각없이 그냥보는 이런 매력적인 영상..,479.0,9개월 전
1,minibabe0166,"적절한 토크와 립리뷰를 믹스한 트루언니가 너무 센스있는거 같아요
진짜 언니 영상 알람뜨면 바로 봐요 저의 삶의 힐링입니다.... 고맙구 사랑합니다",90.0,9개월 전
2,usertk5fk2hg7x,"립리뷰인데 썰만 기억에 남아서 
결국 립 다시 보려고 또 보게 되는 영상ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
진짜 언니 넘웃기고 사랑스러워",106.0,9개월 전
3,userbp3yc2iw3k,브이로그 보거나 해도 항상 강빈이 입장에서 납득하고 스스로 선택할 수 있게끔 상황연출을 잘 하시는 것 같아요!!  뷰티영상에서 아몬드업 쓰시는거 보고 테스트 해보고 아몬드업은 잘 안쓸거같아서 6호 샀는데 질감이랑 색깔 너무 이뻐용,39.0,9개월 전
4,hkj3044,"개인적으로 오늘 끝장나는 킬포들...
이거 다시 보러 또 올 거임...️
4:53 극F인 나한테 필요한,,, 끝장나는(?) TJ 마인드,,,
6:19 끝장나는 콩빈이 달래기 스킬️
9:24 (에버 코랄 색상에 대해서) 통찰력 끝장나는 유트루...",41.0,9개월 전
5,usercd5io1ti2p,와 콩빈이 달래는거에서 깜짝놀랬어요 역시 언니야!!!!!  TJ의 논리와 FP의 감성을 동시에 가진 아이로 자랄 것 같아서 콩빈이가 넘므 부럽습니다...립리뷰에서 삶의 지혜를 배워가유,44.0,9개월 전
6,soothingcream,"립리뷰인데 정말 잼잼 
트루님 말대로 이 라인으로
색상 계속 추가해줬으면 좋겠어요
계절별 색상도 괜찮을듯 ~ 
요즘 진짜 브랜드들 뭐가뭔지 라인정리 안되는..",12.0,9개월 전
7,uservt1ng6fr9u,아 언니 이번 클리오 매트립 쿨톤립 다 찰떡이네요ㅎㅎ 그리고 가족토크 너무 재밌어요️,4.0,9개월 전
8,hodoodoo,"이거 아무도 리뷰 안해줄때... 혼자 올영갔다가 발견했는데 진짜 좋아서 홍보하고싶엇는데 기쁘다...!
색깔이 모브나 푸시아라는 이름에는 좀 거리가 있어서 실망하실 수도 있는데 그냥 색깔 자체로는 예쁜색 많아여!",5.0,9개월 전(수정됨)
9,stellajeong3620,립리뷰가 이렇게 재미있을 수가,20.0,9개월 전
10,tessaiw8gs,언니 진짜 저도 infp고 남자친구는 intj인데 두분 이야기 나올때마다 너무 공감돼욬ㅋㅋㅋㅋㅋㅋㅋ,1.0,9개월 전
11,jimini2026,영상보는이유 비중: 립발색 10% 언니썰 90% 오늘도 너무나 재미지다,13.0,9개월 전
12,userur2sh3wn1x,립 리뷰도 재밌는데 간간이 썰 풀어주시는거 보고 이쁜 가족 이다 싶어요 ㅋㅋㅋ,2.0,9개월 전
13,jayjeong6723,저도TJ인데 딱히 숨어있는 뜻 생각 안하고 그냥 대답을 돌려주는거라ㅋㅋㅋ 립 쨍한거 바른 날 누가 쥐 잡아 먹었어??하면 ㅇㅇ 열마리 잡음 맛있더라~ 하고 넘기는데 악의가 없는 사람은 깔깔거리면서 같이 웃고 악의가 있는 사람은 머쓱해 하더라구요.,9.0,9개월 전
14,sooyummy3005,립발색 보러왔다가 TJ 갬성 배우고갑니다 ... ,2.0,9개월 전
15,usertj3fw4qd2l,"와.... TJ 언니를 둔 동생인데요, 이때까지 질문을 하면 대답도 안 하고 가만 있다가 한참 지나서 대답하고 그래서 진짜 마상 많이 입었는데 그냥 생각중이었던 거군요 3n년만에 깨달음",3.0,9개월 전
16,userty5zv8bo5d,"오늘 더현대서울에서
우연히 강빈이랑 실버라인님을 만나서 너무 좋았어여
트루언니도 같이 봣으면 좋았을텐데 너무 아쉬웟어여ㅠ다음에는 꼭같이보고 사진찍어여 유트루님 파이팅입니다!!",10.0,9개월 전
17,youngsh,언니 립리뷰가 제일 좋아요 ㅎㅎ,2.0,9개월 전
18,yebinhong4339,내….내가….진짜…내가 진짜 이래서 언니 라이브를 기다리는 거라구욧!!!!!!핰씨!!!!너무 웃기고 재밌곸ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,4.0,9개월 전
19,kjsally30,언니 2번립 너무잘어울려요!!!!!,0.0,9개월 전
20,13Kcal,언니가 입술 빡 뾱 소리내니깐 우리 고양이가 너무 재밌게봐요,3.0,9개월 전
21,jujung1173,이거 얼마전에 샀는데 립스틱 치규 균일하고 이쁘게 발려서 너무조아요,1.0,9개월 전
22,dongbi1017,아몬드업 넘 예뻐욧♡♡♡,2.0,9개월 전
23,userqz3sl9yh5c,9:30 엄청 예쁜 코랄이 아니예요 뒤에 하아~ 소리땜에 엄청 웃었네요,12.0,9개월 전(수정됨)
24,hyounhwasong6107,"요렇게 재미난 썰 풀면서 리뷰 하는  트루님 앞에서 실버라인님 표정  왕궁금 ㅋㅋ
재미지다 우리와이프 ~♡ 이런 표정이실까",3.0,9개월 전
25,userwm4wd9dx6q,"ENTJ로써,, 다음에 무슨말하지,, 다음에 모하지 너무 공감되네요 근데 일부로 하는게 아니라 그냥 자연스러운 움직임이랄꽈,,",5.0,9개월 전
26,rainbowupsidedown8157,중채도 중명도 잘 받는 가을웜(뮤트인데 갈웜 다 포괄 추정(?))인데 2호로즈넛 진짜 인생 립이예요!!! 질감도 포슬포슬매트 좋습니당 중채도중명도갈웜분들 꼭 구매해봐여,2.0,9개월 전(수정됨)
27,soolee185,"저두 인티제인데, 뭔가 실버라인이랑 많이 다른거같아요 ㅋㅋㅋ 선 긋는거 아닙니다 ㅋㅋㅋ

F비중이 49%라서 그릉가... F비중이 꽤 높긴한데 늘 T로 나오긴 하더라구요 ㅋㅋㅋ",1.0,9개월 전
28,uservf4bs8zx1s,앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이언니 너무 좋넼ㅋㅋㅋㅋ언니 얘기 듣느라 립 색 전혀 안봄ㅋㅋㅋㅋㅋ,1.0,9개월 전
29,sujin89,"틴트 안 쓰고 립스틱만 바르는데.. 이번에 1호, 3호, 6호 예쁘네요!!!",2.0,9개월 전(수정됨)
30,Kimvq3uq,이날 베이스 뭔가요...!!!! 피부 광나고 깔끔하니 진짜 피부좋아보여요 왕궁금ㅠㅠㅠ,6.0,9개월 전
31,adorable0222,뚜두둥 영상보고 올리브영 오특으로 바로 결제 가야쥬~~,2.0,9개월 전(수정됨)
32,y6418,컵오브레드 너무 예뻐요,1.0,9개월 전
33,dogmaster8256,이번 립 잘어울려요 1번이 제일 잘어울리시네요,0.0,9개월 전
34,jmnv7dj,이 영상에서 언니 유독 귀여워욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 나보다 언닌데 진짜 귀여워죽겠넹,1.0,9개월 전
35,RareCL,진짜웃기닼ㅋㄱ콩빈이썰푸는데 말을 진짜재밌게 잘하네여ㅎㅎ,0.0,9개월 전
36,everyonehi9911,천생연분 ♡,2.0,9개월 전
37,juyounglee8248,애들 진짜 웃겨요 ㅋㅋㅋㅋㅋ저희집도 애가 웃길때 많아요,2.0,9개월 전
38,jlaj1767,사랑해요 유진실️,1.0,9개월 전
39,yangang1228,"웅니...신상
롬앤립밤도 해줘요...",10.0,9개월 전
40,usergh3yd2kt7b,하.. 남의 여자를 이렇게 귀여워해도 되냐구요,0.0,8개월 전
41,Yjn,4번 코랄색..전 갈웜인데여 봄웜인듯하게 핑쿠메컵하면 개찰떡이에여,1.0,9개월 전
42,userwn2rh8zq3t,오늘의 립리뷰는~,2.0,9개월 전
43,bellalee5841,TJ공감하고가여ㅋㅋㅋㅋㅋ,1.0,9개월 전
44,userdj8oq8zn3t,눈썹 정리하신거에요?? 모양이 너무이쁜데 궁금합니다!!!!!!!,0.0,9개월 전
45,userki5yv9xy2b,오늘 바른 베이스 뭐에요?? 넘 이버요…,0.0,9개월 전
46,usergrrff,"5,6 예쁘다",1.0,9개월 전
47,zxcsj,vdl 신상 쿠션을 살지 헤라 신상 쿠션을 살지 고민이에요ㅠㅠ,0.0,9개월 전
48,userym6uw6zt1n,,2.0,9개월 전
49,ppleblue9613,9:31 소화된줄 알았어요,5.0,9개월 전
50,shushurang,뭔가... 트루님 이거 바르니까 쉑쉬한 느낌 마여,0.0,9개월 전
51,userzt2pt9kr9c,모브 푸시아 퍼컬 뭘까요..,0.0,2개월 전
52,jepufry,트루님 요즘 모든 영상에 mbti얘기나와욬ㅋㅋㅋ 과몰입하고있는듯,2.0,9개월 전
53,userqp1jf4xi3b,4:41 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2.0,9개월 전
54,usergl5fw5yd5y,왜이렇게웃기지 이사람 ㅋㅋㅋㅋㅋㅋㅋ 킬포가몇개야ㅜ,0.0,7개월 전
55,userhn2kg1dm9w,언커먼......ㅋㅋㅋ 나도 개그인줄....,0.0,9개월 전
56,nagsonm,저도 tj인데 ㅎ,1.0,9개월 전
57,userou1fe4qh7h,꺅!,2.0,9개월 전
58,userzv5ze4fd9c,"2:32 , 11:45",0.0,8개월 전
59,useryr1dp5zz3h,클리오!,2.0,9개월 전
60,syeonee,축구보기 전에 딱 본다,4.0,9개월 전
61,userym6uw6zt1n,ㅂ,1.0,9개월 전
