,youtube_id,comment,like_num,comment_date
0,usersj2me1ry4x,에스쁘아 담당자님이 보고계시다면 에스쁘아의 예쁜 상아색 그 정체성 제발 잃지 않았으면 좋겠어요ㅠㅠ 핑베만 수두룩빽빽인 로드샵들에 휘둘리지 않았으면 하는 바람입니다ㅠㅠ대기업의 힘을 믿어요!! 옐로우 채도가 어느정도 있는 상아색이 잘 맞는 사람은 그만큼 얼굴을 뽀얗게 밝혀주는 색이 없거든요,18.0,10개월 전(수정됨)
1,juyeong0719,"에스쁘아 특유의 상아색 진짜 너무 좋아요.. 전까지는 도자기,깐달걀 같은 잡티하나 없이 100%커버하는 피부표현만 고집했는데 비글로우 쿠션 쓰면서 투명하고 맑은 피부표현에 빠졌어요!!",164.0,9개월 전
2,userjv7cd1ph4s,에스쁘아는 파데 색상 너무 잘 뽑아놔서 진짜 직원들이 자부심 가져야 한다고 생각해요!!!리퀴드 파데만 좋아해서 쿠션 리필 잘 안사는데 에스쁘아는 쿠션이 출시된 이후부터 계속 리필 구매하다 본품도 구매중입니다! 얼마전엔 비글로우 리퀴드도 샀어요,38.0,6개월 전(수정됨)
3,m00ndal,이날 본방을 본 저로써는ㅋㅋㅋㅋㅋㅋ 이만큼 편집하신거 정말 편집자는 열일하셨다 박수 의도치않게ㅋㅋㅋㅋㅋ 커버력 인증까지 한 트루언닠ㅋㅋㅋㅋㅋ,157.0,10개월 전
4,sseeoyun,퇴근하고 브이로그 다 보니깐 새 영상이 !! 이 언니 쉴틈을 안 주네 너무 좋아 ..,32.0,10개월 전
5,songuj2000,편집자님 파데부분 편집진짜잘하셨네여ㅎㅎ 파데만으로도분량폭팔이었던저날 ㅎㅎ,61.0,10개월 전
6,uservb3ku7on2v,에스쁘아 워터스플래쉬 선크림 바르고 뉴클래스 파데 바르면 진짜 얼굴이 반짝반짝하고 하루종일 엄청 맑음이 느껴지더라구여 ,20.0,10개월 전(수정됨)
7,youngjuseo9023,"뉴클래스 쿠션 구매했는데 커버력은 낮은 편이지만(커버력은 컨실러로 커버하자 파) 피부표현, 컬러(22호~23호 사이의 피부라 베이지 사용)는 너무 마음에 들어요!! 다만 저는 지성이다 보니까 건성인 트루언니에 비해선 금방 날아가는 느낌은 있는데 무너짐 이상하지도 않고 피부도 편안하고... 특이하게 단독으로 파우더 처리 안한것 치곤 마스크에선 오래 버틴 그런 쿠션이었습니다 ㅋㅋㅋㅋㅋ 쨌든 요즘 국내 로드샵 기술력 짱입니다. 저 여름~가을엔 비벨벳으로 버텼는데 겨울~봄엔 필요에 따라 번갈아 쓸 것 같아요 ㅎㅎ",18.0,8개월 전(수정됨)
8,eunseojeong2210,진심 라방 역대급으로 숨막혔는데 편집자님 진실언니 숨쉬라고 중간중간 살려주시네요 ㅋㅋㅋㅋ,22.0,10개월 전
9,yurikang3261,언니 믿고 사서 쓰는 중인데 너무 좋아요 ,7.0,10개월 전
