,youtube_id,comment,like_num,comment_date
0,userss4dc4li9c,이 날 초반에 쿠션색상때문에 채팅창 분위기 좀 불편했는데 언니가 넘 재치있고 스윗하게 풀어주셔서 끝까지 라이브 넘 재밌게 봤어요 ️ 파운데이션은 다시봐도 피부표현 넘 예쁘네요......,207.0,8개월 전
1,JAN11,15:14 와 내가 본 트루언니 중에 가장 립 예쁨 분위기가 갑자기 확 달라지고 전체 이목구비랑 피부톤이 갑자기 확 편안 + 고급져지네 ..? 언니 인생템 가세요 !,295.0,8개월 전
2,usertu4re9rm7v,2:05 유트루님 좋아하는 이유.. 단순하게 좋아하는 사람들을 위해 나쁘다는 의견 자제해주세요라기 보단 좋아하는 분들은 기죽지 말고 “어 난 ~~해서 괜찮은데!” 라고 자유롭게 생각하며 의견 내주라는 언니ㅠㅠ 항상 긍정적이고 개방적인 사고가 언니 영상을 더욱 매력있게 해주는 이유인 것 같아요..  사랑해요 언니,226.0,8개월 전
3,gdg1326,"톰포드 음각 유무가 물에 적신 브러쉬로 사용할 수 있는지 여부 보여주는 거예요. 음각 있는 거는 wet brush 써도 되는 것들, 없는 것들은 걍 물에 적시지 않고 쓰기 ️",83.0,8개월 전
4,usernt9kp5iq2h,편집자님 진짜 열일 ㅜㅜ 이 날 생방은 진짜 풀버전 올려조야대.. 너무 재밌었스여 언니 텐션 ㅋㅋ큐ㅠㅠㅠ 넘조아 ️‍,25.0,8개월 전
5,userdb5km2vu7v,누바일 바르고 메이크업 완성된 느낌 너무 찰떡이에요!!,13.0,8개월 전
6,suganatsu,"와!!! 트루님 색조메컵 영상 보고 사고 싶은 충동 느낀거 첨이네요!!! 
트루님 최근에 했던 아이메이크업 중에서 젤 예뻐요
톰포드꺼 구매각 상승하네요 !!! 예뽀예뽀
톰포드가 일을 잘하네 ㅎ",6.0,8개월 전(수정됨)
7,userip2sf7nh7g,가격 ㄷㄷ 진짜 미쳤다요 트루언니 영상으로 구경만 하는걸로!! 만족하겠습니다 ㅋㅋㅋㅋ,26.0,8개월 전
8,ngtop5713,"완성하고 보니 개인적으론 쿠션바른쪽 피부표현이 더 이쁘다 ㅋㅋ
립색상(누바일) 언니랑  찰떡이에요!",38.0,8개월 전
9,hyunkyungnam9739,목이랑 쇄골 바를때 처음에 나왔더 목티가 생각나서 같이울었어요 쿠션 처음에 색이 엄청 밝아보였는데 시간 지나니까 색이 자연스러워졌어요!! 저는 언니 레드립도 잘어율리는거같은데 3번보다 쨍한게 취향… 머리 단발 짱예뻐,31.0,8개월 전
10,useryo9zg9rq8s,"72,000원짜리 컨실러 리뷰가...쥐똥만큼 쓰고 끝나다닠ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ컨텐츠를 위해 투자하는 트루언니 크으",10.0,8개월 전
11,usertf8ci7lt7d,언니 의외로 겨드랑이 쿨 느낌 예뻐요ㅋㅋㅋ확 밝아지면서 선명한 느낌??월풀도 진짜 예전에 천송이립틴트느낌 나면서 짱예에요,29.0,8개월 전
12,leozzang,아 언닠ㅋㅋㅋㅋㅋ 홍조 얘기 하실 때 그라데이션 분노 너무 웃겨요 ㅋㅋㅋㅋㅋㅋㅋㅋ ㅠㅠ 저는 쿠션이든 파데든 언니한테 넘 이뻐보여용..️,8.0,8개월 전
13,geqfhidethp6108,05:09 아 진짜 얍얍얍 밀착 잘 돼라고 여기서 기절 지금 100번째 돌려본느중ㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅠㅠㅠㅠㅠㅠㅠㅠ아 제발 너무 웃곀ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,34.0,8개월 전
14,userqv2re5dx2d,누바일 립 정말 잘 어울리고 트루언니 이번 메이크업 넘 찰떡 고급스러워요,2.0,8개월 전
15,usergf8do3nb9y,블러셔 색 너무 잘어울려요! 립도 너무 이쁘고!!,10.0,8개월 전
16,yrjo7543,"와 누바일 진짜 너무 잘어울려요!!! 
반박불가한 원픽입니다",7.0,8개월 전
17,userfj9fu2pk4y,마지막 립 누바일 진짜 고급지고 예뽀요ㅠㅠㅠㅠㅠ 언니한테 찰떡.....,26.0,8개월 전
18,userlv9vk9py4m,이번에 브들에서 퍼펙팅 래스트 파운데이션이 커버스테인 퍼펙팅 파운데이션으로 리뉴얼 되었다고 하는데 유트루님의 평이 궁금해용,1.0,8개월 전
19,qwert0107338,언니 솔찍한 리뷰 너무 조아여,6.0,8개월 전
20,usersf6cs5zi6l,이날 생방보면서 바로 누바일 구매했었어요 ㅋㅋㅋㅋ 이틀뒤에배송와서 바르고다니는데 진짜 넘예뻐요 좋은제품알려주셔서감사해용,7.0,8개월 전
21,amelie8154,"14:11 오!! 저는 오늘 신경써서 화장해야겠다~ 하면 무조건 블러셔, 립 하나하나 다 발라야한다고 생각했는데 립 색에 따라서 블러셔 유무도 결정하는 거였구나 하나 배웠어요!!",1.0,7개월 전
22,JiwonJaneHa,아니 근데 진짜로 똑바로 잘린 머리가 너무 잘어울려요. 언니.,442.0,8개월 전
23,b2thegoodness,오랜만에 언니영상보는데 ㅎㅎ 텐션 미쳤다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 너무 재밌어요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2.0,8개월 전
