,youtube_id,comment,like_num,comment_date
0,usergu1pv1kr7o,정말 많은도움이됩니다 감사합니다 ㅎㅎ^^,0.0,7개월 전
1,userdr8re5yw1w,"항상 많이 배우고 있습니다.
감사합니다~^^",2.0,7개월 전
2,userdw2wb4tu6m,정말 보는 헤어유투버중 제일 미쳐따...소리나오는분이세요...늘 눈이 즐겁고 설레이는 헤어를 보여주시네요ㅜㅜ흑,2.0,7개월 전
3,userci7bm1ml5r,정말 예쁘고 신세계네요 ㅎㅎ,0.0,5개월 전
4,userpl5rf6hp7k,"영상 항상 감사드립니다
살롱 매출에 정말 많은 도움이 되요.
건승하시고 매일매일 최고매출 찍으세요.",0.0,7개월 전
5,userpz4xk6vc7j,머리 너무 이뻐요!,0.0,7개월 전
6,dhgustj423,많은도움이 되네요. 혹시    끝머리는 산성펌제 라서..  중화제는  과수로  하면  될까요,0.0,2개월 전
7,userdf6iv9fl4j,"안녕하세요 선생님 조금 늘어질꺼 생각해서 조금 작게 들어가신건가요?  18호 20호인데 너무 자연스럽고 이뻐요 ㅠㅠ 
저는 24호인줄 알았어요..!",0.0,7개월 전
8,useruo1jb9mc7y,"자꾸자꾸 영상이 업그레이드 되는 느낌이라 
좋아요~~~",1.0,7개월 전
9,userbw8mb7xk6h,역시 금손이십니다,0.0,6개월 전
10,userwz7wo1lg4g,옆사이드스쿼어로잘라도상관없나요,0.0,5개월 전
11,useryw7qk9ot5m,멋지군,0.0,7개월 전
12,belajarfonny6187,,0.0,5개월 전
13,useryc6sb7ir2w,반가워요 좋아요^^,0.0,7개월 전
14,userky7xr9et7s,이건 뭐 밥을 떠서 먹여주네요 ... 굿굿 !!,1.0,7개월 전
