,youtube_id,comment,like_num,comment_date
0,minyeong5371,저도 코수술하구 2주 정도 되서 계속 이런 모양인건지 괜히 고민 됐었는데 좀 더 기다려봐야 알 수 있겠군용 감사합니다ㅏ 코 너무 이쁘세요 ㅠ,2.0,11개월 전
1,jihyoot9,Lindo ,0.0,11개월 전
2,userms7ps8ii7j,"죄송한데 코끗이 조금만 올라갔으면 더 이뻣을텐데 ...고생하셨어요 
저는 수술한지 4일째 입니다 죽겠슝 ㅠ",0.0,3개월 전
3,Leexs7rs,저 지금 3달차인데 코끝(비주?) 에 붓기 많은게 정상이겠죠?? 묘하게 하기전보다 길어보이고 코봉이 같아서 스트레스 예요 ㅠㅠ 답변 주시면 감사합니다  죽고싶어요 ㅠ,2.0,6개월 전
4,useriy3sb8ml8t,,0.0,11개월 전
5,userce2vu4xz2n,日本から見てますーーー！！めっちゃ好き,1.0,11개월 전
6,userqe8wf1dp5j,1년…. ㅡㅡ,0.0,6개월 전
7,WHORui,안녕 거노거노,0.0,11개월 전
8,userlp5uv1qq1j,하기전이나아요,18.0,11개월 전
9,userlk5vw3dv4s,똑같은데,1.0,5개월 전
10,userdo2sw7hr5l,군대갔어요?,1.0,9개월 전
