,youtube_id,comment,like_num,comment_date
0,howarddewight9673,"40대 아재팬입니다
비욘드클로젯 상의 한벌을 소소하게 구매했는데 오 놀랬습니다 퀄리티가 매우 좋네요!!
아재인만큼 계절별로 한점씩 소소하게 구매하려구요
고실장님 화이팅!",2.0,1개월 전
1,yoonib8714,"처음 런웨이 봤을 때는 창의적인 것 하나 없는, 그냥 본인이 좋아하는 것의 총집합이라고 생각했는데 보다보니 본인이 보여줄 수 있는 스펙트럼을 보여주는 것 같아서 놀랍더라구요 ㅎㅎ 앞으로 나올 것들이 기대됩니다",0.0,1개월 전
2,Snoopy12121,라프가 버질을 인정안한걸 이야기해주시는..비하인드 썰까지 이야기해주시는 유튜버는 여기가 유일.,2.0,1개월 전
3,userfv5ls3wk8p,역대 루이비통에 대한 설명중  가장 정확하고 쉽게 이해할수 있게 말씀해주시네요. 태용백과 레전드,0.0,1개월 전
4,rainbowciel4675,멋지게 나이들어간다는건 정말 가치있는 건강한 노력  두 분 다 존경합니다 ,0.0,1개월 전
5,nursingdori,퍼렐의 루이비통으로 샤넬 남성복의 갈증을 해결할수 있을 것 같다는 부분 공감이 많이 됩니다! 항상 잘 보고 있습니다~,0.0,1개월 전
6,keephustling247,태용백과 덕에 인사이트 팍팍 얻고갑니다! 항상 좋은 영상 감사드립니다 실장님,0.0,1개월 전
7,piljunhuh7217,루이비통에 큰 관심이 없었는데 영상보고 탠 컬러가섞인 빈티지 지갑이나 가방이 너무 사고싶어졌습니다 유익하고 재밌었습니다,0.0,1개월 전
8,useryf8qd5yt3l,너무 도움 되는 컨텐츠에요...!!!,0.0,1개월 전
9,userdp8hm4mc5p,진짜 시간 가는 줄 모르고 봤어요,1.0,1개월 전
10,rainbowciel4675,파자마 라고하기엔 너무 예뻐요   너무 잘 어울리세요!,0.0,1개월 전
11,Kknbnz7ox,루이비통을 엄청 좋아하진 안지만..ㅋㅋ 오늘 태용백과 넘 재밌게 봣어요!! 쇼핑 욕구️‍,0.0,1개월 전
12,usernm3bc2sr8i,와 태용백과 넘 재밌고 유익해요 시간순삭!,0.0,3주 전
13,userdf4oj9gi1t,저는 명품 보고 가끔 이쁘다고 생각은 하지만 구매하고 싶다는 생각까진 안 해봤거든요 근데 버질아블로 루이비통때는 진짜 너무 사고싶었어요 ㅠㅠ,0.0,1개월 전
14,lovelylovedj8vn,"거의 20년전쯤 남친한테 해준 첫 선물이 저 반지갑이였는데ㅋ
제 시대 탑게이는 마크제이콥스
추억돋네요*^^*",0.0,1개월 전
15,userxl6en5qv2u,"어쩌다 컨셉을 프레피 룩으로 하셨는지랑
비욘드 클로젯의 일대기도 궁금합니다~!!!!",0.0,1개월 전
16,userxe3vr7jl5j,아주 유익한 영상이었습니다. !,0.0,1개월 전
17,jaewon06,헉 기다리던 태용백과다 ,0.0,1개월 전
18,suhyunyi5177,재밌게봤어요^^,0.0,1개월 전
19,jacob99,덕분에 야무지게 배워가네요,0.0,1개월 전
20,gd8419,11:28 여기서 입으신 반바지 어떤 브랜드의 제품인지 알고 싶어요!!!!,0.0,2주 전
21,SATOSHI5MA,오늘 착장 넘이뻐요,0.0,1개월 전
22,userpj6ts8ni7h,wow   몰입해서 보았네 ,0.0,1개월 전
23,gangtypo,"루이비통의 모노그램은 '이쁘기 때문에 좋아하는 건가 루이비통이기 때문에 사람들이 좋아하는 건가...'
항상 생각이 듭니다. 너무 ""나 루이비통이야"" 라고 소리치니까 자칫하면 촌스러울 수도 있다고 생각하거든여...",0.0,4주 전
24,milesjeon6299,,0.0,1개월 전
25,ssiba2375,형 파자마 너무 이뻐요,0.0,1개월 전
26,userxe3vr7jl5j,하.. 파자마 진짜 이뿌다. ㅋㅋ,0.0,1개월 전(수정됨)
27,userum8bk8uh3r,,0.0,1개월 전
