,youtube_id,comment,like_num,comment_date
0,userqv4gp9jk5p,"안녕하세요 궁달언니에요~

이번에 부산에서 '마츠나가 히데키'선생의 세미나와 함께 

출간된 커트책을 소개해 드릴께요. [하우펀! 베이직커트]

[하우펀! 베이직커트]는 커트를 공부하고 연습하면서 

궁금했지만 물어볼 곳도 없고 물어봐도 명확한 답을 얘기

해주는 사람이 없어 속이 더부룩 답답했던 분들에게

'까스활명수'같이 속을 뻥 뚫어주는 책이랍니다.

궁달언니가 진심으로 아끼는 책중에

[커트입문], [오카무라커트레슨]과 더불어 함께 보고

공부한다면 커트실력이 엄청나게 성장할 수 있을거라

확신합니다. 커트실력을 한 차원 업그레이드 하고 싶은

분들의 많은 관심 부탁드립니다.

[하우펀! 베이직커트] 출간 기념이벤트

이벤트 기간 
10월 22일~10월 28일 

[하우펀! 베이직커트]를 구매하신 분들중 선착순 30명
강정모원장의 [플랜에이치] 1권 (30,000원) 증정

자세한 설명이 매력적인 [하우펀! 베이직커트] 보러가기
https://naver.me/FWPCJrpl

구매 후 달콤리뷰 꼭 부탁드립니다  

 궁달언니 스토어에서는 국내 최대 미용서적 출판사와

협약을 맺어 신간을 가장 먼저 만나 보실 수 있습니다.

다양한 미용서적과 궁달아이롱, 궁달가위 같은 믿고 구매

할 수 있는 상품들도 준비해 놨습니다.

언제나 궁둥이 여러분을 위해 하나라도 더 챙겨드릴 수 

있도록 노력하겠습니다. 

감사합니다 ",1.0,11개월 전
1,usergl7bb8oq8k,궁달언니가 추천해주신 책들 정말 유익하고 도움이 많이됐어요  감사합니다ㅠ 이책도 구매할게욥!! 바쁘신와중에도 항상 도움주는 궁선생님 췍오,2.0,11개월 전
2,alexj55,커트 실력이 탁월한 것 뿐 아니라 말씀도 너무 재밌어서 자꾸만 보게 돼요.,1.0,5개월 전
3,mononp5rf,"오늘도 잘 봅니다!
공부하는 아름다운 미용인
많으걸 나눠주시는 궁달 원장님 감사합니다 
감기 조심하세요",1.0,11개월 전
4,userhr9zz1gc6i,우왕 영상 너무 도움이.많이돼요!!! ,1.0,11개월 전
5,userzu1xq2jl3g,"주문완료!
오늘도 영상 잘보고 갑니다요^^",1.0,11개월 전
6,janross2596,"혹시 '하우펀 베이직 커트' 책, 캐나다 배송도 가능한가요?",1.0,11개월 전
7,drumNhairshop,오늘도 역시 잘 보고 갑니다.,1.0,11개월 전
8,userrb1ch9os7u,"미용실 위치가 어디인가요?
저도 커트 해보고 싶어요
알려주세여?",1.0,11개월 전
9,userwk6ro6lf7o,"저두언젠가
머리하러가겠습니다 ㅎ
근데
넘멀어요
강원도함오시지요ㅋ",1.0,11개월 전
10,userlr1vv3xf1p,미용도 미용인데 개그도 공부하세요??,2.0,11개월 전
11,userid1vh8iv9w,미용실이 부천인가요?,1.0,11개월 전
