,youtube_id,comment,like_num,comment_date
0,queenbeemo42,It never occurred to me to put seed beads on my nails but they’re sooo pretty! I could even do a Mandela style design with them!,6.0,11개월 전
1,alexandrite9821,you do such cool and inspirational work! I tried your opal technique the other day and got so many compliments. great job and keep it up!!,1.0,11개월 전
2,IrinkaP505,Какая Вы умничка! Такую красоту всегда делаете! Обожаю Ваши работы,2.0,11개월 전
3,AnhNguyenfq6mr,This is amazing!!! I wish you updated more videos in the future soon ,0.0,4주 전
4,Clarissa4o9,Wow! These are creative and beautiful nails ,0.0,11개월 전
5,erinclancy7589,Oh my gosh!! What a beautiful set! Love these so much ,1.0,11개월 전
6,rossapg9880,"Guau... una bella uña arco irís, buen trabajo Zzini ",0.0,11개월 전
7,userhz7sq6qk7d,영상 하나하나 마다 네일이 너무 내취향이라서 하나하나 다 볼생각하니 너무!!! 신난당!!!!,4.0,11개월 전
8,ericmarmarquez6188,Me encantan están hermosas ,0.0,11개월 전
9,userqy7pi9xp7n,очень красиво))),1.0,11개월 전
10,bas4528,네일 제품 정보도  같이  알려 주세요ㅠㅠ... 항상  응원합니다!! 너무  예뻐ㅠㅠ,4.0,11개월 전
11,lilysun1748,you have so many unique designs!! ,1.0,11개월 전
12,CarriedAwayChannel,I love these so much!️,1.0,11개월 전
13,Chedaar,이번 영상은 환공포증 주의가 필요하겠네요..묘하게 알록달록 따개비 같기도 해요 ㅎㅎ,37.0,11개월 전
14,watermelon548,Omg  they are so pretty. You are creative ,2.0,11개월 전
15,simplenaildesigns,Beautiful set ,0.0,11개월 전
16,adrianayebralozano4702,Unas hermosas!! te veo desde México!!,1.0,11개월 전
17,mollylamusulmana,Thank you for the English subtitles!!!,0.0,10개월 전
18,MIMYEONMU,항상 궁금한게.. 팁 붙이실때 핀큐어 버튼은 어떻게 누르시나요??,4.0,11개월 전
19,userlq8bm1od4k,극찐 사랑해 극찐 멋져 극찐 존경해  극찐 대단햇!!! 이번 네일도 취저탕탕ㅠㅠㅠㅠ,3.0,11개월 전
