,youtube_id,comment,like_num,comment_date
0,senzzi,"헐 모야 나다^^!!!!

기우쌤이 불러주신 덕분에 아리따운 머리도 얻고, 너어무 즐겁게 촬영한 거 같아요! 찐으로 행복했답니다,,
 
제 유튜브에 웃참 시리즈도 1~5탄까지 있으니 관람하시면 웃음이 날 것입니다 ^,^
 
앞으로도 예쁘고 웃기고 특이한(?) 영상들 마구마구 올릴테니 많관부 해주세호로롤ㄹ롤로로롤로♡
(다음엔 개인기 더 늘려갈게요.)",383.0,6개월 전(수정됨)
1,yddding,"둘다 웃는 모습이 너무 이쁜데
동생은 눈웃음이 너무 매력적이고
언니는 입꼬리가 너무 매력적이다",109.0,6개월 전
2,purplearoma,미용사를 보고 심쿵한 적은 처음.. .기우쌤 웃는 모습이 되게 멋있으세요!,3.0,1개월 전
3,mikayla9146,She is both adorable and hilarious!,114.0,6개월 전
4,DMC8707,She should be voice performed for the movies. That will be her career future. ,51.0,6개월 전
5,useryn5qi6ke2v,아 웃는 얼굴로 안 변하는 거 이 분이 제일 웃김,365.0,6개월 전(수정됨)
6,ggniubba,your sis is so pretty ! plus i felt so proud when you did the squidward walking sound because i felt like nobody can do it but then you did it it's like you are my friend from the other side of the world xD,16.0,5개월 전
7,gambuel,와.. 자매 두분다 예쁘시고 매력 미쳐따오로로로로로롤,115.0,6개월 전
8,userkj6vr9nv3m,셋이서 오로로롤롤로로로 하는거 너무 웃기닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 귀엽고 무해해,47.0,6개월 전
9,ashlybrown6065,"이센찌님, 그래이랑 엄청 잘어울리세요! 그리고 엄청 이쁘세요.",0.0,5개월 전
10,sonic66646,You two were very cute together!!,3.0,3개월 전
11,jymochii,"Haha, slay with the pigeon trio! Also the filter thing was so funny!",21.0,6개월 전(수정됨)
12,jennymcgraw855,"Great video, so cute! You really do get along well!",7.0,6개월 전
13,userhe3qt1ij5v,아 웃겨~ 자려다가 잠도 깨서 모르겠다 하고 신나게 웃으며 봤네요 ㅎ,8.0,6개월 전
14,Rpwt7uz,Her smile is so cute 🥹,0.0,2개월 전
15,userhazars,"아놔 ㅋㅋㅋ 저도 친구들한테 했던 개인기들인데 ㅋㅋㅋ 
너무 웃겨요 ㅋㅋㅋㅋㅋㅋ",14.0,6개월 전
16,Dohwayun,내가 진짜 열심히보는 채널에 우리겸댕이 동생이...나오다니... 진짜부럽다 센찌야.. 다음엔 나도끼워줘...♡,14.0,6개월 전
17,SeolYoonaLove,매력 미쳤다,40.0,6개월 전
18,briannabirckett,They’re both so gorgeous ,22.0,6개월 전
19,hyuna9211,자매 두분 다 너무 이쁘시댜,7.0,5개월 전
