,youtube_id,comment,like_num,comment_date
0,userxx7iz2uc1p,"진짜 지금 딱!! 필요했던 영상이에용~~><
언니 덕에 코디 걱정 크게 안 하고 이뿐 가을 날 수 있을 거 같아욘 히힣
오늘도 잘 보구 갑니당",0.0,11개월 전
1,soundkz6xo,언니 코트정보말고도 상의/하의/아우터 정보도 올려주세여!!,22.0,11개월 전(수정됨)
2,userwl7wf7mg6l,언니언니!! 진짜 너무너무 잘 보고 있어요!! 제 마음 속 원픽 룩북 온니야 앞으로도 화이팅!!!!,1.0,11개월 전
3,usersr1bc6he4r,"이번 코디 너무 다 ~ 취저에요 언니 ㅠㅠㅠ 짱 !!!
룩6번에 코디하신 신발 정보 좀 주세요 !!!",1.0,11개월 전
4,userev5rd8xk5p,언니 패션 미쳤어요ㅠㅠ 다 너무 이뻐요 혹시 룩 3에서 매신 연보라색 가방 정보 알 수 있을까요?ㅜㅠ 늘 잘 보고 있어요,1.0,11개월 전
5,mingdana6302,언니 코디 너무 예뽀요코트 다 사고프다,1.0,11개월 전
6,useryd6uj5ln9m,언니는 가면 갈 수록 이뻐지시네요🫶,0.0,11개월 전
7,useryn3yr5rb3y,미쳣다리… 언니……… ㅜㅠㅠㅠㅠㅠ 로미스토리 달려가야겠긔.. 혼자갈때는 로미스토리에 이렇게 예쁜옷들이 잘안보이던데… (어맛) ㅋㅋㅋㅋㅋ 근데 언니가 하니까 다이뻐보여용 ㅜㅠㅠ 오늘도 잘봣숩니당 힝힝️️,2.0,11개월 전
8,userml2wf5bp6l,오늘도 잘 봤어용 나중에 나시나 이너티 코디나 소개하는 영상 올려주실수있을까요 넘 이뻐요!,1.0,11개월 전
9,uservr6tb8pk8c,그린컬러 가디건 정보 굼금해요️,2.0,11개월 전
10,userjp3gj9iu7d,5번째 옷 출시될때 까지 존버중.....,1.0,11개월 전
11,userej6pu8mm6p,7번룩에 하신 가방도 알고싶어요!,0.0,11개월 전
12,usermf7xj9tr6j,신발 정보 궁금해용!,0.0,11개월 전
13,eggk4802,룩마다 시간도 함께 링크달아주세요,0.0,11개월 전
14,usercl3ge8nv1j,룩1번 초록색 가디건 어디꺼인가용,4.0,11개월 전
