,youtube_id,comment,like_num,comment_date
0,userkd1tp6mt4l,비건 실천이 생각보다 쉽지 않은데 다혜님의 진심과 노력하는 마음이 느껴지네요! 앞으로 비프로젝트 제품들도 너무너무 기대되요~!! 한번도 사용 안 해본 사람은 있어도 사용하면 계속 사용하게 되는 비프로젝트~~2주년 축하합니다!!,0.0,3개월 전
1,userqj2nb8kc6w,열심히 살아가는 언니를 보면 저도 더 열심히 살아야겠다는 생각이 가득해져요️ 운동하는 언니 너무 멋지구요! 태리는 더더 사랑스러워지네요 ㅠㅠㅠㅠ,1.0,3개월 전
2,sophiaday,"14:35 아닠ㅋㅋㅋㅋ 냅다 고개부터 박고 시작하는 브이로그,, 옆집 언니 같아서 너무 좋아 ㅠㅠㅠ 이거 보고 샴푸 뽐뿌와서 쟁이러 가는 중...",2.0,3개월 전
3,usergf8ve2mr6j,언니 브이로그가 젤 좋아진짜 젤 좋아 따랑해,1.0,3개월 전
4,userld3wr5jw1k,넘 재미써요ㅠㅠㅠㅠ일상브이로그가 넘 재밌는 태리네..ㅋ̄̈ㅋ꙼̈ㅋ̆̎ㅋ̐̈ㅋ̊̈ㅋ꙼̈ㅋ̆̎ㅋ̐̈ㅋ̊̈ㅋ꙼̈ㅋ̆̎ㅋ̐̈ㅋ̊̈ 태리 사랑행 비프로젝트 할인해서 사로감미다~,0.0,3개월 전
5,userck9vu7hk5q,분량 대혜자답,0.0,3개월 전
6,uservx9wv7lz1g,22:50 아 다루온니 내 웃음벨이예욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋ아,0.0,3개월 전
7,khw724,한시간 해줘요.. 왜캐 빨리끝나ㅜㅠㅠㅠ!!!!!!(영상 순삭),5.0,3개월 전
8,kellyoj3wk,언니 분량 실화야? 사랑해,1.0,3개월 전
9,userbl6uk7wb5m,일상브이로그가 젤조아여!,0.0,3개월 전
10,syzu2,태리 보는 낙으로 살아용..🩵,0.0,3개월 전
11,userln4ie3qk9c,오늘은 내가 주인공...! 태리는 언제나 주인공이야,0.0,3개월 전
12,useroy6mm7np7b,사랑스롭,0.0,3개월 전
13,userfc8bj7jd7l,다음주는 한시간일거라 믿어요.,0.0,3개월 전
14,userkt7ok6bg6h,울언니는 힙이 진짜 예술이햐..,0.0,3개월 전(수정됨)
15,useriw9rh2px5z,히히 1빠 달랑무🫶 퇴근길 나이씅,1.0,3개월 전
16,userjz1zm3xs7f,33:24 딸한테도 예외없는 T의 그녀..ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0.0,3개월 전
17,userhp3uf4nj8b,지프차 속상하시겠어요 뭐이런일이..,0.0,3개월 전
18,userxk4kc9xd5v,안녕하세요 처음으로 구독했습니다,0.0,3개월 전
19,haneulee8226,민트반지 어디껀지궁금해요오옹🫶,0.0,3개월 전
20,userck7xh4ql9b,"아놔 ㅠ 유튜브에 김다혜 쳐서 영상 보러 와야하는데 달랑무라 쳤어ㅓ요,, 난 바보 ㅋ ㅋ ㅋ ㅜㅜㅜㅠㅠ
(구독초창기에ㅜ했음요 !!! 오해 노노 ! )",0.0,3개월 전
