,youtube_id,comment,like_num,comment_date
0,userom8yf7fz9v,언니 브이로그 진짜 핵잼… 최근 언니의 활발한 유튭 업로드와 동시에 빅재미를 깨달았숨다…… 모두 달랑무하세여!!!!! 브이로그고 뭐고 다 챙겨보세요!! 진짜 웃겨죽으니까 ㅋㅋㅋㅋㅋㅋ ,10.0,10개월 전
1,JRlm6eo,"이 영상보고 일본 더 가고싶어졌어요...☆☆☆☆
다혜님은 얼굴은 새침공주 같으신데 성격이 반전으로 너무 재밌으셔서  더 좋아요ㅋㅋㅋㅋㅋㅋㅋ♡",8.0,10개월 전
2,yun9820,"아 언니 영상 보면서 너무 기분 좋아졌으,,
행복해 증말 언니 초반 영상에서는 볼 수 없는 자유로움ㅋㅋㅋㅋ언니 그잡채 이런 언니의 그대로를 볼 수 있어서 더 재미있고 좋아여🫶
4:47 입은 작지만 큰 하품증인 조미띠 졸귀🫶",3.0,10개월 전(수정됨)
3,userhj1zv8op1v,일본 너무 뽐뿌 ㅜㅜㅠㅠㅠㅠㅠㅠ ️️️️,3.0,10개월 전
4,usergx7cj6mk2f,"일본 개설렌다,, 행복 별거 없네요 영상만봐도 행복️",3.0,10개월 전
5,userld3wr5jw1k,"반하다에 이어 조지다까지,,,, 다혜님은 무슨 조합도 최고구만요 육퇴하고 본 일본여행 ㅠ 애기 낳기 전 결혼도 하기 전에 칭구드라 우리 일본여행가자 했는데 코로나가 터져서 못 가고.. 그 뒤로 코로나와 함께 결혼 그리고 계속 코로나와 함께한 임신 출산 육아까지 ㅋ 이젠 애기가 있어서 언제 일본여행 갈 수 있으까요 ㅠㅠ ㅠㅠ 엉엉",1.0,10개월 전
6,skyblue9426,日本に来てくれてありがとうございます！楽しい動画でした！,0.0,10개월 전
7,malrangdungi,"나 달랑무 넘모 행복하다
개인적으로 여행 브이로그 너무 좋아요><
예뻐요 언닝",2.0,10개월 전
8,userck9vu7hk5q,"조지다 영원히... 영상 진짜존잼ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
밥먹으면서볼려했는데 웃겨서 못먹어써욬ㅋㅋㅋㅋ",1.0,10개월 전
9,kne7959,아 다혜언니넘죠아ㅠㅠㅠㅠㅠㅠ언니왜케웃기구귀엽구이쁘구다해..... ,0.0,10개월 전
10,sungminyang6093,완전 대리만족..!!!!♡♡♡♡,0.0,10개월 전
11,Jadooooooooo0,"행복해요 다루 언니 덕분에..
언니 행복만 해요",0.0,10개월 전
12,userkx1et1oi6j,조지다 다 사랑해….,2.0,10개월 전
13,Kofficial,곧 오사카가는데 공부 잘 하고 갑니다^^,0.0,10개월 전
14,userzo6hv8uw2f,반하다는 직장에서 만난 찐친느낌이라묜 조지다는 고딩친구느낌 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,15.0,10개월 전
15,userkt7ok6bg6h,언니 맨날 여행가주세요,2.0,10개월 전
16,kaisong674,Pretty video ️,0.0,10개월 전
17,userrs1op2sq6r,"영상보면서도 와~~ 와일본~~ 부럽다 만 하고있는 달랑무1인,,",0.0,10개월 전
18,userkv7ul1np5o,마아오빠닼ㅋㅋㅋㅋㅋㅋ유투브로 보니깐 신기해늉,0.0,10개월 전
19,zungw,행복 별거 없다~!~!~!,2.0,10개월 전
20,userww6fw2xe1o,꺄악 ,1.0,10개월 전
21,byoung9928,"어딜가나 딸 생각,,🫶",1.0,10개월 전
22,useryq1vw3yr6y,언니 강아지용품점 주소 알수있을까요?ㅠㅠㅠ,1.0,10개월 전
23,leedaasol,여행가자 .. 담주에 ..,0.0,10개월 전
24,userlz5ok2ws8r,"유플러스 로밍 얼마정도 들었나요!?,,",0.0,9개월 전
25,djmayah1478,개꿀잼. . . . 영상,0.0,10개월 전
26,userjy4gj7jn9x,언니이 ㅠㅠ 혹시 정장룩에 입으신 정장 자켓이랑 치마 정보 알 수 있을까요 ㅠㅠ,1.0,10개월 전
27,tarsitanik7040,Selamat siang mbaku kekasihku sayang dan ️️ c i n t a k u untukmu p a c a r k u di seberang lautan.,0.0,10개월 전
28,userjx8gs4dz3w,친구들아 닥터래시오 먹어보셈 진짜,0.0,10개월 전
29,tarsitanik7040,A k u ️️ c i n t a padamu mbaku kekasihku sayang.,0.0,10개월 전
30,tarsitanik7040,Selamat malam mbaku kekasihku sayang dan ️️ c i n t a k u untukmu sayangku.,0.0,10개월 전
31,uservg3mq7yd2j,헤드셋정보좀요!,1.0,10개월 전
32,userlk7xh3tk4s,기내에?커피를 들고들어갈수있어요?,0.0,10개월 전
33,masa9596,こんにちは,0.0,10개월 전
34,userjx8gs4dz3w,친구들아 닥터래시오 먹어보셈 진짜,0.0,10개월 전
