,youtube_id,comment,like_num,comment_date
0,usereu6sr8ie1o,"헐 앞머리 자를까 말까 엄청 고민하다가
결국 몇가닥만 잘랐는데!! 이거 보자마자 바로 결제했어용!! ",3.0,8개월 전
1,yerimingming,앞머리있으니깐 진짜 인형같아요 ㄷ,21.0,8개월 전
2,userqx9kb1zu2v,너무예뻐요,3.0,8개월 전
3,userqe6sp8ud4t,"선우님 너무 예쁘십니다,",9.0,8개월 전
4,jellyfish686,美しい髪です(⁠◍⁠•⁠ᴗ⁠•⁠◍⁠)⁠,0.0,8개월 전
5,hjs1170,선우님! 얼마전에 선우님 닮은 예쁘신분을 삿포로 스타벅스에서 봤오요. 일본st 메이크업도 잘 어울리실 것 같은데 나중에 찍어주시면 어떨까요!?? 정말 선우님이랑 닮아서 신기했습니당 ㅎㅎㅎ,0.0,7개월 전
6,userte4xn5rm1i,선우님 렌즈 뭐 끼셨는지 너무 궁금해요 !!!!!,2.0,8개월 전
7,userxk4kc9xd5v,선우님 즐거운 설명절 되세요,0.0,8개월 전
8,bidaaahmed399,️‍️‍️‍,0.0,8개월 전
9,lucia4337,오늘 인스타에 올리신 사진들(제주) 찍으실 때 폰기종 뭐 사용하셨나요?? 꼭 알려주세요ㅠㅠ ,1.0,8개월 전
10,Danjo7jg,렌즈랑 립정보 너무 궁금합니다 ㅠ,1.0,8개월 전
11,jenniekim9352,고대기 어디껀지 알수있을까요?,0.0,6개월 전
12,userxt6yr9gz2r,홀 커트안해도 자연스럽네요,2.0,8개월 전
13,useroj5eb5fz6i,"2:21 웅니가 더 귀여어🥹

5:11 농협은행..♡",0.0,8개월 전
14,usergg3fv5ss2p,"선우 씨 너무 예뻐요^^ !!!!
전 앞머리 있어요",0.0,8개월 전
15,gouripaul9163,Can you add eng subtitles? Please,1.0,8개월 전
16,sumin1066,모자 구매처 궁금해요!,1.0,8개월 전
17,hyo883, ,2.0,8개월 전
18,farah5378,,1.0,8개월 전
19,usersm6pk2gq8r,선우님! 렌즈 궁금해요!!,2.0,8개월 전
20,userjb6hp6tw1w,우왓^^ 금방 또 왔네여 ㅎㅍㅎ 신기한 가발,0.0,8개월 전
21,SONto4ip,김선우 SUN WOO님 아주예쁘군요,1.0,8개월 전
22,son7339,누나 사랑해요,0.0,8개월 전
23,istp00,언니 렌즈 뭔가유 ㅠㅠ..,1.0,8개월 전
24,astrid2305,,0.0,7개월 전
25,userbm7yp3hm9h,볼레로 어디건가여,0.0,8개월 전
26,gggjeuu,이게 무슨일이람 이번주에만 영상이2개나!!!!!!!?,0.0,8개월 전
27,userrd3zu5iw4c,렌즈뭐에요?,3.0,8개월 전
28,namjooda,나!! 자르고시포!!,1.0,8개월 전
