,youtube_id,comment,like_num,comment_date
0,userkw3zp1yr4k,"오늘 영상 텐션 장난 아니예요!!ㅋㅋㅋㅋㅋㅋ
러쉬 슈퍼마리오 콜라보 자체를 몰랐는데 진짜 신박하다!!
어떻게 그런 생각을 했을까요?! 인기 많을만 해요!!ㅋㅋㅋㅋㅋㅋㅋㅋ
예전 일본여행 갔을때 러쉬 가서 쓸어왔었는데 언니 영상 보니까 완전 추억돋아서 또 가고싶어져요
조만간 꼭 가야지!!!!
다음 일본 여행 코스는 언니 영상 돌려보면서 맛집부터 쇼핑까지 다 정해야겠어요",6.0,4개월 전
1,ludwigvanbeethoven5401,"오늘따라 더 더 너무 예쁜 습습님 ,,
그리고 너무 보고싶었어요ㅜㅜ
토요일 9시만 되면 마법처럼 딱 나타나는 습습님 너무 좋아요..!! 이 시간이 항상 즐겁고 행복하고 기다려진다는 거ㅎㅎ
습습님도 행복한 날로 가득하세여🫶",0.0,4개월 전
2,honoka5725,"언니 토교 출장에서 아주 재미있게 보낼수 있었던 것 같아서 저도 너무 기쁩니당
그리고 오늘 헤어 스타일이 너무 예뻐요!!!!",1.0,4개월 전
3,ssoyeoniii7116,"너무 귀여운것들 잔뜩아닌가요!!!!!지나가다가 쿠로미만 보면 습습님 생각나여ㅠㅠㅠㅠ저도 산리오나 귀여미템 너무 좋아해서 영상보다가 일본 비행기 급 결제할뻔했어요,,영상으루 대리만족해봅니당>_< 특히 마리오 배쓰밤 너무 신기해요ㅋㅋㅋ",0.0,4개월 전
4,useryf9pt3pz2s,언니 일본 여행 브이로그나 하울 영상 정말 너무 재밌어요…,0.0,4개월 전
5,kangjamie6059,오늘 영상 보니까 또 일본여행 가고싶어졌어요ㅋㅋ큐ㅠ 저때 언니 추천템 많이 사고 싶었는데 제품들이 많이 안 보여서 가글 밖에 못 샀었나...? 암튼 그거 넘 신기해서 친구들한테도 써보라고하고 더 많이 살걸 좀 아쉬웠어요! 담에 또 일본 여행가면 그땐 더 많은 추천템을 꼭 사고 말거예요...! 또 가챠하니까 저도 가챠샵에서 10번 가까이 했는데 정작 원하는 템은 1도 안나와서 돈만 날린... 언니의 가챠템 보니 맘아픈 기억이 생각났네요 오늘 영상도 잼게 잘 봤어요️️️️,0.0,4개월 전
6,mychaeyeony,습습웅니 리본 넘 잘어울리시는거 아닌가요오 완전 리본곤듀님동전지갑 진짜 너무 이쁘네요ㅠ🥹직원분의 동전지갑 영업실력에 감탄을 했어욬ㅋㅋㅋㅋㅋ크으 전 헬로키티 동전지갑에 이어폰이랑 새콤달콤 넣어다니는데 이어폰 쓸때마다 기분좋고 흠집도 안나고 좋더라구용🩷 10:02 습습웅니랑 컾흘템..이건 못참즤요,2.0,4개월 전(수정됨)
7,jjiniyya,오늘 머리 리본 너무 귀여워요!! 습습님이 사신 아이템들 다 습습님처럼 귀욤뽀작하네요 러쉬 우리나라에도 다양한거 많았으면 좋겠어요 ㅎㅎㅎ,0.0,4개월 전
8,userxq9tm6ov7b,영상 키자마자 언니 머리 너무 귀여워서 심쿵!! 이번에 사온 아이템들 한국에서는 보기 힘든 산리오템들이라 영상보는내내 눈이 완전 즐거웠어요🫶🫶 파우치도 넘 기엽꾸우!!!,0.0,4개월 전
9,userhv1nq3vv2c,헐ㅜㅜㅜ 진짜 너무 귀여워요ㅜㅜㅜ 산리오 덕후로서 더더 힐링되는 영상이었어요! 일본 여행 가게 되면 꼭 다 사올 거예요 오늘도 재밌고 유익한 영상 올려줘서 고마워요 습습언니️,0.0,4개월 전
