,youtube_id,comment,like_num,comment_date
0,ludwigvanbeethoven5401,"습습님!! 오랜만이에요ㅜㅜㅜㅠ
일주일마다 보는 거 똑같은데 이번 주는 왜 더 습습님 영상 기다리는 게 힘들었는지 모르겠어요,, 습습님 영상만 보면 그냥아무 이유 없이 기분이 좋아지고 언제나 힐링이 돼요!! 보고싶었어요.. 15분이라 짧지 않아서 너무 좋아요ㅎㅎ 항상 응원할게요!!!",8.0,6개월 전
1,freshable5869,안녕하세요 습습님! 룸 인테리어 하신 것 보고 넘 놀랐어요!! 앤틱하면서도 공주공주한 느낌이 가득이네용️ 제가 어릴적 상상하던 동화 속 러블리한 공주방이에요 저도 취업하고 독립하구 나서 이런 분위기로 꾸며보고 싶네용 ㅎㅎㅎ좋은 구경했슴니다아!!,0.0,5개월 전
2,seoyoungbosoup,언니 랜선 집들이 영상 넘 기다리구 있었는데 룸투어 영상!! 이번에도 완전 공주방️ 가구도 다 예쁜데 특히 샹들리에 조명이 너무 예뻐용 다음에는 하우스투어도 시켜주세여ㅎㅎ 언니 영상 보고 육회 넘 먹고 싶어졌어요,2.0,6개월 전
3,userls6fx3qx4y,"헉...언니 너무 이뻐요 ㅠㅠㅠ!!!
진짜 룸투어 영상 제가 너무 좋아해요 !!(랜션 집들이 ︎︎) 제가 언니 초6때 알게됬는데 벌써 고3이 되었어요 ㅠㅠ 개학하고 너무 힘들었는데 언니 영상 보면서 힘을 얻을 수 있어서 감사해요!! 얼른 언니가 해주시는 얘기 듣고싶네요 
이번주도 수고하셨어요 습습언니 사랑해요",1.0,6개월 전(수정됨)
4,usermk9yh7of1v,헉 언니 집 진짜 너무너무 이뻐요 나중에 독립하게 되면 꼭 언니처럼 방 예쁘고 제 취향 가득한 물건들로 방을 채워보고 싶어요,11.0,6개월 전
5,userju8bd2cr3q,룸투어 영상 너무 좋아요ㅠㅠㅠ 습습님 새로운 집에서도 항상 행복하세요:) 사랑합니당,0.0,6개월 전
6,userbd4cg7oy1s,めちゃくちゃ綺麗なお部屋で素敵です,1.0,6개월 전
7,userew2jm1nu9d,"ほんとに理想なお部屋
第2弾も楽しみです",1.0,6개월 전
8,jjiniyya,습습님이랑 바비랑 찰떡으로 잘어울려요️️️ 육회비빔밥 나중에 먹어봐야겠어요 ㅎㅎㅎ 역시 습습님은 공주가 어울려요~,0.0,6개월 전
9,userkw3zp1yr4k,"인테리어 포기한지 오래됬는데
항상 집에 맞게 언니 스타일대로 인테리어 척척 완성해나가는거 보면 너무 신기해여!!
나중에 인테리어하는 꿀팁?! 가구배치를 어떻게 하면 좋은지도 풀어주세요

바닐라코 오리지널 타입밖에 없을때부터 써왔는데 세라마이드 타입이 나온진 몰랐어요
더 추운 겨울에 알았으면 완전 잘 썼을 것 같은데 아쉽당ㅠ
바닐라코 클렌징밤 원래 쓰고있는데 바비 컬렉션에다가 헤어밴드도 준다?! 근데 오늘 오늘의 특가다?!?!?! 그럼 바로 사야져!!! 달려가야지️️

무슨 근황이길래!! 이렇게 끝나면 아쉬워요 아쉬워ㅠㅠ
자지 말구 얘기해줘요~!~!~!!!ㅋㅋㅋㅋㅋㅋㅋ",0.0,6개월 전
