,youtube_id,comment,like_num,comment_date
0,JIYUKIM,"이렇게 보니까 매일 먹기만 하는 것 같운데...... 저 다이어트 언제하죠 쮸링이들 ㅠㅠ
The subtitles will be uploaded soon.
もうすぐ字幕がアップされます。",8.0,7개월 전
1,glivette,Qué bonita pareja!  deberían hacer tag de parejas,0.0,7개월 전
2,userie8pq3sl3z,"언니 진짜 세상 귀염뽀짝 ,, ",0.0,7개월 전
3,userky9zr5tr8k,"지유님~~예쁘고 너무 착하세요
항상 응원합니다^^",2.0,6개월 전
4,RAhn2yq,Her vlog is so relaxing,0.0,7개월 전
5,Creambuldak,"세상에 이십분이 왜이리 빨리가죠?! 귀여운 커플,,, 나중에 룸투어도 보여주세용🫶️",4.0,7개월 전
6,vlog8852,겨울에 떠나는 캠핑도 분위기 있고 좋네요 미피 도넛 케이크도 귀여워요!,0.0,7개월 전
7,karakuwa553,本日も癒されました♪可愛いすぎます♪次回も楽しみに待ってます♪,1.0,7개월 전
8,SONto4ip,김지유 JIYU KIM님 먹는모습이 아주예쁘군요.,6.0,7개월 전
9,userlw7tp5vx3n,"日本語字幕ありがとうございます！
かわいい大好きです！",0.0,7개월 전
10,itsmelds1,I just wish there's English sub. I'm trying to learn Korean but I'm still a total newbie.  Fan from 🇨🇦,0.0,7개월 전
11,fine8337,"オンニかわいすぎます
次も楽しみにしてます！！",1.0,7개월 전
12,userrz9lh6eb6c,언니 화장하실 때 입으셨던 상의 정보 궁금합니다.. 넘 예쁘셔요 ,0.0,7개월 전
13,Money7mk,귀여워 ㅠㅠ 사랑스러움 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ 은색 가방뎡보 궁금해효,0.0,7개월 전
14,userku1lm3kc9s,감사합니다 유튜브 잊지않고 열심히 업로드 해주셔서 감사합니다 꾸벅,2.0,7개월 전
15,userqe6sp8ud4t,지유님 브이로그를 잘 볼게요,1.0,7개월 전
16,nandakomalasari2414,Please add english sub jiyu eonni,1.0,7개월 전
17,jhoyboquete9525,"Please add English subtitles.
Thank you..",1.0,7개월 전
18,usernt8id8vj6j,즐거운커플♡,0.0,7개월 전
19,userwj2od8nk7j,펠리컨 지유 엉니 사랑해요..,0.0,7개월 전
20,userbu1mr4dx4v,마스크핏 쿠션 어때욘?? 궁금궁금!!! 촉촉인지 아니면 매트 한지요!!,0.0,7개월 전
21,simyoga,텐트 걸어올때 지진났냐곸ㅋㅋㅋㅋㅋ,0.0,7개월 전
22,userhe2qn7wp2s,바지 정보 궁금해요!,0.0,7개월 전
23,TVlv8py,지유님 카메라 어떤거쓰시나용?!,0.0,7개월 전
24,ffrr277,There is no translation,0.0,7개월 전
25,usertg1xk7sg9x,내 머리 뭐임..?,4.0,7개월 전
