,youtube_id,comment,like_num,comment_date
0,userqe6sp8ud4t,"나나님 봄준비 완벽하네요 
좋은 영상 감사합니다",0.0,5개월 전
1,kkong7,두분 코디 너무 예쁘네요 진짜 워너비 벌써 코디에서 여름느낌도 조금씩 느껴지는거 같아요!! 옷에 달려있는 르웰텍 너무 고급져요🫢 오늘도 잘 보고갑니다!,0.0,5개월 전
2,SONto4ip,나나Nana님 봄 데일리 룩북이 너무 잘 어울리시네요.,2.0,5개월 전
3,userbj8qc9te1v,"두분 코디가 너무 예뻐요 
여름이 느껴지네요 
오늘도 잘 보고 갑니다",0.0,5개월 전
4,userbj8qc9te1v,나나nana님 봄 데일리 룩북이 너무 잘 어울리시네요,0.0,5개월 전
5,dba2202,꺅 안그래두 언니나나님 출산 소식 이후에 기다렸는데 이렇게 빨리 나오시다니.!!!!! 보고싶었어요🥹,0.0,5개월 전
6,userbj8qc9te1v,"나나님 브이로그를 잘 볼게요,
코디가 너무 예뻐요",0.0,5개월 전(수정됨)
7,useryt9cc8ej5k,잘 어울리고 멋지네요♡,0.0,5개월 전
8,userbj8qc9te1v,잘 어울리고 멋지네요,0.0,5개월 전
9,minchoi4800,나나님 벌써 봄준비 완료 했네요! 저도 이번 벚꽃놀이 옷 르웰로 정했습니다 옷이 얇아져서 다이어트도 같이 하고 있네요..️️,0.0,5개월 전
10,ttawu,반팔 트위드 자켓이랑 블루종 왜케 이쁘죠...🥹,0.0,5개월 전
11,laurentz1wr,나나님! 혹시 첫날 입으신 로지자켓 어깨 패드가 있을까요????!! 너무 예뻐서 사고 싶네욯,0.0,5개월 전(수정됨)
12,rabbitkim4883,Very good,0.0,5개월 전
13,mongmori3982,오프플레어 스커트는 비침이 심한가요?ㅠ,0.0,5개월 전
