,youtube_id,comment,like_num,comment_date
0,kkong7,나나님 영상 보니 겨울도 기대가 돼요️ 착용하고 쇼핑하러 간 옷들도 너무 예쁘고 자라에서 보여주신 옷들도 너무 예쁜🫶 더보기란이며 영상에도 자세한 정보까지 너무 친절하셔요!ㅠㅠ 오늘도 유익한 영상에 감동받고 갑니당,5.0,10개월 전
1,eh3uxhru3j,친절대왕️귀찮을수도 있는데 일일이 다써주시다니️덕분에 편하게 봤어요 구독 꾸욱누르고갑니당,0.0,9개월 전
2,userqe6sp8ud4t,힐링되네요. 나나님 영상을 봐서 너무 좋아요!,0.0,9개월 전
3,laurentz1wr,더보기란 너무 친절하신거 아니냐며..ㅠ,62.0,10개월 전
4,minchoi4800,영상 보고 바로 르웰 달려가서 떡볶이 코트 질렀어요️️ 이번 겨울도 르웰과 함께라서 걱정없네요 떡볶이 코트 산 기념으로 떡볶이 먹으러 갑니당️️,3.0,10개월 전
5,hahahu8ht,"자라 하울에 이렇게 하나하나 링크달아주시는분 흔치않은데 고생하셨겠어요 ㅎㅎ
덕분에 바로 들어갈 수 있어서 좋네요.
빨간니트 입으신거보고 구매욕구가 올라왔네요~ 
실례지만 평소 어깨사이즈가 어떻게 되시는지 여쭤봐도 될까요?",1.0,10개월 전
6,useryt9cc8ej5k,멋지네요♡,2.0,10개월 전
7,userir1uk6mi7u,떡코 너무 귀여워요 ..,4.0,10개월 전
8,usergb2ko8ts4k,"아무리 자라옷 보여줘도 르웰옷으로 장만할거에욘,,(드릉드릉)",2.0,10개월 전
9,userwv3lx2ev2k,이게 얼마만에 보는 나나 님 영상인지... 오랜만에 보니까 더 좋네요!,1.0,10개월 전
10,userhv3ol1lh1i,자라 너무 예쁘요,0.0,10개월 전
11,userbj8qc9te1v,나나님 너무 예쁘십니다,1.0,10개월 전
12,userzm4co8mf2c,더플코트 보풀은 많이 안일어나나용???? 너무 이뻐서 당장 사고싶어요..,0.0,9개월 전
13,choiarmy,언니분이 헤링본 자켓에 착장했던 블락팬츠랑 블랙 크로스백 정보좀 부탁드려요,0.0,10개월 전(수정됨)
14,userqx8vb8dh9d,안녕하세요! 혹시 아디다스 신발 색상은 어떤컬러인가여?!! 너무 예뻐요,0.0,10개월 전
15,miyeon8595,떡코 브라운이랑 네이비중에 추천한다면 어떤 컬러인가요??,0.0,10개월 전
16,userzz5og8dx8d,첫번째 피팅 하신 니트 가디건 베이지 입으셨는데 혹시 스펙 알 수 있을까요? S 사이즈 입고 안에 이너도 입으셨는데 넉넉할까요?,0.0,10개월 전
17,userbq9wp7qi4b,혹시 5:05 가디건  촉감은 어떠셨어요? 부드러운가요?,0.0,10개월 전
18,adore9507,토트백 가방 정보 여쭤봐도 될까요~!?,0.0,9개월 전
19,useryr8bj3bk2d,떡볶이 숏코트 상품번호 알수있을까요? 인터넷에는 없는거같아요. 넘 이뻐서 눈에 아른^^;;,0.0,10개월 전
20,userxd9pu3pv5d,코스에서 뭐사셨어용~~,1.0,10개월 전
21,sysy8811,"언니분 개인팬츠 혹시 정보 없을까요. ㅠ
딱 제가 찾는건데ㅠ",0.0,10개월 전
22,userkh9oe8ks4f,혹시 키가 어떻게 되시나용??,1.0,10개월 전
23,jessicalim2469,빨간 카라니트 부드럽나요?,0.0,9개월 전
