,youtube_id,comment,like_num,comment_date
0,wonjoonjang6828,"원래 루이스레더하면 988 웨스턴 자켓만 고민했는데, 이 영상을 보고나니까 커세어 모델도 너무 탐나네요 후,,,,너무 멋진거 같습니다",0.0,1일 전
1,usersc6jd9dd3h,가죽자켓 하니 이번 시즌 디젤에서 나온 바이커 자켓이 너무 제 취향이더라구요.. 근데 가격이 100만원 중반대라서 참 고민이 됩니다 ,0.0,6개월 전
2,Hyk0617,너무 멋지다 느린양반! 이 멋을 모두가 느꼈으면!!,5.0,6개월 전
3,2b420,가죽자켓이 진짜 예쁘네요... 하지만 직접 보지않으면 못느낄 매력이 더 있겠죠? 언젠가 여건이 된다면 저도 루이스레더로 입문해보고싶네요ㅎㅎ 항상 멋지십니다,0.0,6개월 전
4,itsmesong,"저도 옷을 따라서 사는 타입이 절대 아닌데 걸치신 Fortela 스웨이드 염소가죽 자켓은 정말 안여쭤볼 수가 없을 정도로 멋지시네요.
혹시 어떤 사이즈를 입으셨는지 여쭤봐도 될까요?",0.0,6개월 전(수정됨)
5,jaehyeokkim2345,저도 빈티지 벤슨 하이웨이맨이 있는데 너무너무 무겁고 두껍고 아무튼 방검복 같지만 질감과 닳은느낌인데 광이 맘에 들어 잘입고있네요 ㅎㅎ 루이스레더 양가죽도 가지고싶네요 ㅠ,0.0,6개월 전
6,userey7ve7kg8l,44가 매우 오버사이징이라고는 하셨지만 제가 보기엔 더블 입으셨을때가 더 편안해 보이네요!! 조만간 화면에 안담긴 차이 보러 가보겠습니다..!!,0.0,6개월 전
7,kaka24107,진짜 좋은거 산다는 생각에 아직까지 없는.. ,0.0,6개월 전
8,xxxxxxxxbang,아재되서 패션에 관심가지는건 이제 노력의 부분이됨... 애 키우는동안은 몸뚱이나 잘 관리 하다가 여유가 생기면 멋부릴 수 있을듯합니다,0.0,6개월 전
9,jonggyusong1611,초반에 커세어60 싱글싱글자켓이랑 코디한 면바지는 어디 제품일까요? 핏이 마음에 쏙 드네요ㅋ,0.0,6개월 전
10,Mkmkwp1qd,항상 느끼는 건데 노래 선택이 너무 좋아요.. 플레이리스트 느낌으로 노래 추천 영상 어떠실까요 ㅎㅎ,0.0,6개월 전
11,cheongbinchoi,"이번에도 좋은 영상 감사합니다 :)
영상 속의 검은색 스니커즈는 어디 제품인지
알 수 있을까요?",0.0,6개월 전
12,teeeeeeemo,루이스레더제품 멋있네요 찰떡입니다,0.0,6개월 전
13,userzk1wl8tq2t,항상 느끼는 거지만 선곡이 참 좋아서 영상이 더 돋보여요 혹시 처음에 나온 삽입곡이 나스 one love 리믹스 어떤 버전인가요?!,0.0,6개월 전
14,userbh9yn6gf1h,항상 영상 잘보고있습니다! 양반님 혹시 4분쯤에 나오는 검정색 스니커즈 어디껀지 알 수 있을까요?? 빈티지한 느낌이 멋있네요ㄷㄷ,0.0,6개월 전
15,userxb8nf1sc6i,고독자 더블라이더 넘 잘어울리네요 :),1.0,6개월 전
16,userdo3im3nt5v,루이스레더는 ㄹㅇ 대장이죠,0.0,6개월 전
17,userjihan175,"가죽관리 알려주세요!! 제가 양가죽자켓하나 그리고 소가죽 구두, 스웨이드 구두, 스웨이드+양가죽 구주 이렇게있습니다. 일단 시간나면 캐럿을 도포하긴하는데 아직 잘모르겠다라구요",0.0,6개월 전
18,userri9pl2dt9i,인터뷰영상도 좋지만 이 영상이 느린양반님 근본영상!,0.0,6개월 전
19,Judelee1229,첫번째 싱글이 더 잘 어울리시네요 멋지십니다,0.0,6개월 전
20,usergy4eg2ux8i,"살이 빠지셔서 그런 건지 헤어가 잘어울리셔서 그런 건진 모르겠는데, 10년쯤 젊어지시고 잘생겨지신 거 같습니다",0.0,6개월 전
21,userlf2do5ej2n,이번영상은 미모가 빛을 발하십니다,0.0,6개월 전
22,userrq1kh1we8f,머리 기르시니까 가죽이랑 더 잘 어울리는 느낌이 드네요,0.0,6개월 전
23,woohyunlim9696,우연히 눈에 띄어 들어왔다 구독박고 갑니다:) 영상 잘 봤습니다 멋지시네요!,0.0,6개월 전(수정됨)
24,userkg1tl6cc1t,"로스트월드 g1 10년째 입는중인데, 이제는 너무 작아져서 슬프네요..",0.0,6개월 전(수정됨)
