,youtube_id,comment,like_num,comment_date
0,Oojl5by,예쁜언니가 가식없이 정보 다 알려주니까 넘 조아요 ㅠㅠ,339.0,2개월 전
1,userdf7tn9fn6p,구독자들 위해서 이렇게까지 자세하게 알려주는 사람 언니밖에 없을거야 .. 오래오래 곁에 있어줘요 🥹,22.0,2개월 전
2,controlme,하 진짜.. 얼굴만 봐도 재밌는데 유용한 정보를 깔끔하게 떠먹여주니까 진짜 영상의 축복에 끝이 없음.....,15.0,2개월 전
3,useryq5pe2oy5i,언니 오늘 메이크업 레전드 ㅜㅜㅜㅜㅜ 언니만큼 알찬 정보 주는 새럼 없다,15.0,2개월 전
4,lj2132,진짜 매번 궁금한 것들을 하나하나 정성스럽게 답해주실 때 너무 감덩 .. 절대 당연한게 아님에도 늘 신경써주셔서 ,14.0,2개월 전
5,userfz1nx1dx6r,정보 하나하나 알려주는 다예언니 최고시다 ..  앞으로도 정보 나눔 부탁드려요 🫶,7.0,2개월 전
6,hyony,"존예요정님이 꼼꼼하게 설명까지 해주시니 그저 좋네여,,,,🩵",15.0,2개월 전
7,dobu7zu,"이 언닌 안 이뻐질 수가 없다 스스로 이뻐질려고 노력을 하네ㅠㅠ 머싯서욥,,",1.0,2개월 전
8,userih2ry4qt4w,정말 정성 듬뿍 담긴 영상… 항상 잘보고 있어요 그리고 외모 미쳐따,10.0,2개월 전
9,userke6kv3fc6q,얼마전에 다예님을 알게되었는데 정말 영상 하나하나가 너무 예쁘고 힐링 돼요ㅠㅠ 예쁜 영상 감사합니당,6.0,2개월 전
10,lucyrg5ob,이렇게 자세히 하나하나 다 알려주기도 쉽지 않으실텐데ㅜㅜ 언니 진짜 천사야  보통 질문 많이 들어와도 자세히 안 알려주는 경우도 많은데 ㅜㅜ 전 언니 도수까지 궁금해버리는 ㅋㅋㅋㅋㅋ큐ㅠ,5.0,2개월 전
11,userkw4bl3tb9o,"정보요정,, 너무 좋다요,, 다예님 진짜 드리밍요정🥹 세상 젤 잘어울려요",0.0,2개월 전
12,Bominimini,언니 정보팁 언제나 쵝오 탱글이 진짜 너무 잘 쓰고 있어용 마르고 볼살 많은편인데 효과 쵝오,0.0,2개월 전
13,userfz7bu4tq1t,"헐,, 이렇게 진심을 담아 알려주시다니 너무 감동이에요..🥹",0.0,2개월 전
14,userze1hy4rc5y,다예언니 완전 초창기 2만 3만 때부터 구독잔데 이제 완전 프로 유튜버 되셔써 약간 카메라 어색하던 엉니의 모습에서 완죠니 고수된모습 보니까 시간이 흘렀음이 느껴지규 막갑자기 뭉클 ㅠ 그냥 옛날에 언니 미모보도 홀라당 반해서 구독했는데 여전히 아름다우시군요 언니 렌즈 완전 내스탈 손민수각 ㅠ 영상이 너무 알차요 여러번 볼듯이런 꿀팁 가득 감사해용️,1.0,2개월 전
15,userrt8db9tv5y,헉 이렇게 모든걸 자세하게 공유해주시는거 좋아요 ..  혹시 언니 애굣살 그릴 때 사용하는 브러쉬 정보 알 수 있을까요 ? 브러쉬 추천템 이런거 궁금해요 !,13.0,2개월 전(수정됨)
16,usergy2vy9wb5e,피부랑 사진 영상도 너무 기대돼요ㅠ 헤어 고데기하는 방법?!을 잘 모르겠고 판고데기같은걸로 하면 막 자국이 남아서 고데기하는 팁 같은것도 알려주시면 좋겠어요! 글고 갠적으로 렌즈랑 향수 추천 넘 좋았고.. 사회초년생이 막 꾸미기 시작했을때 뭐부터 하면 좋을지같은 영상도 보고싶어요ㅎㅎㅎ,14.0,2개월 전(수정됨)
17,foreverlove777,언니 화장할 때 렌즈정보도 같이 올려주세요,0.0,2개월 전
18,DailyDaye,"Instagram @davly0y
더 궁금한 정보나 자세히 보고 싶은 주제의 영상은 댓글 남겨주세요!🩵

0:00 인트로
0:45 렌즈 TOP4
0:55 제일 많이 착용하는 데일리 렌즈
1:29 나의 (구)최애 렌즈..
1:53 영상이나 사진 찍을 때 예쁜 렌즈
2:11 실물 반응 제일 좋은 렌즈
2:34 악세서리
2:40 디엠 100개 넘게 받은 팔찌
2:48 시계 아니고 팔찌예요
2:54 그 외 반지들
3:05 피어싱, 귀걸이
3:22 패션 안경
4:19 더 많은 악세서리 정보는..
4:26 헤어
4:31 앞머리 스타일링법
4:50 오이얼굴 주의
5:03 여름철 앞머리 고정
5:36 납작두상의 헤어볼륨
5:53 긴생머리 그녀
6:16 붙임머리, 염색
6:41 헤어핀, 헤어악세서리
7:00 메이크업, 스킨케어
7:06 퍼스널컬러
7:20 잘 어울리는 컬러나 코디법
8:11 메이크업 최애템! (글리터, 블러셔, 립, 섀도우)
10:05 다음 영상들 큰 거 온다..!
10:22 옷, 쇼핑
10:25 좋아하는 쇼핑몰, 브랜드
10:49 캡쳐타임
11:05 왜.. 하나만.. 사야하는데요..
11:43 시술, 관리
11:44 얼굴형에 가장 효과 본 시술
12:26 이제 리프팅 시술 안받으려고요!
13:25 만족했던 시술들
14:04 다이어트
14:37 하루만에 허리둘레 4cm 줄어듦!
15:00 다이어트 보조제
16:07 사진, 아이폰(인스타?)
16:25 사진 보정 어플
16:38 기타 등등 
16:48 우리집 이모님
17:25 돈관리법
18:00 향수",18.0,2개월 전(수정됨)
19,userds1cq5hl4p,"진짜 모든걸 다보여주는 영상이네욥 ,,,,, 최고 ,,,,,,🫡",0.0,2개월 전
20,userpd7nz5od6w,영상 구간도 남겨주시고 더보기에 또 구간 남겨주시고.. 엄청 꼼꼼하세요,1.0,2개월 전
21,usernn5jw6ne6t,"진심 저번 마켓때 탱글이 산게 신의 한수.....피부도 큰 트러블 잘안나고, 저 보는 분들마다 얼굴살빠졌다고 작아졌다고 그래용....신기해...  저는 매일 보는데 잘 모르겠거든요... ㅎㅎ  오늘 영상도 꿀팁 완전 대박임.......",12.0,2개월 전
