,youtube_id,comment,like_num,comment_date
0,hyehyevw6xp,다예님 오늘 메이크업이랑 영상 완전 취저 마리떼 목걸이랑 어거스트 하모니 제품 진짜 예뻐여.... 영상 보고 손민수 하러 갑니댱... 저는 변색 걱정 때문에 써지컬 제품들 진짜 좋아하는데 지그재그에 아세르로조 목걸이 진짜 최애 브랜드에여ㅠㅠㅠㅠ 약간 레이어드하고 심플하면서 힙한 제품들 좋아하시면 다예님이랑 잘 어울리실 것 같아서 조심스럽게 추천하고 갑니댱...ㅎㅎ! 요즘 날이 갑자기 추워졌는데 감기 조심하세용,1.0,9개월 전
1,AshleyYoo,your rolex looks so great on you! i've been waiting for mine for over a year now...i hope mine can come soon T.T,1.0,10개월 전
2,userwv2yd5vs6b,다예님 요즘 하시는 메이크업 너무 예뻐요.. 언더음영도 넘 예쁘고 메이크업 영상도 보고싶어요!!,10.0,10개월 전
3,sihyeon7278,다혜님 돈관리 하시는법도 궁금해요 ,247.0,10개월 전
4,huingni8440,"영상들이 모두 꿀팁 가득,,, 애정하는 채널 1순위 됐어용,,,, 오늘도 알찬 영상 감사해요옹",3.0,10개월 전
5,gamzaang,다예님 섀도우랑 블러셔랑 립 다 너무 궁금해요... 색감 취저 ㅠ,8.0,10개월 전
6,adell5756,기다렸던 악세서리 하울이다!! ,2.0,10개월 전
7,useroh1vl7xu8e,가격이나 판매처 링크 너무 궁금해요... 영상 잘 봤습니다!,6.0,10개월 전
8,hsxk1qz,이번 메이크업 영상으로 만들어 주실 수 있나요ㅠㅠ 너무 예뻐요!!,0.0,10개월 전
9,useryo3nf3vq7b,다예님 목걸이 변색은 어때요?! 너무 잘 어울리고 예쁘세요️,1.0,8개월 전
10,controlme,꺅 다예님!!!! ♡ ,3.0,10개월 전
11,minyoungkoo6402,압구정 로데오에 바이버 쇼룸 가면 시계 차볼 수 있어요 ! 구매는 어플로 된다고 하십니당,0.0,10개월 전
12,userbj8qc9te1v,다예님 너무 예쁘십니다,0.0,10개월 전
13,lilou2081,다예님 목걸이는 지퍼백에 담아 보관하시나요??!,1.0,10개월 전
14,kaitlyn5537,언니 오늘 가디건 정보 궁금해용!,13.0,10개월 전
15,Lovewhitecats,상의 정보가 넘 궁굼해용,5.0,10개월 전
16,gwiyomiyam,언니 비비안웨스트우드 어디서 해외직구 하셨나요 ?!,1.0,10개월 전
17,userzf5lr7ln8s,으엥 아니에요 네일색이 너무 이쁜데요ㅠㅠ 네일 정보 주실 수 있나요?,3.0,10개월 전
18,golmesil1793,"네일컬러 이쁜데 
정보주세요ㅜㅜ!!",1.0,10개월 전
19,Gangstargogogo,예뻐예뻐어.......,0.0,10개월 전
20,useryc9rb4ff6l,영상에서 끼신 렌즈 궁금해요!,0.0,10개월 전
21,userse7jy1gt4y,마리떼 목걸이 옛날부터 넘 갖고싶었는데 이제 구할수가 음슴요ㅠㅠ ,0.0,10개월 전
22,userie8ug3wp5r,가디건 정보 궁금해요🥹️,0.0,9개월 전
23,chojiyoon97,가디건정보좀녀,5.0,10개월 전
24,userxk4kc9xd5v,다예님 11월달도 화이팅입니다,0.0,10개월 전
25,usersy2gd7rz6y,온니 비비안웨스트우드 목걸이 사이트 알려주실 수 있나요,10.0,10개월 전
26,hiyumyum,웅니 깃털머리스타일링 유튜브에 있나욤??… ㅠㅠ,1.0,10개월 전
27,son7092,다예 Daily Daye님 아주예쁘시는군요.,1.0,10개월 전
28,userwp2du7sf8j,"언니 링크 간절해여,,, ",1.0,10개월 전
29,userxw1hw8wg1b,이거 메이크업 궁금해요,0.0,9개월 전
30,userdh3xg9vn2g,"구독자 22만인데 저만큼 수익이 나나 궁금해여...
돈안모으시거나 부모님지원도 받거나 겟죠...?",25.0,10개월 전
31,useryu3rc8bw1g,연령대가 어찌되오???,0.0,5개월 전
32,usercp2mk6vz2v,캉카스 광고 아니애여?,1.0,1개월 전
33,kimjooney,ㄷ ㅏ손민수 하고싶ㅇ ㅓ요..,1.0,10개월 전
