,youtube_id,comment,like_num,comment_date
0,userbu6mx2ou5s,1-1인데 핀턱이 골반부분을 더 부하게 할것 같아서 안입었는데 도전해봐야겠네요! 다리모양이나 바지핏 진짜 공감가는 영상이에요!,3.0,4개월 전
1,lie3610,"골반이 없어서 앞에서 봐도 일자고, 허벅지나 엉덩이에 볼륨도 없는 타입이라면 어떻게 해야할까요?",0.0,4개월 전
2,tzp7099,스트레이트타입에 하체 유형까지도 채널주인장님과 같네요..신기..,2.0,4개월 전
3,usersg7yb6bk2t,다현쌤~봄소프트 메이크업에 쌤 영상 도움 많이 받았어요 생각보다 봄소 정보가 많이 없어요 ㅠㅠ 최근 봄소프트 제품 추천해주실거 영상 부탁드려요~,0.0,4개월 전
4,userzy9ll5ig1t,"마른 두번째 타입인데.. 오...맞는 것 같아요. 마른 웨이브형인데 대표적 연예인으로 강민경이랑 아이유 자주 나오잖아요.
게다가 봄라라 그 둘의 아이템을 많이 참고 하는데 디테일 많은 옷, 하이웨스트 와이드 슬랙스 이런거 괜찮다 했는데 막상 입어보면 그 맛이 안나더라니...강민경씨는 골반이 넓은 타입이었자나ㅎㅎㅎ",3.0,4개월 전(수정됨)
5,useriu7tj4pk6s,와 제가 완전 1번 타입인데 지금까지 핀턱 없는것만 입으려다보니 난 허벅지만 뚱뚱해서 옷이 안맙아 흑흑 이러고 잇던거여써요 ㅠㅠ 160에 46키로일때도 27사쥬 하의 사면 진짜 팽팽하게 맞는게 킹받앗는데 걍 뼈가 넓어서 어쩔수없…. 이제 한방햔 핀턱 입겟읍미다 진짜 평평한 엉덩이 싫어요 핡흙 운동으로 힙업할수잇게쪼… 청바지 입얼을때 애플힙인분들 너무 부러어요 ㅍ,0.0,2개월 전
6,usernm3wu2en6l,골반좁고 허리는 얇은데 엉덩이도 없고 다리짧은 하비인데 어떤바지가 좋을까요ㅠ,0.0,4개월 전(수정됨)
7,userhg5cs3qi2g,오잉.. 다리길고 허리없고 골반 넓고 옆에서 보면 플랫하지만 정면은 넓은 타입인데 핀턱 세상 뚱뚱해보이고 와이드 통너무같이 덩치 커보이고 치마든 바지든 붙는게 베스트던데.. 다른곳에서도 다 라인 드러내는거 추천하고 핀턱은 추천 안한다던데 뭔가 반대네용 여기서는,14.0,4개월 전
8,biatrix6074,4:20 2번 유형도 핀턱이 여러개 있는 반바지를 추천하시는 거 맞을까요?? 긴바지는 핀턱이 없거나 하나인데 반바지는 여러개 있는 바지를 추천하셔서 헷갈립니다..,0.0,3개월 전
9,bbo,"저는 허리가 얇은 편이고 골반도 큰 편이고 엉댕이살도 엄청 많은 편인데..허벅지도 왕돼지.. 근데 뼈 자체는 크지 않아요
무슨 체형인가용 ㅜㅜㅜㅜ",0.0,4개월 전(수정됨)
10,userzj5nv5rj1x,2번타입인데 같은 원리로 치마도 주름이 없는게 어울릴까요? 롱스커트도 핏되게 입는게 어울릴까요??,2.0,4개월 전
11,usereb7mc5zg5j,뒤허벅지 통통 플렛이 어떤 느낌일까~~전혀 모르겠어요 ㅎㅎㅎㅎ,0.0,1개월 전
12,useryx1fj1pr7z,영상에서 추천해주신 반바지 어디건지 작아서 잘 안보여요 따라사고 싶어요 알려주세요~^^,1.0,4개월 전
13,baking789,스트레이트 타입이라 그간 최대한 심플한 바지를 입으려고 했는데.. 골반이 옆으로 크고 엉덩이랑 뒷허벅지는 납작해서 핀턱 2개짜리 바지가 어울리는 하체...?. 전 뭘까요 ㅋㅋ,8.0,4개월 전
14,hanipboy,오 진짜…….. 신기해요……. 감사합니돠……..,1.0,4개월 전
15,userxx3wp5de5h,"무골반에 승마살 많은 분들 바지 어떤 거 입으시나요.....전 그나마 일자바지 사는데 뭐가 좋을지...
다른 채널에서는 원턱이나 투턱 사라던데 여기는 핀턱 없는 걸 사라 하네요 흠...",5.0,4개월 전(수정됨)
16,userob6ts1zx2j,하체통통은 맞는데 저 중에 내가 어떤 타입인지 모르겠다요... 골반뼈가 넓은건지 좁은건지 모르겠어요,1.0,2주 전
