,youtube_id,comment,like_num,comment_date
0,usercs9fg8fi8j,오오 제가 딱 이래도 이미지는 전형적 네추럴처럼 뭔가 도시적이지 않고 페메니한데 체형은 네추럴 딱 카즈하느낌! 너무 참고가 되는 영상이었습니다. 다음에 2탄도 꼭 나왔으면 좋겠어요 플리즈 ㅠㅠ,8.0,2개월 전
1,usergy8nz7ui7e,"와.. 육성으로 오오!!오오오!!! 하면서 봤어요 ㅠㅠㅠㅠ 맞아요ㅠㅠ 네추럴도 우아할수 있어요.. 

왜 저는 네추럴=힙,간지,매니쉬,오버핏이 진리!!! 같이 정형화된 생각의 틀에만 박혀있었을까요  진짜 컨설턴트는 이런 넓은 시각이 있어야하나봐요! 

이 영상 덕분에 힙한 웨이브, 큐티한 스트레이트 처럼 폭넓게 시야를 넓혀 다시 접근해 봐야겠다 생각이 든것같아요! 

컨설턴트의 컨설턴트, 다현쌤 늘 감사해요️ 다음 영상도 존버하고 있을게요!!!!!",13.0,2개월 전
2,so1066,여성스러운 이미지의 내추럴 타입이라서 늘 고민이 많았는데 너너너너너무 감사해요ㅠㅠㅠ 다음에 작은 팁이라도 기다리고 있을께요🩷,8.0,2개월 전
3,userkw6nn9ms4y,이게 다 카즈하가 얼굴은 선녀 몸은 나무꾼이기 때문이다….. 너무 멋진 피지컬🥹🫶,3.0,3주 전
4,uservt9qx5hp3v,힙하고 멋스러운 웨이브타입 요청드려요! 웨이브타입 찾으면 다 하이웨이스트에 여리여리 원피스 블라우스 셔링 퍼프 다 페미닌한 스타일 추천만 있어서 아쉬워요! ㅠㅠ,24.0,2개월 전
5,rscrrcvty6032,Could you do a video on New Jeans Haerin ?? I would love to see that and keep up the good work !! I love you’re videos,1.0,2개월 전
6,kimsuyeonable,이미지는 골격보다 얼굴이 먼저 보일수밖에 없는지라…ㅠㅋㅋ얼굴만 보면 웨이브타입인데 말이죠,43.0,2개월 전
7,celestialxw5cg,감사합니다 ,2.0,2개월 전
8,userji7we4be2v,맞아요 혹시 남자편도 생각있으신가용? 저는 빼박 웨이브라 옷고르기 쉬운데 신랑 옷 고르기는 어려워용 ㅠ..,0.0,2개월 전
9,usergg8sp8rh6h,다현쌤 사랑해요 오늘도 줍줍 대표님 영상으로 공부합니당🩵,3.0,2개월 전
10,userbn4jc4em9h,헐... 웨이브일줄 알았는데...,4.0,2개월 전
11,sbsPD4,스트레이트! 네츄럴이었군요,3.0,2개월 전(수정됨)
