,youtube_id,comment,like_num,comment_date
0,usersr5oz7gi5v,여태까지 공부에만 열중하느라 화장품은 친구 생일 선물로만 사봤던 예비 대학생인 저에게 이런 영상은 한줄기의 빛입니다 ㅠㅠㅠ 퓌 쿠션 파데의 차이가 궁금했는데 비교 분석까지 깔끔하게해주셔서 감사해요 직관적으로 이해할 수 있어서 좋았슴니다! 참고해서 예쁜 화장품 겟해보겠습니다,4.0,8개월 전(수정됨)
1,rabbit00,발랐을때 일정량 위에 밀리는것도 그대로 보여주시고 현실감있는 피부를 보여주셔서 진짜 너무 도움됐어요ㅠㅠ,6.0,8개월 전
2,userpc4nc3wz3k,솔직하시면서 자세한 제품 설명 너무 좋아요 ,1.0,7개월 전
3,yxxinp,"담쓰님의 축복이 끝이 없다..🫶
진짜 너무 궁금했던 파운데이션이에요!
퓌 쿠션이 원래도 촉촉이 쿠션으로 엄청 유명해졌는데 이렇게 파운데이션으로 나오니까 파데파인 저는 너무 궁금하고 써보고 싶어요ㅎㅎ
아무래도 마스크도 쓰니까 묻어남은 꽤 있을 것 같다고 생각했는데 역시는 역시네요ㅎㅎ
근데 저는 원래가 촉촉한 피부 표현을 너무 좋아하고 또 매트파운데이션이랑 섞어서 바를때 좋을 것 같아요!

제 피부가 커버력이 너무 좋거나 매트하면 사람이 좀.. 퀭.. 해보이는? 느낌인데
퓌 파운데이션은 커버력이 없고 스킨 케어 느낌이 강해서 제가 사용하기 완전 딱이라엄청 기대가 되는 거 같아요!

다른 제품들과 컬러 비교까지 해주셔서 역시 담쓰뷰티 믿고 봅니다..

또 이벤트까지 열어주시다니.. 축복이 끝이 없어요🫶️‍️‍
2023년도 새해 복 많이 받으시고 앞으로도 좋은 영상 기대할게요!️",4.0,8개월 전
4,infpsy2,많은 베이스 리뷰를 봤지만 언니는 진짜 전문성이 느껴져요..️,5.0,8개월 전
5,hanyul,매번 보면서 느끼지만 파데나 쿠션 등의 베이스 리뷰는 담쓰님만큼 꼼꼼하게 해주시는 분은 없는 것 같아요!,2.0,8개월 전
6,usernf6mk4ct5h,파데 궁금했는데 쿠션이랑 비교해주신 것도 좋고 도구별로 비교해주셔서 감사해요 편하게 바를 수 있는 파데 찾고 있었는데 딱이에요! 파우더와의 궁합이 아쉽지만 너무 잘쓸거 같은 파데에요!,3.0,8개월 전
7,usereu6ug7hx5h,"믿고보는 담쓰님 베이스 리뷰 
퓌쿠션에 비해 퓌 파운데이션이 호불호가 갈리는 리뷰가 많아서 왜인지 궁금했는데 꼼꼼한 리뷰라 정말 도움이 많이 되네요 ",1.0,7개월 전
8,hye123,"파운데이션 리뷰에 전성분 분석하는 거 처음 봄..!
전문성 있고 심도 깊은 리뷰 정말 대단해요.
엄청 준비하신 것 같아요.
좋은 영상 감사합니다!
개인적으로 저는 쿠션에서 성공해 본 적이 한 번도 없어요.
워낙 잘 뜨는 피부라 그런지 파데보다 밀착력이 떨어지는 쿠션은 늘 제 피부에서 밀착이 안 되거나 바르면 다 뜨더라고요.
그래서 요새 다시 파데들이 많이 출시되고 핫해져서 기분이 좋네요.ㅎㅎ
퓌쿠션의 명망만큼 좋은 파데는 아닌 것 같지만 과하지 않은 두께감과 적당한 촉촉함이 제 취향일 것 같아서 저는 한 번 사용해보고 싶네요~~",5.0,7개월 전(수정됨)
9,kll,역시 언닌 궁금한 걸 제대로 다 짚어주셔서 넘 좋아요,4.0,8개월 전
10,userkk7bs2io6v,퓌 파데 선런칭 할때부터 살까 말까 했었는데 담쓰님 리뷰 완전 도움 됐어요 깔끔하게 궁금했던 점 딱 짚어주셔서 잘보고 갑니당️,1.0,8개월 전
11,usertw6rk2ob8e,솔직하고 자세히 비교해주셔서 감사해용!! 쿠션이랑 파데랑 진짜 다른점이 많네용ㅋㅋㅋ,0.0,8개월 전
12,MINN1EME,진짜 제품리뷰 맛집! 항상 솔직하고 상세한 리뷰덕분에 좋은 제품 많이 건져요!!,0.0,7개월 전
13,seoeun800,"헉 퓌 쿠션 너무 잘 쓰고 있었는데! 지성인데도 시간 지나면 기름광처럼 돌지 않고 딱 글로우한 광이 돌아 너무 맘에 든 제품이에요! 양조절이랑 바르는 스킬이 다 필요한 비싼 쿠션 필요 없고 퓌 쿠션 데일리 템으로 휘뚜루마뚜루 바르기 좋더라구용 
파데 버전으로 나온지 몰랐는데 우연찮게 영상 떠서 알고갑니당! 파데도 궁금하네용 리뷰 너무 맘에 들어서 구독했어용",0.0,8개월 전
14,userjz8qk1rs6y,"컬러비교 짱이네요
노광고라 솔직하고 내용이 꼼꼼해서 모든 궁금증이 다 풀렸어요
제형이 좋네 발림감이 좋네 이런분들이랑 구분될정도로 내용이 알찹니다
흥하세요!",0.0,8개월 전
15,fnklp23,"퓌 파데도 궁금한데 일단 일하다 스트레스 받아서 그냥 일잘러의 아웃풋을 보려고 오매불망 언니 영상 기다렸어요ㅠㅠㅠ 이 속시원함 무엇? 일목요연  알잘딱깔센 ESTJ그 자체인 리뷰,,,, 너무 잘 만들어서 속시원해서 그냥 이게 감동이에요ㅠㅠ 저는 퓌 쿠션 대박 만족했는데 파데는 확실히 써봐야 알겠군요! 영상 감사해요️",0.0,8개월 전
16,logb2n,진짜 너무 꼼꼼해서 믿고 봐요 담쓰님🥹 거의 분석을 해주신..,1.0,8개월 전
17,bbbig01,쿠션이랑 꼼꼼히 비교해주셔서 감사해요! 파데 살지말지 고민됐는데 제형이나 차이점 확 느껴졌어요ㅎㅎ,0.0,8개월 전
18,zamiwayo,이번 메이크업 뭔가 고급져요!! 튜토리얼도 궁금한..ㅎㅎ 피부 표현도 짱,0.0,8개월 전
19,ssyeahh,"비교해서 올려주시는거 진짜 감동적 리뷰,,,️️ 파데 찾고있었는데 쿠션에다가 파데 살짝 섞어서 바르면 될거같아서 파운데이션 이벤트 참여 하고 갑니당 항상 정성 가득한 리뷰 담쓰님 덕분에 현명한 소비하고 있습니다 감사합니댱️️",1.0,8개월 전
20,usergv3io8zo2y,"너무 꼼꼼해서 감동 그 잡채
비록 전 건성+홍조피부지만 리뷰 올려주신 거 너무 잘 보고 있고 특히 브러쉬랑 퍼프 세척 방법 영상 덕분에 세척 광공(?)으로 친구들 사이에서 불릴만큼 아주 잘 빨아서 사용하고 있습니다ㅎㅎ",1.0,8개월 전
21,userqc8sf7bc2s,"베이스 콘텐츠 장인 뷰티 유튜버..
퓌 파운데이션이랑 쿠션 중에 뭘 살까 고민하고 
두 제품 차이가 궁금했는데 이런 자세한 리뷰 너무 도움돼요 반씩 발라서 비교도 직관적으로 할 수 있어서 정말 유용한 영상",0.0,7개월 전
22,usersh1gz9ts5f,"피부표현이 너무 고급스러워 보여요,,, 궁금했던 제품인데 자세한 리뷰 감사합니다",0.0,8개월 전
23,kimminson315,퓌 파운데이션 너무 궁금해요! 실제로 사용해보고싶어요. 솔직하고 자세하게 쿠션이랑 파데 비교해주셔서 좋았습니다. 피부표현 예쁠것같아요,0.0,8개월 전(수정됨)
24,userlv2bz3eh3d,퓌 브랜드 제품이 워낙 유형해지다 보니까 정말 궁금했었는데 색상도 그렇고 제형 궁금했던 테스트를 해주셔서 많은 도움이 되었습니당!!,0.0,8개월 전
25,userxv4iv2nu1h,"피부에 어떻게 표현되는지 제품 사용감부터 컬러비교까지 너무너무 도움되는 영상이었어요
올리브영에서 50프로 선런칭특가 때 망설이다 구매 안했는게 담쓰님 비교 영상까지 보고나니 꼭 써보고 싶어지네요
이벤트 당첨되길 살포시 기원해봅니다",0.0,8개월 전(수정됨)
26,jsh,"퓌 쿠션 좋다고 너무 잘 알고는 있었지만
안써보다가ㅎ..이번에 파데로도 나왔다길래
궁금해서 리뷰는 꽤 찾아보긴했는데...
성분,제형,입자에..툴 조합,파우더처리,색상차이
등등까지~! 리뷰 너무너무 꼼꼼하구 좋아여",0.0,8개월 전
27,ouuwaa,퓌 쿠션 진짜 너무 잘 썼는데..  파운데이션 리뷰..  성분까지 일일이 다 세세하게 해주시는 세심함에.. 감동 .. 노무 감사합니다 ㅎㅎㅎ 오늘 영상도 잘 볼게요 감사합니다 !,0.0,8개월 전(수정됨)
28,ueong2,진짜 제형이랑 잘 어울리는 도구 설명해주시는 거 너무너무 좋아요 리뷰는 진짜 독보적이세요 제발 유투브 오래오래 해주세요 ㅠㅠ,0.0,8개월 전
29,userjn6lf8qs2c,"리뷰 진짜 너무 도움 되었습니다~ 어쩜 이리 궁금한 점 다 짚어주시는지♡ 퓌 파데, 쿠션 최고의 리뷰였어요~~^^ 감사합니다~",0.0,8개월 전
30,userbr4un2nl9o,담쓰님의 리뷰는 정말 믿음이 가는거 같아요 ! 꼭 써보고 싶은 파운데이션이네요! ㅎㅎ,0.0,8개월 전
31,usertu6wl7ds1z,툴 비교까지 해주시는 담쓰님 리뷰 짱이에요 :)! 담쓰님 리뷰 보니 퓌 파운데이션 정말 써보고 싶네요ㅎㅎ!,0.0,8개월 전
32,luckyp4341,"꼼꼼하고 알찬 리뷰
항상 잘보구 있어융!!!
이번 영상도 메이크업 스타일링도 넘 이뻐요~
새해 복 많이 받으세요",1.0,8개월 전(수정됨)
33,usergj7hv5br7n,퓌 쿠션을 넘 잘 쓰고 있어서 이 제품 너무너무너무!!! 궁금했는데!!!!!! 제품을 제대로 분석하신 느낌이예요!!ㅎㅎ 리뷰가 너무 자세하고 설명을 찰떡같이 잘 해주셔서 좋았어요️ 짱짱 감사합니당!!,2.0,8개월 전
34,userpe7hz6io1f,"오픈 당일에 구매할까말까 고민하다가 결국 구매 미뤘는데, 이렇게 정성 리뷰 + 나눔 이벤트라니.. 저는 복합성인데 건성쪽에 가까운(?) 복합성이라 담쓰님과 사용감이 얼마나 비슷할지 궁금하네요 ㅎ.ㅎ 분명 커버력이 파데가 더 높다고 들었는데 쿠션이 더 좋다니.. 이 부분도 신기하기도 하고 역시 사바사 ㅋㅋㅋㅋ 좋은 리뷰 감사합니다아️‍",0.0,8개월 전
35,SWHul7bc,파데는 파우더랑 반죽되는 것도 그렇구... 이미 겨울엔 리부트 정착이라 큰 관심이 안가는데 담쓰님께서 건성피부 리뷰러가 필요하시다고 한다면 담쓰님과 함께 리뷰할 기회에 관심이 가네용-♡,0.0,8개월 전
36,young3558,퓌 쿠션랑 파데 비교 엄청 기다렸는데 역시 믿고 보는 담쓰님 정리네요오오오옹 ,0.0,8개월 전
37,userwz4vf4yu1k,이렇게.상세한 비교리뷰 첨봐요♡ 와 대박 성분까지 양쪽 분석에 뭐랑 쓰면 좋은지 툴 궁합 믹스에서 쓰기좋은 컨실러까지.. 메모 여럿했네요ㅡ 촙촙브러쉬하면. 진짜 파데 광채 좋아보여요. 건성이 쓰기엔 되게 좋아보이는데요ㅜ세럼 제형마냥 진짜 묽어보여요.. 발림성이. 쿠션도 안써봤지만.. 쿠션보다 저는 파데파라.. 퓌 파데 너무 궁금하고 써보고싶었거든요ㅡ 지금같은 겨울에.. 생얼같은 피부표현 너무젛을것같아요 ,0.0,8개월 전
38,usermb1xn1kx7t,안그레도 퓌 파운데이션 대란템 너무 궁금했는데.. 깔끔하고 정확한 리뷰 덕에 이끌리듯 체험 신청합니다! ,0.0,8개월 전
39,useryg4sk5gy1r,몰랐던 관점에서도 꼼꼼하게 짚어주셔서 감사합니다~!!,0.0,8개월 전
