,youtube_id,comment,like_num,comment_date
0,hodoodoo,담쓰님은 편안해하시는 웨메가 진짜 제일잘어울리시는게 보여요 ㅋㅋㅋㅋㅋㅋㅋ 저는 오늘 금쪽이 입양신청하러가려구요! 클리오랑 고민했는데 담쓰님 영상보고 마음 굳혀버렸다,4.0,1년 전
1,loveexo0408,한동안 심심했는데(?) 이번 가을 신상들 예쁜게 정말 많이 나와서 행복해요,1.0,1년 전
2,usernp4tb2vz4g,"오호 메이크업 과정 자세히 보여주셔서 뭔가 따라하고 싶어졌어요
다 사고싶은데 하나만 골라봐야겠어요 ㅎ",0.0,1년 전
3,usergk8ii4zv4v,"써보고 싶은 색이라 저도 사서 써봐야겠네요 
솔직 리뷰 보면서 행복한 시간이었습니다",0.0,1년 전
4,usermp4vh2ej1c,"가을 컬러로 모두 예쁘네요
담쓰님 금손따라 오늘도 연습중 입니다~^^♡♡♡",0.0,1년 전
5,usernf5ug7vj4l,금쪽이 완전 제 취저 ,2.0,1년 전
6,kky7213,매번 리뷰 볼때마다 텅장이 되고 있네요..^^,0.0,1년 전(수정됨)
7,userkk5on5po6k,오 다 모아놓아서 보니 느낌 색달라요! 역시 담쓰님 아 담쓰님 하트퍼센트 립펜슬도 리뷰 부탁드려도 될까요! 담쓰님 픽이 너무 궁금,1.0,1년 전(수정됨)
8,genielove4900,금쪽이 작명센스보소....다음시리즈는 고딩엄빠까지 나올기세.....,2.0,1년 전
9,useree2ep9ue6q,저는 안전하게 웨이크메이크 갈랍니다 ,1.0,1년 전
10,aya125,이쁜게 너무 많이 나옴요 ㅠㅠ 저도 거의다 샀더니 텅장,0.0,1년 전
11,JJsh7vs,23호 피부톤에 페리페라 금쪽이 팔레트 발색 잘될까요? 좋은 영상 감사합니다!~ :),0.0,11개월 전
12,userfr1fk3mn3n,금쪽이는 왜 갈웜이 좋아ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,8.0,1년 전
13,usermg6rc9iw7q,웜톤 만세!!,0.0,1년 전
14,userwv3qv9yt4p,지갑이 춤을 추는구나 ㅠㅠㅠ,0.0,1년 전
15,bee5439,2:51 하필 담쓰님한테 불량이 갔넹,1.0,1년 전(수정됨)
