,youtube_id,comment,like_num,comment_date
0,chuchu4031,international fans love you~ rian is always so cool ️️,2.0,1년 전
1,userwr9tn8ft3g,팬들이 선물해준 신발까지 소개해주는 스윗리안,3.0,1년 전
2,THEKINGvp5sf,소개 해준 신발들이 언니라서 더 특별해 보이네요,9.0,1년 전
3,userss9pn6ud3u,언니 마지막 말투 짱귀여워잉️️,0.0,1년 전
4,userjp7wi2wg4o,리안언니 넘 이뻐영ㅇㅇ,0.0,7개월 전
5,daisiesnlilies2003,queen rian is here,1.0,1년 전
6,usercx3yl5sr7n,리안띠  ♡♡ 발 보호해주는 신발 칭구들 소개시켜줘서 고마워용 ♡♡,2.0,1년 전
7,yeowooyaa,스우파 보면서 신발 이쁜거 잘 신는다고 참 여러번 생각했는데 (특히 조던이..ㅎㅎ) 이런 영상도 있었군요 잘봤습니당,0.0,9개월 전
8,dangchica,언니 영상 너무 좋아..오랜만이야..귀엽다,3.0,1년 전
9,jongshinkim6637,끈이 쉽게 풀리는 문제는 ‘이중 나비 매듭’으로 사용해 보시면 도움 되실거예요,0.0,1년 전
10,usergq3zp8nj1u,이쁜 리안님  오늘입은 나시탑도 예뻐요,0.0,1년 전
11,AAA000AAAaaa,이번주말에 제로섬 정주행햇는데 젤맘에드는 플레이어였습니다. 즐기는사람은역시 아무도 못이기네요  ㅍㅇㅌ하십쇼^^,3.0,1년 전
12,userok9mk8zq2l,진짜 갖고싶다….리안언니도 신발도,0.0,1년 전
13,userhi7eq5fz5y,"1빠앙~!!️
언니 오늘도 영상 올려줘서 고마워여",4.0,1년 전
14,userwn3gy3ge6u,선생님 얼굴보느라 신발을 못봐서 394827724번째 보는데도 아직 뭔 신발 소개 했는지 모르겠어요 선생님 얼굴이 너무 수려하세요,1.0,1년 전
15,userxu9mz4bi5j,아디다스 오젤리아 핑크 다음 신발 이름 잘못 적힌 거 같아요!! 나이키 조던같은데 아디다스로 써있어요!,1.0,1년 전
16,born47,"3:56 신발 나이키인데 아디다스라고 잘못 써졌어요. 나이키가 보면 속상하실수있을듯 ㅋ
조던 예쁜거 많이 있으시네요.",1.0,1년 전(수정됨)
17,uservs4mr8mm5c,뭔가 이번 아이브 안무 라치카가 짰을거같아영,0.0,1년 전
18,userrk4gh4ni5g,와~신발 다이쁘당 파는건가요 ㅋㅋ,0.0,1년 전
19,usersq2sf6mk4l,땐스요정 리안이,0.0,1년 전
20,luizhann,워킹데드 보다가 존똑 배우 나옴 ㅋㅋ Christian Serratos,0.0,1년 전
21,rianrian,누나 드디어 해줬구나 내가 계속 얘기했었는뎅 사랑해 그냥,1.0,1년 전
22,rianrian,3:56초에 신발 설명에 오타 났어요!!,2.0,1년 전
23,usermd2dh5tu6j,머니섬게임 리뷰 해주세용 ㅠㅠㅎ,1.0,1년 전
24,cocobobo352,매마른 땅에 단비,0.0,1년 전
25,userid8io5sd4p,6분전!!!!!!,0.0,1년 전
26,usermz8gb1nt4q,어머어머 언니 나 1등,0.0,1년 전
27,SikDang2,0:07 우영우....?,0.0,1년 전
28,misfit8872,조던1 범고래 X 덩크 로우 범고래 O,1.0,11개월 전
29,dagdigdug9175,I need englisj,0.0,1년 전
