,youtube_id,comment,like_num,comment_date
0,userwk1nd3vc2g,어쩜 매번 꾸준히 사용한 제품만 쏙쏙 소개해주시는지 디파님이 말씀주시는건 믿고 구매해요ㅎㅎㅎㅎㅎ오늘도 좋은 제품 소개 감사해요 더해서.... 자기관리랍시고 번개괄사로 관리만했던 제가부끄럽지만 앞으로의 2주동안만큼은 다른 습관도 키워보겠습니다 빠샷!,0.0,1개월 전
1,Stoa52,"파이님 안녕하세요. 항상 좋은 제품 추천해주시고 만들어주셔서 감사합니다.
저는 복합성 피부인데요,
클렌징 오일으로 1차세안 -> 앰플투폼 클렌저로 일반 폼클렌징 쓰듯이 2차 세안 -> 에센스 -> 수분크림 순으로 매일매일 사용해도 괜찮을까요?
만약 이렇게 했을 때 볼쪽이 조금 건조하다면, 수분크림에 호호바오일 한두 방울 떨어트려서 사용하면 되는 걸까요?
지금 피지오겔 쓰는데 이것도 약간 건조해서 니베아 크림만 볼쪽에는 조금 더 바르거든요.
제품에 의구심은 없는데 저한텐 조금 건조할까봐 걱정입니다.

감사합니다.",1.0,5개월 전
2,sophiachoi86,"디렉터파이님️
저에게 맞는 오일 만들어 주셔서 감사해요
전에 디파님이 추천해주신 클렌징오일과 유명한 클렌징 오일 사용해도 얼굴에 좁쌀 생겨서 오일 사용 못했거든요
클렌징워터+폼조합만 계속 사용 했었는데 디파님이 만들어 주신 오일 출시되자마자 쭉 사용해보았는데 피부 트러블도 없고 블랙헤드도 감소되는 느낌이어서 너무 너무 감동이여요
저에게도 맞는 클렌징 오일이 있어 행복합니다
앞으로도 더 많은 제품 만들어 주시고
비교 부탁드립니다",5.0,8개월 전
3,useric6ck9xf6m,"진짜 믿고 사는 브랜드입니다. 착한 화장품 열풍을 이끈 장본인인데 얼마나 신경쓰고 만들었을까요 ㅜㅜ 수부지 여드름 피부인데, 앰플투폼/에센스/수분크림 다쓰고 있습니다 ㅜㅜ 뭐에 좋더라! 하면 홀리듯이 무작정 사는 유목민인데 더파이 브랜드에 진짜 정착했어요 ㅠㅠ 
+ 유일하게 맘에 안들었던게 수분크림 용기 였는뎈ㅋㅋㅋ 이번에 리뉴얼된거 진짜 너무 맘에 들어요 ㅠㅠ 피드백 수용 최고최고",65.0,10개월 전(수정됨)
4,userzp6wg4zb5l,"디렉터파이언니 정말감사합니다 ㅎㅎ 성분과 피부의 근본힘을 가꿔주는 템을 늘 찾고있었어요 전문가가 그런템을 가성비로 만들어주길바랬구영...
저는 화장다한 연예인들광고로 나와서 밝고예뻐지세요♡
이런 갬성소비성 화장품만접하게되어... 그런건 색조로 충분한데말이졍 ㅠㅠ 너무 곤란했어여.... 화장품의 미래가 피부에 중점을 두게된것같아 기뻐여
제가 20대때 기본에충실한 화장품을 앞으로 쓸수있어 너무 행복합니다 ㅎㅎ 꾸준히 쓸테니 간혹1+1같은 이벤트두 부탁드리옵니다♡♡♡♡",0.0,1개월 전
5,onechoi878,디파님 오늘처럼 편안한 패션도 좋은 거 같아요..!️ 선크림이랑 클렌저도 디파님꺼 잘쓰고있는데 다른것도 조금씩 더 도전해봐야겠어요 ,8.0,10개월 전
6,userxo6tg8ys1z,"영상 시청하자마자 바로 공식몰 들어가서 구입했습니다^^
디파님이 만드신 제품 넘 써보고 싶었는데 올리브영 갈때마다 매번 품절되거나 제품이 없어서 못써봤는데
오늘은 영상시청 후 집에서 편하게 쇼핑했네요~
더 좋은 제품들 많이 만들어주세요~",16.0,10개월 전
7,useroe3oi6mt2r,와 진짜 저를 위해 만든 제품이란 생각이 들 정도로 너무 필요했어요ㅠㅠ 민감성이라 아무제품이나 못쓰는데 디파님 제품은 안심하고 쓸수있어서 정말 애정하눈 브랜드입니다,11.0,10개월 전
8,userex5vh1ru7l,"지금까지 디파 메이드는 다 사용해봤는데
역시 믿고 씁니다 무한 신뢰
디파님! 저번에 건성 파운데이션 top으로 바비브라운
골라주셨는데,  21년도에 리뉴얼이 되서
엄청 매트해졌어요 ㅠㅠㅠ 
디파님이 건성 파데 좀 만들어주세요 젭알🥹",12.0,10개월 전
9,minkyukim9635,더파이 제품 클렌저 에센스 수분크림 선크림 전부 사용 중이에요. 사용감 만족도도 높고 패키징과 용기도 친환경으로 만들어주셔서 감사합니다. 더파이 선크림으로 바꾸고나서 클렌징오일 쓰는 일이 없어져서 오히려 아쉬울정도에요,10.0,10개월 전
