,youtube_id,comment,like_num,comment_date
0,usersq1zz3sn9h,진짜 쿨톤 메이크업도 자주 해줘요 너무 잘 어울려요;;,1.0,1년 전
1,userzb1zb4fv6e,얼릉 건강해져서 돌아오세요,0.0,13일 전(수정됨)
2,usernr4gf6sp5i,77ㅑ 기다렸어욤!! 톤구분 없이 그냥 다 잘어울리는거 같아용️,0.0,1년 전
3,mewmew6848,모야모야  엔딩요정 아니냐구 너무 예쁘당 ,0.0,11개월 전
4,qeq8979,아멜리 싱글섀도우 좋아요!!! 꼭 빈티지 발렌타인 써보셨으면 좋겠어여 ,0.0,1년 전
5,userzy3md3je4g,"앤디얼 속눈썹 영양제 너무 좋아요,,, 마스카라도 살까 하다가 안샀는데 너무 후회해엽,,,,ㅠㅠ
다쓰고 또 살때는 꼭 다 삽니다,,, 진짜 제품력 믿고삽니다,,,정말루 
그니까 하이라이터,,도 만들어주세요,,,",0.0,1년 전(수정됨)
6,userok5rh2yn3u,넘 이뻐용!!!><  네일색 너무 이쁜데 정보 알려주실수있나용??!!,0.0,1년 전
7,Sozq7ys,앞에 예쁜척 타임이 엄청 길어서 넘기고 넘겼는데도 안끝나서 보니까 1분 20 촠ㅋㅋㅋㅋㅋㅋ 이런 유튜버 첨본다 …. Wow,9.0,1년 전
8,usergs1yi1vh5q,카메라는 어떤 거 사용하시나요? 너무궁금해욤 ㅠㅠㅠㅠ,0.0,11개월 전
9,userme2sd5hd3z,연골에 한 귀걸이 모에요?!짱예..,0.0,1년 전
10,nooopeh1vf,앤디얼 브라운 음영도 제발제발 만들어주시면 안되나요…세통 다 너무 잘 쓰고 있는데 다 빨간 빛계열이라 다른색도 원해요 젭발ㅠㅠㅠㅠㅠ제바알 음영팔레트,0.0,4개월 전
11,userfr9qo5nq2i,뭔가 묘하게 잇지 류진 늑김....!!! 너무너무 이뻐요....,1.0,1년 전
12,userns8lj9gt9o,언니 언제 돌아오시나요…,0.0,2개월 전
