,youtube_id,comment,like_num,comment_date
0,jadelee2989,"라웁스님! 오늘 영상은 돈도 돈이지만 갈수록 점점 더 많이  준비하시고 촬영하신 게 느껴져요!  그럼에도 놓지 못하는 드립까지  갑분눈의 꽃,,,, ㅋㅋㅋㅋ 오늘 영상도 너무 감사해요! 라웁스님 덕에 하루가 즐거울거 같아요!",7.0,10개월 전
1,tmddk1294,패션도 센스도 개그도 다 너무 완벽한 라웁스님 ,2.0,10개월 전
2,birthday7227,"오 자켓 넘 예뿐걸요  가격대가 높긴 하지만 확실히 영상으로만 봐도 퀄리티가 좋아보이네요! 세일에 포함에 될지 궁금하네요,,, 피부가 예민한 편인데 항상 촉감까지 디테일하게 설명해주셔서 좋아용",1.0,10개월 전
3,useruj8bu7rj6c,3:55  골져스한 외모에 이 잔망스러움..핑크니트 코디 옙뻐요!! 자라 어플을 한번 더 켜게 만드는 그녀,5.0,10개월 전
4,CatTKiS,"옷걸이 라웁스님이 입으시니 모두 예뻐용~~
다리 길이 저엉말 부럽
좋은 영상 감사합니다. 요즘 자라 못가서 너무너무 답답했는데  잘 보고 갑니다!",3.0,10개월 전
5,yesornosunny,"안어울리는게 도대체 뭔가요...️쏘 뷰리풀,,️️",1.0,10개월 전
6,greenwd5tq,헐 150만원어치! 이 컬렉션 엄청 기대햇어서그런지ㅜ앱에서 봣던거보단 ㅂㄹ인데ㅜ그나마 언니가 살렸다는... 딱 말씀해주신 옷 몇개가 이뻐요!! 글구 중간에 노래부르는거 ㅋㅋㅋㅋㅋㅋ,1.0,10개월 전
7,userym2dn4mx3p,"오늘도 영상에 개그포인트가ㅠㅋㅋㅋㅋㅋ 근데 컬렉션,,, 라웁스님께서 다 살리신 것 같아요,,,ㅎㅎㅎ",2.0,10개월 전
8,182but,라웁스님 영상 보고 이번 세일에 울 블레이저랑 실크 블렌드 티셔츠 구매 성공했어요! 울 블레이저는 심지어 12만원에 구매했다는 사실...!! 잔잔한 분위기에 조곤조곤 자세히 설명해주시는데 중간중간 웃긴 포인트가 넘 재밌어요 좋은 영상 감사합니다 많은 도움이 됐어요（˶ᵔᵕᵔ˶)♡ᐝ,0.0,8개월 전(수정됨)
9,userxd8kj9gr3j,"뻔한 자라 유튜브 보다가, 이거야! 했어요! 완전 제 취저!🫢️",1.0,10개월 전
10,userfo6ws6xs8n,"역시자라하면 라웁스님,,  그리고따라갈수없는 그녀의 유머감각(특히 미사노래^^)ㅋㅋ 근데옷은 전체적으로 이쁜데 체소 170 이상 이신분들이 입어야 느낌이살거같긴하네요^,ㅠ
(164는웁니다)",3.0,10개월 전
11,dailybudongsan,믿고 보는 라웁스님 영상... 스릉흔드구유♡,1.0,10개월 전
12,tlsl6969,6:32  ㅋㅋㅋㅋㅋㄲ라웁스 드립도 개그도 모두 응원해여,1.0,10개월 전
13,useryj9tw8qt2z,4분 40초부터 나오는 노래 궁금해요ㅠㅠ,0.0,7개월 전
14,kalechips3585,,0.0,10개월 전
15,userej5rq8wd4f,라웁수 사랑해!!!,0.0,10개월 전
16,mondrian8023,"목소리가 김연아, 태연인줄... 목소리 넘 예쁘세요",0.0,8개월 전
17,usertv3yz9kp4l,언니 튤립스커트혹시 크게나왔나요?,0.0,8개월 전
