,youtube_id,comment,like_num,comment_date
0,birthday7227,"영상 너무 오랜만이에요🥹
핏장인 라웁스님 또 일내셔따…
아니 랩슬랙스 미쳤는데요…? 너무 예쁜…(깨알 짬푸 귀욥)
에일라 구경갑니다아️️️",1.0,1년 전
1,osyo93,티셔츠 슬랙스 딘짜 찰떡이시네요ㅎㅎ 넘 이뻐욤,2.0,1년 전
2,greenwd5tq,기다렷어요! 영상보고 위시리스트담아둿어요.. 언니의 개그넘치는 영상두 기다리고잇어요..,2.0,1년 전(수정됨)
3,jadelee2989,라웁스님! 기다렸어요!  건강하게만 지내다 천천히 돌아오라고 (마음속으로)했는데 왜 아픈거에욨! 돌아왔으니 됐어요!  팔은 나아지고 계신거죠? 무리하지 말고 잘 나으셔요! 에이라 옷들 처음 보는데 눈여겨보게 됐어요! ,4.0,1년 전
4,do6765,"와 너무 오랜만이에요ㅠㅠㅠ 영상 계속 기다렸는데 오랜만의 하울 영상이네요!!!!!!
6분 30초에 바지 존예에요... 라웁스님 더 자주 보고싶어요 ㅠㅠ",3.0,1년 전(수정됨)
5,userqh6vc8ry7p,대박 영상 엄청 기다렸어요ㅜㅜㅜㅠㅜㅠㅜㅜ오랜만에 하울영상인데 웅니.... 팔 머선일이에요ㅜㅜㅜ 근데 언니가 하니까 몬가패션같은 늑힘.. 글구 기본티 존예에요️,8.0,1년 전
6,mimimimimimimi8327,세상에 크롭 셔츠. 너무 이쁘네요!! 내 배둘레햄들만 아님 당장 샀을 템!!,0.0,1년 전
7,haynekim,아 지나가던 목굵은 어깡 넥라인에서 바로 좋아요. 좀 마음에든다싶으면 맨날 목 답답하던데 좋다,0.0,1년 전
8,userjs3du8bf9d,보고싶었어요ㅠㅠ 왜 이제야 오신거에요 이제 날씨가 추워져서 옷사려고 계속 보러들었왔단말이에요 근데 기다리기 좀 잘한듯 오늘 가지고온 옷 무난한듯 싶지만 깔끔하고 너무 제 스타일이에요,0.0,1년 전
9,userfo6ws6xs8n,진짜올만이에여ㅠㅜㅠㅠ웁스님 다른브랜드얘기해서죄송한데 자라신상 요상한 옷들 마니나왔어요^^;ㅋㅋㅋㅋ,3.0,1년 전
10,yesornosunny,웅니 너무 예뻐요 사랑에 빠질거가태••,0.0,1년 전
11,userjw1hn3ee8u,"안 그래도 키 3센치 더 크고 싶는데 성장기 끝난지 10년도 넘어서 아쉬웠는데, 에일라를 입어야겠어요.",3.0,1년 전
12,fuz2423,얼마 만이에요!! ㅜㅜ 앞으로 자주 봤으면 좋겠네요 ;),4.0,1년 전
13,userfw2gw6yy2n,2분 55초 노래 너무 궁금해요!!! ㅜㅜㅜ,0.0,1년 전
