,youtube_id,comment,like_num,comment_date
0,ranymatos9637,Lindas peças 🇧🇷,2.0,9개월 전
1,userid8tv8fd2y,카멜과 베이지의 매력을 깨닫게해주신 고마운 망고님. 오늘도 좋은 룩 최고에요.,7.0,9개월 전
2,jenni4ko,망고님 스타일링은 항상 너무 좋아요!,0.0,8개월 전
3,userln1ic8ow2i,지난 영상들 보면서 스커트가 너무 궁금 했었는데 수선화 스커트 알게 돼서 좋아요^^,4.0,9개월 전(수정됨)
4,YUJIN1994,매력적인 분의 채널을 알게 되어 너무 기쁘네요.. 감사히 잘 보고 갑니다,0.0,9개월 전
5,useruz8dm2dz4q,"매력있는 분이에요
옷을 멋지게 소화하십니다
좋은 정보 감사해요 ~~^^",2.0,9개월 전
6,libera1174,"셔츠랑 주름스커트 넘 예뻐요.ㅎ 저도 요즘 카멜코트가 사고싶은데 제가 가진건 베이지느낌 카멜이라서 또 다른느낌의 카멜코트 또 예쁜게 갖고싶지만... 저는 옷장터지는거 싫어하고 망고님처럼 미니멀 추구해서 롱코트4개 , 자켓코트 2개 있는데 사실 그래도  30대중반되니까 욕심은 계속나네요 ㅎㅎ 암튼 겨울에 니트만입고 니트조끼입고 출근해서 늘답답했는데 겨울에 블라우스 저도 다시꺼내야될듯요^^ 잘봤어요.ㅎ",0.0,9개월 전(수정됨)
7,stella9838,크림색 캐시미어 예뻐요~,0.0,9개월 전
8,inhyehong8688,혹시 브라운 백 정보 공유해 주실 수 있으세요? 너무 멋스러워요!!,0.0,9개월 전
9,jeongjapark375,독일로 배송될때 관세 지불해야 되지 않나요?  덕분에 좋은 브렌드 많이 알고 갑니다,2.0,9개월 전
10,userfo7yb8sw7c,와 제가 좋아하는 컨텐츠!! 미리 좋아요 누르고 볼게요ㅎㅅㅎ,1.0,9개월 전
11,ilranseo6329,"영상 잘봤습니다.
케시미어 스웨터 보관 어떻게 하시는지 궁금합니다. 저는 드라이클리닝해서 옷장 선반에 접어 보관하는데 좀이 먹어 작은 구멍이 생겼어요. 비싸게 구입한것들이라 속상합니다. 다른분들은 어떻게 하시는지  
궁금합니다. 나프탈렌은 건강에 안좋다해서 꺼려집니다.좋은 방법 없을까요?",0.0,9개월 전
12,userpp6rg2ns8n,오랫만에 좋은 영상 올려 주셨네요.절보았어요,0.0,9개월 전
13,userxk2hu6uk6x,스커트 수선화 색깔은 다 팔린걸까요? ㅠㅠ 홈페이지에 검정밖에 안떠서요 망고님 ㅜㅜ,2.0,9개월 전
14,useryc8qt7lg2h,오랫동안 안보이셨는데 반가워요. 너무 근사했어요,2.0,9개월 전
15,useryvv4le5v,"스윗망고님 
릴리옷 편안해보이시네요
릴리제품 실크블라우스와 캐시 토들넥 앞에 무늬 있는 옷 사고 싶은데요
망고님
입으신 사이즈 알려주세요
도움되겠어요

근데 한국에서도 살 수 있는지요
저는 165-55 60대입니다",0.0,7개월 전
16,cindyhyun2109,카멜 코트 정보 알려주세요 ^^,2.0,9개월 전
17,rimi4436,패딩 어디제품인가요?,1.0,9개월 전
