,youtube_id,comment,like_num,comment_date
0,Blondie77128,"Hello! Thank you for another lovely video Thank you for the English subtitles  We spend a lot of time out and about on the weekends and stylish sneakers are a must for me. Seems LAR are not available in US. Last year I purchased Veja sneakers, which are aslo made from recycled leather and eco friendly materials. I’m drawn to responsible companies and better for the environment products. Another sneaker company that makes simple, unbranded sneakers is Thursday Boot Company (high quality, reasonable prices). Love your styling videos, keep them coming!",1.0,10개월 전
1,jinnyhong8673,스니커즈가 모두 다 잘 어울리고 맘에드는게 심플한것이 친환경이라 더욱 끌립니다.,3.0,10개월 전
2,annadaily,"너무 예뻐요
착한브랜드 소개 너무 좋습니다!!",3.0,10개월 전
3,userwz9sq1om1p,늘 보던옷과 새로운 옷과의 조화로운 코디가 역시 망고님 센스 최고~~ 스니커즈가 너무 편하고 깔끔해 보여서 LAR 기억해놔야겠어요~ 지금은  로바이챌린지중이라서 참아요 ㅋ,1.0,10개월 전
4,emmarp5wt,"망고님 코디를 보며, 미니멀 옷장을 보며, 소비철학을 보며 항상 감탄하고 가요. 저도 저만의 컬러를 찾아 최소한의 쇼핑만 해보려고..일단 퍼스널컬러 테스트를 신청해놓았네요. 패션 대식가에서 미식가로 성장해야죠.",1.0,10개월 전
5,TVjv8mx,저도 스니커즈 매니아인데 나이드니 구두도 안 신게 되고 로퍼도 불편하고 스니커즈가 짱이더라구요 ,10.0,10개월 전
6,usercz6xq4gg6j,"ㅎㅎ저도 망고님 추천으로 저 스니커즈 하나 겟 했습니다
때마침 필요 했었는데 어찌나 좋았던지^^
첫화면 부군과함께 등장에서 망고님 스퇄~참 예뻤습니다ㅎ
저도 좋은 의미의 LAR 스니커즈 ㅎ
강추입니다^^",2.0,10개월 전
7,wnd9gus9,친환경브랜드 넘 좋아요  저두 구매,1.0,10개월 전
8,hanakim8291,너무 잘 봤어요~^^ 감사합니다,1.0,10개월 전
9,asmrlve3835,전 옷도 잘 못입는데 이렇게 알려주셔서 너무 좋아요 감사합니다 감기조심하세요 ,1.0,10개월 전
10,userpc2ic5kg9f,"스윗셔츠와의 매치 너무너무 예뻐요.
아 정말 다 예쁘네요~",2.0,10개월 전
11,mjjang7554,좋네요~ 좋은 브랜드 소개 땡쿠용^^,1.0,10개월 전
12,userpw4sy1uv2s,"망고님 첨 댓글남겨요 오늘 내용도 넘 도움이 되고 좋아요   코디 중간에보이는 망고님의 복근에 또한번 놀랍니다^^
요즘 운동시작하려는데 자극받고 가요 또 올게요^^",1.0,10개월 전
13,userhf3qo2cx7t,친환경 스니커즈라~~~아주 좋습니다,0.0,9개월 전
14,jieunyi1535,Shirt dress 는 어느 브랜드인가요? 망고님이 입어서인지 아주 예쁘네요. ,1.0,10개월 전
15,userfo7yb8sw7c,와 새로운 영상 일단 좋아요 누르고 집에가서 볼래요 흐흐,3.0,10개월 전
16,useroz3kc6mz2q,"안녕하세요. 오랫만 입니다.
늘 영상 시청 하고 있습니다.
유익한 영상 감사드려요.^^
세잔 오버 셔츠(스웨이드 가죽) 사이즈 S 하면  여유 있나요? 레이어드 하기의 여유)  저는 164에 55 입니다.
S를 주문해 버렸는데 해외 직구  배송 출발해 버린 것  같아서 난감하네요.ㅠ",2.0,10개월 전(수정됨)
17,akinuakinu2087,,1.0,10개월 전
18,toToup9rz,뒷부분에 아이보리색에 주황꽃 맨투맨 어디건지 여쭤봐요,1.0,10개월 전
