,youtube_id,comment,like_num,comment_date
0,userzd3hd4ff7p,"은근 신경쓰이는 정수리 냄새,  향수로 해결하니 좋네요.   휴대도 간편하고 정말 좋아요.",0.0,7개월 전
1,atti123,향수로 정수리냄새를 없앤다니 신박하네여~ 휴대도 간편하고 사용하기 편리하겠어여 ,0.0,7개월 전(수정됨)
2,zolafun,"향수의 용도가  다양해 졌네요. 향도 좋지만 
탈모예방 효과도 있어 정말 좋을듯 싶네요. ^^",0.0,7개월 전
3,userfv1qi2hk1n,제 직장에서 그것도 옆에 앉아 일 같이하는 후배가 정수리 냄새가 언제부터 특이하게 올라오던데 본인은 모르나 보더라구요 매일 머리 감는거 같은데..그래서 랏뚜님 추천제품으로 선물해 줘야 겠어요,0.0,7개월 전(수정됨)
4,JHY922,정수리에 직접뿌려서 냄새를 관리해주겠네요 좋은데요️️,0.0,7개월 전(수정됨)
5,eunisun1230,특별한 향수네요. 정수리~ 내놓고 얘기 못하지만 신경쓰이는 곳인데 괜찮은 아이템이네요~,0.0,7개월 전
6,ithing,와우 두피전용 향수라니 신기하네용 숲속향이라니 상쾌할듯,0.0,7개월 전(수정됨)
7,useref3lx4ng6r,"머리에 많은 신경이 쓰이는나이인데!
좋은 아이템입니다.
잘 사용 하고 있어요!",0.0,7개월 전
8,useroj5xp5of7b,두피에 뿌리는 향수도있군요 은근히  두피냄새  신경쓰일때가 있거든요 한번 사용해보고 싶네요  ,0.0,7개월 전(수정됨)
9,usercc1zt8fg7j,향수로 정수리냄새를 없앨수있다니 탈보예방에 효과가 좋은제품이네요 써봐야겠어요,0.0,7개월 전
10,raedjoo,머리를감아도 나는 정수리냄새에 뿌리는 향수로 해결된다니 신박한 아이템이네요,0.0,7개월 전
11,kjh61876,두피에 뿌리는 향수는 처음 들어보는데 궁금하네요 내가 모르는 정수리 냄새 관리해줘야겠네요 ,0.0,7개월 전
12,nko246,숲속향기 너무 좋을거 같은데요 프레쉬 할거 같아요,0.0,7개월 전
13,simille,정수리에 냄새가 나서 고민인데 향도 좋고 효과좋다니 써보고싶네요,0.0,7개월 전
14,wldb1253,나이가 들면서 머리에서 냄새가 좀 나던데 두피 향수를 사용하면 신경도 덜 쓰이고 자신감도 생기겠어요..,0.0,7개월 전
15,hok8096,머리를 매일 감아도 두피냄새 나는 사람있어요 이거 하나면 딱이네요 고민해결되겠어요 선물용으로도 딱,0.0,7개월 전
