,youtube_id,comment,like_num,comment_date
0,userck9vu7hk5q,춤추시는거 너무 귀여운거아닌가요!! 시어머니 한복 너무 이쁘세요 ,6.0,11개월 전
1,Nolja02,"결혼준비 브이로그 너무 재밌어요 ㅎㅎ
그저 행복만 하세요 영상을 볼때마다 에너지를 많이 받고 가는거 같아요 감사합니다",0.0,11개월 전
2,nonamefe2dd,분당나오면 너무 반가워요 ㅎㅎ 결혼 축하해요,0.0,11개월 전(수정됨)
3,userys3lk5ho5r,와 근데 결혼식 한복 정말 예쁘네요 마지막에 고기만 기억에 남는 엄청난 비주얼ㅋㅋㅋㅋ결혼준비 마지막까지 화이티잉,1.0,11개월 전
4,userpz6zj2im3f,"우와~~ 러브솔님 진짜 결혼하시는게 실감되네요 ㅎㅎㅎ 결혼 정말 축하드려요!!
그리고 고기 참 맛있겠네요 호",0.0,10개월 전
5,sky29010,아 브이로그 너무 재밌어유ㅠㅠㅠㅠ,0.0,10개월 전
6,userek2lh7si6u,시어머님 한복색깔 너무 잘 어울리세요! 솔님~ 유튜브 하기 전부터 인스타에서 봤는데 결혼하신다고 하니까 뭔가 기분이 이상하네요ㅋㅋ 무튼 결혼 너무 축하드려용,2.0,11개월 전(수정됨)
7,hjhalove,저도 운선제에서 한복했는데ㅋㅋㅋㅋ결혼준비하던 생각이 새록새록!,0.0,11개월 전(수정됨)
8,userxk4kc9xd5v,러브솔님 결혼 축하드립니다,0.0,11개월 전
9,useruc2pk1xl3d,인스타 완전 초기때 부터 봐왓는데 시집 가신다니 뭔가 기부니가 묘하네요  제 짝도 곧 나타나겟쥬? 호,0.0,11개월 전
10,userkr2nx1jb9u,시어머님이랑 목소리가 비슷한거같아요!!!! 싱기!!,0.0,11개월 전
11,userpx6nq9qk4q,이뽀요 상의 정보 알수잇을까용,0.0,11개월 전
