,youtube_id,comment,like_num,comment_date
0,yunseonju9091,정신없이 지나가는 한국의 결혼식보다 서로에게 집중할 수 있어서 훨씬 좋은것 같아요. 결혼을 진심으로 축하드립니다~,14.0,3개월 전(수정됨)
1,brillerconsulting,"진심으로 축하드려요!!
두 분 너무나 잘 어울리세요
앞으로도 행복하게 사시길",9.0,3개월 전
2,zxcvb3264,"어쩜 이리도 참하고 이쁜 커플이 있을까요? 축하해요
혜원님  행복하실거에요
마음이 이쁨이 드러나운 착한 성품의 혜원님과 9년을 하루 같이 사랑해 준 남편분도 심성을 알 수가 있죠 
한 번더 축하해요",6.0,3개월 전
3,wowgirl8804,"드레스에 자켓,부케까지 다 자연스럽게 예쁘네요. Congrats on your wedding ",3.0,3개월 전
4,usernj4fm7un5k,마음을 뭉클하게 만드는 결혼식이었어요 앞으로도 많이 많이 행복하시길,6.0,3개월 전
5,Ohmmanibanmehum,참으로 이상적인 결혼이네요. 서로를 바라보는 시간이 참 많은 결혼식! 주변 시선에 산란한 마음 없이 서로에 충실한 결혼식!  부럽습니다. 행복하세요.,25.0,3개월 전
6,useryw7tk9tb4e,혜원님 결혼 너무 축하드려요ㅠㅠ 앞으로도 행복하게 사시길 진심으로 바랄게요!!,3.0,3개월 전
7,userql4ne8lp9y,너무 로맨틱하고 이쁜 결혼식이네요! 언제나 행복하고 즐거운 일만 함께 하시길 기원합니다. 결혼 축하드려요,6.0,3개월 전
8,heeyoungkim1369,너무 축하드려요!! ㅠㅠ 경건하고 아름다운 결혼식에 마음이다 뭉클하네요 행복한 나날만 이어지시기를!!,4.0,3개월 전
9,KKsx6xg,"아름다운 결혼 진심으로 축하드립니다!
행복만 가득하세요 !!",3.0,3개월 전
10,BeepBeeppo,ㅠㅠㅠㅠㅠㅠㅠ이렇게 예쁜 결혼영상 공유해주셔서 감사합니다~~ 행복하게 사세요!!!!!!! 축하드려요!!!!,4.0,3개월 전
11,byeonghyunpark9652,축하드려요 두 분 행복하게 오래오래 사세요,1.0,3개월 전
12,userug4ww9hn1l,와 9년연애... 행복하게 사세요!!,1.0,1개월 전
13,userfq7eq8ch2r,와!!! 제가 딱 원하는 이상적인 결혼식이예요 어쩜 수수하게 해도 이렇게 아름답네영 ㅜㅡㅜ 너므너무 이뻐영 결혼을 축하드려용,3.0,3개월 전
14,ss0lB,저희도 올해 결혼했는데 그때가 생각나며 눈물이 납니다. 서로를 아끼며 저희 오래오래 행복하게 살아요,5.0,3개월 전
15,shonadiary,"넘나 스윗하고 예쁜 커플 아니 부부 ..🫶
진심을 담아 축복하고 사랑을 보낸당 ~~* 
앞으로도 행복가득 할꺼야 ! 

이렇게 영상으로 보니 넘 좋다아 :)",0.0,3개월 전
16,smp5894,"축하합니다 참 예쁘고  이상적인 결혼식이네요~진정한 둘만의 결혼식인것같아 더 소중하고 아름답게 느껴지네요
행복하게 사세용",2.0,3개월 전(수정됨)
17,mjlee1221,결혼 축하드립니다 성혼선언문 내용이 너무 낭만적이라 듣는 제가 다 설랬네요,1.0,3개월 전
18,estherm9332,"제가 다 뭉클해 지네요 ㅠㅠ
드레스에 자켓 심플하면서 자연스러운게 고급지고 너무 이뻐요!! 
결혼을 진심으로 축하드려요~!!",0.0,3개월 전
19,userme9yw4uc7c,"혜원씨 너무너무 축하드립니다~가슴 벅자고 뭉클한 순간이네요.
두분 행복하게 잘사시길 기원 할께요^^",8.0,3개월 전
20,grapej1651,"보는 내내 저도 함박미소를 지었네요, 영국의 혼인신고는 정말 낭만적이네요, 결혼 축하드려요~  10년이란 시간동안 변치않으셨다니, 정말 대단하세요.  이젠 부부로써 영원을 사시길 축복드려요~^^",3.0,3개월 전
21,userto3xl5cg3p,"결혼 축하드려요~
아름다운 나날들로 두분이 만들어가시길~~",0.0,3개월 전
22,usercd2ew9zx6z,혜원님 눈물흘릴때 너무 뭉클하고 벅찬 감정이 전이되서. . . . .  두분의 결혼을 진심 축하드려요,0.0,3개월 전
23,miokkim2603,이제야보다니ㅜㅜ 결혼 진심으로 축하드려요 ,1.0,3개월 전
24,choi6546,정말이지 예쁜 커플이네요~~ 아름다운 신부 혜원님 항상 행복하시길 ,12.0,3개월 전
25,jennalee9093,정말 축하드려요! 예쁘게 재미나게 행복하게 사세요!! ,0.0,3개월 전
26,vivivicoco4640,축하드려요혜원님영상 항상 소중하고 감사하게 보고있습니다. 행복한 결혼생활 하시길 바라겠습니다.,0.0,3개월 전
27,rachellee7693," 결혼 너무 축하드려요.
드레스 너무 심플하니 아름다워요. 인생의 동반자로서 서로 다름을 이해하고 받아들이면서 행복하시길! 저희 남편도 이마가 태평양처럼 넓어요! 이마 관상이 모자이크 처리해도 너무 좋으시네요",2.0,3개월 전
28,userme4co4ql9j,"결혼 축하드립니다
두분 행복하시고 건강하세요 응원합니다",1.0,3개월 전
29,userqw2hk2fu1x,결혼 축하해요 너무나 로맨틱하고 좋네요 눈에서 꿀떨어지는게 가려도 다 보이네요 행복한 결혼생활 되시길 바래요~~~,0.0,3개월 전
30,ulsan1234,"두분 결혼축하해요
꽃길만 걷길~~~",1.0,3개월 전
31,userpj4im2py5b,"축하해요♡
더욱 즐기고 행복하세요^^
남편께도 축하한다고 전해주세요^-^
좋은 영상으로 늘 만납시다♡♡♡",0.0,3개월 전
32,ddosamunni,혜원님~~얼마전 부터 보기 시작했어요^^  늦었지만 결혼 진심으로 축하드립니다. 결혼식 이 뭉클 하면서 따뜻하네요 늘 알찬 영상 잘 보고 있어요  늘 행복하시길,0.0,5일 전
33,hye2911,혜원님 결혼 축하드립니다 ,0.0,3개월 전
34,minayun2001,"혜원님
축하합니다
오랫동안 런던혜원 영상을 꾸준히 봐왔는데 드디어 웨딩벨을 눌렀군요
오래오래 행복하시기를 기원합니다~",2.0,3개월 전
35,userjt7rc8zd5i,늦었지만 진심으로 축하드려요 혜원님!! 행복하세요. 저도 같이 눈물 났네요 ㅎㅎ,0.0,3개월 전
36,Adelbq1zh,너무 아름다워요 ㅠㅠ 혜원님 팬 됐어 ㅠㅠ 축하해요 ♡,0.0,1개월 전
37,katelee4024,감동적인 결혼식 장면이네요. 축하드려요~,0.0,3개월 전
38,userhv4ko9vb6c,"너무 축하드려요.
행복하게 사세요.",0.0,3개월 전
39,userse1vl7rw7o,그동안 영상 열심히 보고 담주 포시즌 햄프셔에 갑니다 런던여행에 도움이 많이 되어서 너무 감사드립니다 우아하고 낭만적인 결혼식 축하합니다,0.0,3개월 전
40,leemina8194,축하해요~ 앞으로도 더 행복하길 바래요,0.0,3개월 전
41,userfm1cc6xs2b,왜케ㅡ눈물나죠 ㅠㅠ 혜원님 너무 예쁘고 너무 축하해요 ㅜㅜ 우리웅니 시집 가는거 마냥 펑펑 눈물나네요 ㅠㅠ 행복하세요 ,0.0,3개월 전
42,userpc3og5tn4v,"결혼 축하해요 
너무 예쁜커플",0.0,3개월 전
43,cata3163,"너무너무 축하합니다
아름답다는 말 그이상이네요
가족같은 맘으로 축복드립니다
세상에서 가장 사랑스런 두분~",0.0,3개월 전
44,userez5ly3vq2q,"결혼 많이 많이 축하합니다
한개도 빼지 않고 쭈욱 시청하며 함께 행복했어요
아들딸 잘 낳고   영원히   행복을 누리세요♡♡♡️️️️️",1.0,3개월 전(수정됨)
45,userly3ob7bn3n,"결혼식 넘 좋네요
이게 찐 결혼식ㅎ
10년 연애 쉽지 않은데ᆢ 
전 15년 ㅎ
혜원님은 진정성이 자꾸 보게 되네요
행복하세요^^",0.0,3개월 전
46,usermy2md2zz9k,"혜원씨 감동적이었어요
혜원씨 같은 동생이 있으면 참 좋겠다는 생각이 드네요
멋지고 당당하게 사는모습 잘 보고 있어요~~^^
축하해요",1.0,3개월 전
47,ohshoo80,혜원님 초창기부터 구독하고 있어요. 왜 동생 결혼 보내는 것처럼 내가 눈물이 나고 뿌듯할까요? 지엔님과 행복한 가정이루면서 이쁘게 살아요~,0.0,3개월 전
48,userng2in6mm4x,혜원님 결혼 축하합니다.  행복하게 사세요.,0.0,3개월 전
49,userso1jn8bf6j,서로 존중하며 예쁘게 잘 사세요.,0.0,2개월 전
50,sson7638,나 왜 울고있냐  너무 이쁘당….  다시한번 축하해잉,0.0,3개월 전
51,userui5ew4xr8y,늦었지만 결혼 축하해요~~,0.0,1개월 전
52,bbkb1po,축하드려요 ^^ 더더행복하세요,0.0,3개월 전
53,woonjungkim2346,두분 축하드려요. 백년해로하시길... ,0.0,3개월 전
54,userlg4pd8je3o,혜원 결혼 축하해 ,0.0,2개월 전
55,annaeomma9354,"와.  늦었지만 많이 많이 축하드려요 혜원씨.
기쁜 마음에 댓글 처음 남겨보네요.
오랜만에 영상 반가워요.
보통 외국은 성당 아니면 시청에서 혼인을 올리더라구요.
결혼식 영상 넘 아릅답습니다. 예복도 잘 어울리세요. 예복 찾아 다니신 영상도 생각나네요.
두분 앞날에 행복. 은총 가득한 가정 이루시길 축복합니다.",0.0,3개월 전(수정됨)
56,userwk6vx7qk7m,"울 조카랑 조카사위 넘 잘 어울리는 커플이네.
지금처럼 많이 사랑하며 행복하렴.
축하해.",1.0,3개월 전
57,usermn1hs1kz5g,행복하게 잘 사세요~ 너무 감동적이네요,0.0,3개월 전
58,userlb4kk7id6v,"축하드려요
행복하세요",1.0,3개월 전
59,useryq4xg6do9g,"혜원님
너무 예쁘고  사랑스런 영상이었네요.........감동스럽네요,
진심 축하드려요...........혜원님 단아하신 모습이 참 예쁘시네요..........
영원히 두분 행복하세요..........",1.0,3개월 전
60,jyk3546,"결혼식 준비부터 쭉 지켜봐서그런가 내적친밀감이 ㅎㅎ 진짜 결혼식 참석한거같고 그렇네요 ㅎㅎ 
축하드려요~",0.0,3개월 전
61,yl5062,축하합니다️   두분오래오래 행복하세요,0.0,3개월 전
