,youtube_id,comment,like_num,comment_date
0,userph3yo4nr4g,"60대가되니 안티에이징에 각별한 관심이 갑니다.
피부 관리에 무감한 나에게 힘이 되는 민서씨 영상이네요
감사합니다 ~♡",2.0,8개월 전
1,userdd2dp9zn1y,안그래두 삼십살 가까워지면서 눈가주름이 너무 신경쓰였는데 딱 필요한 영상이에요,1.0,8개월 전
2,usergg7ge9bn1z,어머 민서님 살빠져보여요~  얼굴이 여리여리해보여요~~,9.0,8개월 전
3,userhy3wl6yq9g,민서님진짜동안이에요 저두 나이들고 오히려동안이라는소리듣는데 신기해요️ㅎ 모공에센스 매일쓰는데 넘좋아요 메컵하면 유분도 덜올라와서지속력도좋아욤ㅎ 아이패치도 눈밑주름에좋다니깐 써보고싶어요ㅎ 오늘도영상잘봤어용 이뿡민서님 설날잘보내세요,1.0,8개월 전
4,usersf3ri1wm6z,얼굴이 환해지고 맑아지신것 같아요~  흰색셔츠 잘 어울려용,1.0,8개월 전
5,ehehkc1fc,언니 모공에센스랑 mts샀는데~mts 알콜뿌리고  오늘 2번째사용했는데 보통 몇번정도 사용후 버려야 할까요?,1.0,8개월 전
6,useroy7ty6jm2b,너무 이뻐요 언니ㅠㅜ 블러셔 어떤거 쓰셨는지 알려주실 수 있나요?,1.0,8개월 전
7,lilshuribabe,점점 미모가 리즈가되어가는언냐,2.0,8개월 전
8,kkkkkkksssjjjjjjj,목걸이랑 상의 정보좀요~!,0.0,6개월 전
9,userkw9gw3mq6d,헐 20대이신줄,4.0,8개월 전
