,youtube_id,comment,like_num,comment_date
0,rosefix,"여러부우우우운 오늘 우리 구독자분들 위한 혜택
블랙슈가첫세럼 기획전 (9/16~9/22)
https://vo.la/Mam10n
* 스킨푸드 공식몰 회원 한해 구매 가능

(기획전 한정 혜택)
- 35% 할인 + 5% 추가 할인 쿠폰 발급
- 4,000원 상당의 첫세럼 전용솜 증정 세트
- 블랙슈가 첫세럼 30ml 2EA 증정
- 무료배송 혜택

(구독자 분들을 위한 5% 추가 할인 쿠폰 사용 방법)
① 로그인 - 마이페이지 - 쿠폰메뉴
② 쿠폰 인증번호 등록하기에 ' 로즈픽스첫세럼 ' 등록

할인쿠폰까지 꼭 쓰시고 득템하세요",6.0,1년 전
1,userlv2bz3eh3d,매번 좋은 제품 많이 소개해주셔서 너무 감사해요!,1.0,1년 전
2,usergk8ii4zv4v,"오옹 좋은 제품을 소개해 주셔서 감사합니다
다 너무 좋아보이고 써보고 싶네요!!
행복한 주말 보내세요",1.0,1년 전
3,userqu9on1lp1n,와아 이틀 연속 영상이라니  지금 시기 딱 필요한 추천템들이에요 요즘 피부 건조하고 그래서 뭘 발라야할지 고민이였는데 장바구니에 하나씩 담아야겠어요,2.0,1년 전
4,userwk9lq8dt3w,오 수소 마스크팩 진짜 제 애정템이에요! 이 팩 아는 사람 별로 없더라구요 ㅎㅎㅎ 인생팩 진짜 ㅠㅠ,1.0,11개월 전
5,jenniferlee4011,가을 룩북도 함 해주시면 좋을 것 같아용 헤헤,5.0,1년 전
6,usertp8wi4bt2d,"내가 이래서 로즈픽스님을 안 좋아할 수가 없지요, 캬 조말론 향.. 이야 진짜! 환절기템 블랙슈가 기획전까지! (저도 영양감 많은 거 바르면 비립종 생겨요- 진짜 피부타입 비슷) 입술각질 립밤까지! 알랍로즈픽스엄지척!",1.0,1년 전(수정됨)
7,LaNact3db,오늘두 지갑열리게하는 로즈언니,1.0,1년 전
8,OOOMind,피부도 피부지만 환절기 감기 조심하세요~️,2.0,1년 전
9,Lllsb3oi,언니 좋아하는 가을 옷이랑 악세사리? 패션 영상도 올려주세요 언니 너무 이뻐요 ㅠㅠ,3.0,1년 전
10,wj9415,메디필 이벤트 제품 딱 오늘 왓는데 ㅠ 또 질러야 겟군요 ㅋㅋㅋㅋ 결케어는 못버려 ㅠㅠㅠ 언니영상 보다가 곡물팩 전파 하느라 늦게 댓글달아요  저 언니땜에 전문가됏어여 ㅋㅋㅋ 메이크온 젬소 누가 마켓 한다고 들엇던거같은데 한번 찾아봐야 겟어여 ㅋㅋㅋㅋㅋ,1.0,1년 전
11,RosaK,블랙슈가 첫세럼 구매했어용 ㅋㅋ 좋다는 얘기만 들었는데 이번 기회로 입문해봅니당 ><,1.0,1년 전
12,usergo2th9yu8g,언니 가을 쿠션이나 베이스 제품도 추천해주세요 오늘 영상 베이스는 어떤거 사용하셨어요?? 저 요즘 ㅜㅜ 화장도 잘 안먹고 뜨기만해요,3.0,1년 전
13,userce4le4nc6d,조말론 좋아하는 1인 영상 보러 왔어요  아베다 오일 궁금하네요 스트레스 자주 받는데 사용해봐야겠어요,2.0,1년 전
14,chloe3206,오늘 메이크업 립이랑 블러셔 공유해주세욤 ,2.0,1년 전
15,userjf9jy9ln1e,와빨리와따~^^언니 오늘두 영상감사합니당~^^♡♡♡,3.0,1년 전
16,userfr2xl7xz3j,혹시 수소마스크팩 어디서 구매하세용~~??? 자사홈페이지 이런곳은없나융....,0.0,9개월 전
17,userdp3dp3nr8q,비립종은 어떻게 없에나여?,1.0,1년 전
18,ninnin8679,오호 안그래도 바디로션 다썼다규요! 어떻게 알았지~~~~~,1.0,1년 전
19,userxk4kc9xd5v,로즈픽스님 추석 명절 잘 보내셨나요?,1.0,1년 전
20,userto1wx5lc8h,오오 조말론 존똑 향,1.0,1년 전
21,hina0,젬소노테라피. 이니스프리 레티놀 앰플과 써도 괜찮을까용~~~????,1.0,8개월 전
22,supershymakesksksksjdgsu,9:16,1.0,4개월 전
