,youtube_id,comment,like_num,comment_date
0,sunnybin964,"타임라인
1:30 이토야 : 층별로 다양하게 문구(!!!) 파는 곳
5:40 로프트(5층!)
10:02 긴자 산리오월드
13:04 (사심 섞음) 긴자 토이파크
: 지브리 좋아하면 가기
14:22 긴자 도큐핸즈 : 미도리노트 많음
16:28 편의점 털기
18:00 대충 명품부터 하는 하울",98.0,5개월 전(수정됨)
1,usersw5bm7yf4s,"일본 감성은 즈하님이 진짜 잘 담아내시는 것 같아용 
귀욤뽀짝 제품들 대리만족 되게 왕창 구매해주셔서 넘넘 조아요",38.0,5개월 전
2,uservh5cm7ny4i,언니가 말아주는 문구 하울 아님 안먹어~~ㅜㅜ 즈하언니 특유의 갬성과 분위기가 너무 좋아요!!! 요즘 영상 자주 올라오고 인스타도 자주 해줘서 너무너무 행복해요..진짜루~~ 언니 영상 보는게 제 삶의 낙이에요 !!!,38.0,5개월 전
3,userws9jh7nz5g,로즈하님만의 이 감성... 얼마나 오랜만ㅠㅠㅠㅠ,210.0,5개월 전
4,Clovis80,미춌다ㅜ 진짜 즈하언니 일본 브이로그는 백만번 돌려봐도 질리지 않고 볼때마다 행복해지는 선물같은 영상이에요!!🫶 오늘 영상두 진짜  레전드 이번 영상두 백만번 돌려봐야징️,15.0,5개월 전
5,userwo3jk4kl6r,언니랑 도쿄의 블링블링한 가게 이미지가 너무 잘어울려요~,21.0,5개월 전
6,namooooooo,"제목 보자마자 호다닥 들어왔어요ㅎㅎ
즈하언니 일본여행, 문구하울 못참지
여행브이로그는 언니가 즐거워하는게 보여서 더 좋아요",6.0,5개월 전(수정됨)
7,userfu2df9nb8d,저는 언니가 행복하고 편안하게 공유해주는 일상이 제일 좋답니다️ 일상 속에 더해지는 힐링이 바로 언니 영상이기에 🫶,6.0,5개월 전
8,usernn7zo1gr3p,언니의 애정이 듬뿍담긴 영상 잘 볼께요🫧언니 영상만 보면 기분이 몽글몽글해져서 넘 좋아요️요즘 영상 자주 올려줘서 넘 고마워요,10.0,5개월 전
9,jjyynn,로즈하님의 일본 여행 브이로그! 예전것도 여러번봤는데 이것도 그럴예정.. 문구류 다양하게 보여주셔서 너무 좋아요! 흑발 앞머리 진짜... 너무 이쁘시다는🥹,2.0,5개월 전
