,youtube_id,comment,like_num,comment_date
0,clifforddang5947,"I was born in this city but now living in the U.S, I haven't been back for 30 years, your video has inspired me to take a solo trip to my hometown!",0.0,4일 전
1,souuls2523,로지님 혼자 여행 다니시는데 어떻게 핫플 찾는지 궁금해요~ 가시는 곳 마다 로지님 손민수해서 다니겠습니다… 달랏도 도쿄도 싱가포르도 가게 된다면…,2.0,6개월 전
2,Oliviaqi4ce,여행 브이로그는 역시 로지님이 최고예여!!!,6.0,6개월 전
3,userfe4sx2zf7y,풀가득한 카페 넘 이뻐요..그와중에 사진찍어드리고 뿌듯해하시는거 넘 가여우신거 아니신지ㅋㅋㅋㅋㅋㅋ,0.0,6개월 전
4,dianejung7760,혼사서 잘 노는 로지 님ㅋㅋ 진짜 혼여 시리즈는 로지님 영상이 젤 재밌어요,3.0,6개월 전
5,joen716,"강아지 만나면 말투,목소리 변하는건 다 똑같죠 ㅎㅎㅎㅎ짱귀에여ㅠㅠ",3.0,6개월 전
6,saeya0608,로지님 여행 보는 맛에 유투브 틀어요 ㅎㅎ 진짜 재미있어요,2.0,6개월 전
7,lovelyhyunS2,너무 힐링이네요️저도 달랏가보고싶어졌어요 혼자여행의 묘미를 느낄수있었답니다 내가 먹고 싶은거 일어나고싶을때 가고싶은곳 자유로이 시간을 보내는게 넘 좋아보여요🥹아쉬운건 메뉴쉐어못해서 많이못먹는거?고거하나네요ㅎㅎ 다음 여행지는 어디로가실지 너무 기대됩니다 🫶,2.0,6개월 전(수정됨)
8,aaaaaaaaaaa851,달랏 나혼산 보고 궁금했는데 대박 ,3.0,6개월 전
9,userhh8xf9ls6g,썸네일 너무 예뻐요,2.0,6개월 전
10,userhd8tf2pv9j,저 로지님 보고 가방 겟 했어요 ㅎㅎ 정말 뭐든 착붙이세요 배경이랑 영상도 굿굿 입니다,1.0,6개월 전
11,joahaneungeomaneum,혼자여행으로 로지님 영상 너모 잘보고 있어요! 쉬지 않고 말하는 브이로그를 별로 안 좋아해서 로지님 영상이 딱 취향이에요. 혹시 카메라 거치하고 촬영하실 때 삼각대 서용하시나여?,1.0,6개월 전
12,Jii2hye,"로지님! 달랏 여행을 가려고 준비중에 있는데 쿠브언무헤 카페는 치면 안 나오던데 뭐라고 치고 가셨나용,,??ㅠㅠ 로지님이 다니신 여행지만 다녀도 성공적인 여행일것 같아여 ◡̈ ෆ",0.0,5개월 전
13,userdv1fs2uz2b,꺅 로지님 영상 일등이라니 로지님 영상마다 따라가보고픈 맴.. 달랏 가고싶어졌어용,2.0,6개월 전(수정됨)
14,kirbyyyyyyyygo,로지님 여행 브이로그 하나도 빠짐 없이 잘 보고 있어요 🥹🥹🥹🥹️️️ 혹시 영상 처음에 입은 낙낙한 박스핏 흰 셔츠 정보 알 수 있을까요? 넘예뻐요,0.0,3개월 전
15,userlv7kr2qy1t,아웅!!!진짜!!!넘 잼있게 봤습니다~~대리만족꾸,1.0,6개월 전
16,useriq8lb2pl3f,"푸릇푸릇 상콤했던 달랏 끝 ~ 로지님 다음여행지두 정해지셨나여,,,? 스포해주세요 ㅎㅎ",1.0,6개월 전
17,yea9135,혼자 여행 너무 머싯어요! 혼자여행은 로지님께 젤 재밋어욬ㅋㅋㅋ 그 처음에 입은 하와데님 이름알 수 있을까용?,8.0,6개월 전
18,jieunlog0417,꺄ㅑ 기다렸어요 ,1.0,6개월 전
19,userml8qd2eq3k,로지님 여행영상 젤 좋아하는 1인.. 혹시 트렌치 안에 입으신 검정 반팔 정보 문의드려도 될까요?,0.0,6개월 전
20,vjkmin5016,넘나 기다리던영상이예요,3.0,6개월 전
21,userxe1qx9jw7w,"혼여행하면 로지님,,,잔잔한데 너무 재밌어요...트렌치코트 입은 날 티랑 바지 어디건가용? 이뻐여...",1.0,6개월 전
22,usernz3ph3HG,"おはよう御座います♪
ロージーさんで良いのかな？貴女1人旅が好きなんですね！
いつもオシャレでステキ️大人綺麗ですよ
たまに見る笑顔がキューーート️",0.0,6개월 전
23,hyeonjeon2684,냥냥먕먕냥냥먕냥 ㅋㅋㅋㅋㅋ  6:55,0.0,6개월 전
24,sunyoungkimso8xg,혼여행 정말 좋았습니다 ㅋ 위에 흰셔츠는 어디꺼일까요?,0.0,6개월 전
25,ollehmakeit3163,로지님 카키색 야상? 비슷한고? 이거는 어떤제품인지 알려주실수 있으실까요,1.0,6개월 전
26,lej961217,헐 저 방금전에 다음영상 언제올라오지? 생각했는데 텔레파시,1.0,6개월 전
27,userhe4kz2ui6y,썸넬 쏘 상큼,2.0,6개월 전
28,zhxjfsla,로지님 따라서 달랏 여행하려구 항공권 예매한 사람 저예요 저 !!!,0.0,2개월 전
29,Danicf4yv,로지님~ 전 영상에 가방 샀다고 했던 구독잔데요ㅎ 흰옷에 이염없으시던가요? 주의사항에 있어서 혹시나했거든요ㅋ 글고 로지님 아미라니 넘 반갑잖아용,0.0,6개월 전
30,jinminkim633,로지님 혹시 핸드폰 케이스는 어디껀가요?ㅎㅎㅎ,0.0,6개월 전
31,userzy3en8ib4j,에코백 니트백? 어디껄까용ㅎㅎ,0.0,5개월 전
32,userzy1yb3gx7r,자막이 배경에 묻혀서 잘 안보이네요ㅠㅠ,1.0,6개월 전
