,youtube_id,comment,like_num,comment_date
0,avakwon6749,진짜 여행 정보 보따리로 싸주는 로지님..ㅎㅎ 브이로그 보는 맛 나요 ,9.0,3개월 전
1,usercx4sx1ms7k,"진짜 믿고 보는 로지님 혼여영상… 
꼭 이 루트대로 여행해보고 싶어요 
성격이 조급해서 혼자 여행가서도 조급한데, 찐으로 로지님처럼 여유롭게 여행하고 싶어요….2탄도 완전 엄청 기대합니당…!!!!! ",5.0,3개월 전
2,useryi5yb5by3k,로지님 혼자여행은 힐링 그자체,0.0,3개월 전
3,yezeuzeu,로지님 여행 영상 보면 항상 여행하고 싶어져요  앞으로도 여행 많이 다녀주세용,0.0,2개월 전
4,Romistory105,돈안들고 여행기분느끼기 로지님 여행브이로그가 답!!!🥹,1.0,2개월 전
5,SLio9cn,"일본의 감성 누가 따라 갈 수 있을까요 포장하나하나 상품하나하나 정말 기획력 최고 !!!!!!!   이번에 가보니  관광객이
오사카는 중국 한국사람 천지 교토는 북유럽사람 도쿄는 한국 미국 프랑스사람들이 정말 많음요   또ㅠ가고싶다용",1.0,2개월 전(수정됨)
6,foryoureunever,언니 일본여행 영상만 계속 빨아보는 중이었는데… 이렇게 또 브이로그의 축복이…🥹🥹,1.0,3개월 전
7,yeonmood,교토 3박 4일이라니 ㅠㅠㅠ 너무 좋았겠다아 ️,0.0,3개월 전
8,Juhoyeon,로지 일본여행 최고...,51.0,3개월 전
9,userqk2hz7pj5f,"저도 곧 교토로 가게 될 것 같은데, 라탄 가게 정보 정말 감사드려요! 저도 길 잃지 않고 저기 도착했으면 좋겠네요... 🥹",0.0,3개월 전
10,sensemore1213,오 저도 교토 가는데 라탄 바구니 가게 저장해야겠어요!! 감사합니다=),0.0,1개월 전
11,scaffeine6022,일본에서 가장 좋아하는 곳이 교토입니다만.. 로지님 영상만으로도 기분 좋아지네요,3.0,3개월 전
12,jeniepppp,언니 2편 목빠지게 기다리고 있어용 ,0.0,2개월 전
13,sunyoungmoon1704,언니 교토 가신날 저도 같은 날짜에 간사이공항 도착했었는데 JR창구?에서 표 구입하시고 나가시는거 봤어용  저는 줄 서고 있어서 인사를 못드렸는데 내적으로 너무 반가웠답니당 ㅎㅎ 멀리서 봤지만 너무 이뿌세용!!,0.0,2개월 전
14,soosoo3721,로지님 영상보면 여행 가고싶어져요....🥹 오늘도 휴가 계획을 하나 세워봅니당,0.0,3개월 전
