,youtube_id,comment,like_num,comment_date
0,userrd8fb9ms2o,"音も絵も良すぎる上にロングバージョンまで用意してくれて、本当に大満足(*´꒳˘*♡)

今日も素敵な動画をありがとな",47.0,1개월 전
1,sweetfeeling817,모든 영상들이 볼때마다 신기 제 귀가 다 깨끗해진 기분,38.0,1개월 전
2,bo9usgkxcklst47p,綺麗になっていく様子がすごく良いですすっきりとします,7.0,1개월 전
3,NiihGabriellyh,Marcando presença 🩷  ️,6.0,1개월 전
4,smileasmr,Yay I love your videos!!! Keep posting I’ve been so bored in quarantine,7.0,1개월 전
5,FLOWERCHIRE,진짜 소독부터 짜는것까지 완전 세심 ㅎㅎㅎ,1.0,3주 전
6,Lethalport1515,Thank you for involving the back of the ear. I never see anyone do that but it just makes sense.,0.0,2주 전
7,selmaalvesaugustoaugusto7530,Adoro video com ouvidos.,2.0,1개월 전
8,ASMRHarmony117,I love it,1.0,1개월 전
9,userlb6ef2fl3p,롱 버전 있는거 너무 좋아요 !!!!! ,10.0,1개월 전
10,RaptorexAnimation,"Kedengarannya sangat santai, saya sangat menyukainya",3.0,1개월 전
11,mirukyi,"7:42  圧出

8:44 糸",6.0,1개월 전(수정됨)
12,usernp4oy1kx1c,홀리몰리 귀파기 영상이 왔다아아아아아 전설으ㅣ 레전드다,3.0,1개월 전
13,asukarian3063,序盤の耳表面だけ触ってる段階で耳穴がゾワゾワしたの初めてだ,2.0,1개월 전
14,tsumnico,I love it,0.0,1개월 전
15,sakusakuvo,演出、作り物だってわかってる、わかってるんだけど……何故ここまで放っておく！？ってなってしまうww,4.0,1개월 전
16,zarifasafizada8289,Feels nice,0.0,1개월 전
17,ckswo19,어우 아프겠다,0.0,13일 전
18,heese9189,"No but the needle  














Gil gulp








































Material girl ",3.0,1개월 전
19,sehunfeen8314,I love you video,0.0,1개월 전
