,youtube_id,comment,like_num,comment_date
0,sweetfeeling817,"항상 볼때마다 신기하고,
집중해서 보며, 듣게되요
이번 영상도 즐겁게 잘
감상할께요~수고하셨습니당 멋져요!!",6.0,2개월 전
1,usermi5bp6bw4x,今回も素敵な音ありがとうございます大好きです！,15.0,2개월 전
2,smileasmr,"I'm glad your content is really creative, keep it up!",3.0,1개월 전
3,usertc3ik3xo7q,"いやいや、健康上の理由って言っても今まで短期間で色んなアニメーション作ってたのがすごいんですよ...
まったく気になりません
このまとめは嬉しいです
いつもありがとな️",8.0,1개월 전
4,Gosuka0818,"健康上の理由なら仕方ないし、とてもこだわりを持っている＆唯一無二のものを作ってると思うからこそ、無理をせず自分のペースで作ってください！
動画いつもありがとな",15.0,2개월 전(수정됨)
5,usernr3pn8xe5v,피지 실제로도 저렇게 잘 뽑히면 얼마나 조아..,27.0,1개월 전
6,uservu4gw4ct6m,피지가 넘 시원하게 잘 압출됨!!,6.0,2개월 전
7,userxn7qh7lo9h,"역시.... 고퀄이다....
게다가 톡톡 속 시원햇!!!!!",1.0,2개월 전(수정됨)
8,freshyasmr,16:30 That was so satisfying,0.0,1개월 전
9,fariannagreen,Thank u Lulupang ,1.0,2개월 전
10,thuyenthanhtv8507,Âm thanh cũng khiến người khác thư giãn theo,0.0,1개월 전
11,useren9bo4xi7j,ニキビの動画好き！！,1.0,2개월 전
12,carmenrakotozafimisandratr3536,I love the animation,0.0,1개월 전
13,Reta13,هذا الفيديو حسسني انو الحياه سهلة,1.0,3주 전
14,moimerabet490,"I LOVE YOU 
I LOVE YOU 
I LOVE YOU 
I LOVE YOU 
I LOVE YOU 
I LOVE YOU 
I LOVE YOU 
I LOVE YOU 
I LOVE YOU 
I LOVE YOU 
I LOVE YOU 
I LOVE YOU 
I LOVE YOU 
I LOVE YOU 
I LOVE YOU 
I LOVE YOU 
I LOVE YOU",1.0,2개월 전
15,useriq4sh9vq5d,"お帰りなさい！
ありがとな！",1.0,2개월 전
16,kokisg6ms,Yea cause our face is mayo dispenser,0.0,2일 전
17,GotSakurasBack,Love you,0.0,1개월 전
18,pomoo326,OMG ONLY 104 LIKES,1.0,2개월 전
19,potato1000,와,0.0,2개월 전
20,wolf31230,看我發現什麼好東西,0.0,1개월 전
21,amyliaishk,WOWWW IM FAST,0.0,2개월 전
