,youtube_id,comment,like_num,comment_date
0,luchina,"️자막이 필요하신 분들은 한국어cc 자막을 활성화시켜 주세요️ / Please Turn on ENG cc️
제가 영상에서 사용한 마스카라는 #블랙 컬러, 파운데이션은 #19N1 바닐라 컬러입니다
여러분~! 오늘은 요즘 가장 핫한 메이크업 스킬, #가닥속눈썹 , #베이스메이크업 , #오버립 연출법 영상을 준비해봤습니다! 모두 초간단 기본적인 방법으로 준비했으니, 아마 여러분 모두 따라해보실 수 있을거에요 제가 올해부터 에뛰드 뷰티즌(=에뛰드 서포터즈)로 활동하게 되었죠?! 오늘 영상에서 사용한 제품 대부분 올리브영 기획세트가 많은데요, 모~든 장비들이 증정되는 이 기획세트들은 모두 2월 한 달동안 세일까지 들어간다고 합니다 이건 뭐… 안살이유가 없지 않나 싶어요..? 이번주는 주말까지 영상 업로드 쭉~ 대기 중이니 조금만 기다려주세요! 오늘도 영상 유익하게 시청해주셨길 바랍니다 항상 감사합니다, 여러분",8.0,7개월 전(수정됨)
1,usergd9lj2rd3t,"장인의 손길도 중요하지만 도구도 생각보다 많이 중요하지! 언니가 전에 줬던 브러쉬들 진짜 넘 좋아따
가닥 속눈썹 느낌은 트위저가 진짜 최고야",0.0,7개월 전
2,aramme,"오오… 너무 간단하고 깔끔한 영상
치나님도 속눈썹 숱이 많으셔서 가닥 속눈썹 만들기 어려우실 것 같아요!! 근데 아이라인 얇게 하고 저렇게 연출하니까 너무 청순해보여요 제품+장비 기획세트라니.. 와 에뛰드 너무 열일한다",0.0,7개월 전
3,Ssunnhee,"오오오 너무너무 유용해요🥹
가장 핫한 메이크업 스킬만 정리해주셨네요~ 완전 굿굿!!!",0.0,7개월 전
4,say8018,"메이크업할때 색조도 중요하지만, 도화지 같이 깔끔한 피부표현도 특히 중요하다고 생각하는데 늘 어렵더라구요ㅠㅠ뭔가 얼룩덜룩한 느낌도 들고 하는데 치나님처럼 금손은 아니지만, 도구의 힘을 빌려서 짱짱한 베이스 메컵 따라해봐야겠어용️",0.0,7개월 전
5,aarins,요런 메이크업 스킬 영상 너무 좋아요 그나저나 루치나님 눈.. 완전 워너비ㅠㅠ,0.0,7개월 전
6,lightwarmblue,로즈라일락 1차발색 장난 아니에요.. 엄할 것 같긴 한데 얇게 소량 펴고 베이스립이랑 같이 쓰면 얼추 톤에 맞을 것 같아서 완전 사고 싶어지네요. 쿨톤 픽싱틴트 귀하다 귀해!,0.0,7개월 전
7,my188cm,아니 마스카라 트위저 진짜 꿀팁이에요.. 색도 블랙 브라운 말고 그레이 색상 진짜 예쁘네요 오늘 영상도 잘 봤습니다~~,0.0,7개월 전
8,ryulilili,트위저랑 브러쉬가 증정?! 헐 미쳤다,0.0,7개월 전
9,userzn9ih1bx5l,오버립 하고싶어도 뭔가 번진거처럼 되서 잘 안했는데 유용한거같아요,0.0,7개월 전
10,SONto4ip,루치나Luchina님 오버립 메이크업 아티스트 잘하시네요.,1.0,7개월 전
11,userbj8qc9te1v,루치나님 너무 예쁘십니다,0.0,7개월 전
12,userbh1gj3fu4c,"아니아니!!!제가 안그래두 저거 트위저 기획나오구 왤케 가닥속눈썹 하기 힘든지,, 고민햇눈데 마침 영상 타이밍 모냐구요~~~~🫶🫶ㅎㅎㅎ오늘 먼가 머리스탈 바뀌신고 가튼 고런누낌~?~?~? 립도 넘 이뽀요 캬컁",0.0,7개월 전
13,usercq1tt3bx8z,헐 살 너무 빠지셨어여 ㅠㅠ이뻐여 ㅠㅠㅠㅠㅠ어머어머 저도 웨딩촬영 100일 남았어여 ㅠㅠ,0.0,7개월 전
14,yknozomi5123,日本語字幕お願いいたします,0.0,7개월 전
