,youtube_id,comment,like_num,comment_date
0,luchina,"ENG cc will be uploaded tomorrow 
아뉘,, 여러분🥹 요즘 겨쿨템 풍년이지 않나요…? 겨쿨로서 너무 너무 행복합니다아.. 오늘 영상에서 보여드린 제품들은 요즘 제가 가장 애정하는 겨쿨템인데요, 사실 보여드리고 싶은 제품들이 더 있다는건 안비밀… 조금 더 모아서 다른 제품들로도 영상 한 번 찍어볼게요! 엄마한테도 겨쿨 컨텐츠 찍자구.. 꼬시고 있는 중이니(?) 조금만 기다려주세요ㅎㅎ 저는 조만간 또 새로운 립리뷰와 추천템 영상 업로드하러 올게요 오늘도 제 영상과 함께 해주셔서 감사합니다, 여러분",12.0,9개월 전
1,say8018,어머님과의 겨쿨 콘텐츠도 넘나 기대되네요ㅎㅎ와중에 모자도 어쩜 이리 찰떡이신지 치나님 영상은 늘 눈이 즐겁고 다채롭고 모든게 갓벽 :),1.0,9개월 전
2,aramme,물오른 치나님 미모 보러 왔습니다…️ 겨울쿨톤템이라니 제목만 봐도 일단 너무 설레구요.. 프로포즈썰까지 들으니 제마음도 덩달아 두근두근해지네욥…🥹 오늘 메이크업 진짜 예뻐요️️,1.0,9개월 전
3,pettesue8874,역시 루치나님은 이런 쿨쿨한화장이 찰떡이에요><,0.0,9개월 전
4,Lycorisradiata,"루치나님! 진짜 타이밍 최고에요. 
제가 여름라이트 진단을 받고 의문이 들어서 잘 알아보고 다시 받았는데. 겨울다크였어요!!! 진짜 진짜 그 타이밍에 맞게 겨쿨 신상을 들고오시다니 
진짜 너무 조아요. 어머니와 콜라보 기대할게요. 
블러셔 진짜 공감이요.. 저는 25호여서 뭘 올리던 다 흰끼낭낭하게 올라가서 ㅋㅋㅋ ㅠ  그래도 이번 입큰 04는 괜찮더라구요.

+
행복한 미소 1:37 ㄱㅇㅇ",0.0,9개월 전
5,yoonsae,헛헛 프로포즈라니..!! 루치나님 너무너무 축하드려요오!  행복하세요 :),0.0,9개월 전
6,Ssunnhee,저는 루치나님 겟레디윗미 영상이 넘 좋더라구요️ 특히 요런 주말에 올라오는 영상은 절대 놓칠 수 없죠,0.0,9개월 전
7,inelcos,루치나 님도 잘어울리세용 ♡♡,0.0,9개월 전
8,velykim,"세상에.... 🫢 치나님 저도 2년전에 쿨톤 진단받긴했지만 요즘 안어울리는거 같아 다시 받아봤는데 “겨울쿨톤 비비드” 나왔어요!!! 
치나님 구독하고 있길 넘 잘했네요 진짜ㅜㅜ 
(소중한 겨쿨 유튜버...) 저는 형광연두가 제일 베스트더라구요...하....
겨쿨옷은...일상생활에서 입기 힘든 색이라 고민이지만 화장품만큼은 치나님 영상 참고해서 구매하기 좋을 것 같아 다행입니다!!ㅎㅎ 
앞으로 올라오는 영상들도 더더 기대할게용 
유튜버 오래오래 해주세요",1.0,9개월 전
9,mojungkim9513,썸네일 미쳣냐구우우웅ㅎㅎ화장은 당연히 ㅎ넘 예쁘고모자까지 넘 이뻐요!!!프로포즈 썰도 잘 볼께용오오,0.0,9개월 전
10,userbh1gj3fu4c,"내가 기다린거 이거이거 이거라구요,,, 요즘 진짜 미모 왠잏이에요 치나님️",0.0,9개월 전
11,Chairoseworld,쿨톤 만만세 오늘 메이크업도 너무 예쁘네요 쿨톤블러셔 저장해둡니다,0.0,9개월 전
12,zamiwayo,루치나님 오늘 메컵이 아주 그냥 홀리는 느낌 !!! 이버여..,1.0,9개월 전
13,chaewoo,치나야 행복해야해 꽃길만 걷장,0.0,9개월 전
14,ryulilili,최근들어 부쩍 예뻐지신 듯,1.0,9개월 전
15,son7092,루치나Luchina님 플럼 메이크업 아티스트 잘하시네요.,1.0,9개월 전
16,aarins,베레모 치나님 너무 좋아요,0.0,9개월 전
17,userbj8qc9te1v,루치나님 너무 예쁘십니다,0.0,9개월 전
18,userpu9ey3wn5b,루치나님 피브틴트 보자마자 시켜버렸는데..혹시 롬앤 딥샹그리아랑 어떤가요?,0.0,9개월 전
19,userre9jj8qz9x,ㅋㅋㅋ반지자랑 커엽ㅋㅋㅋㅋ빨리 유부의 세계로 들어오시죠ㅋㅋ,0.0,9개월 전
20,userzn9ih1bx5l,즐건 주말이에요 새벽인데 피부가 광이돌고 좋은거같아요 라이브때 제가 5주년이라고 했는데 맞는지 확인해보신다햇는데 맞나요?ㅎㅎㅇㅎ,3.0,9개월 전(수정됨)
21,jinseellee6863,17:03에 제품 설명이 잘못 올라온 거 같아요!,0.0,9개월 전
22,hongsi1004,"림프마사지 해주세요
푹 쉬어주시구요~^^
제딸이 다리가 잘 붓거든요.",0.0,9개월 전
