,youtube_id,comment,like_num,comment_date
0,usertk9hr1ck3w,애교살 너무 궁금했는데 감사해요 🩷 앞으로 자주자주 얼굴 보여주세요 언니이 🫶,0.0,1개월 전
1,gospel,전직 맥언니답게 어내추럴플러트 아시는분 ㅋㅋㅋ 전 베이스섀도우로만 썼는데 애교살에도 쓰면되는거였군요!!!! 하나 더 사서 단종안되는데 보탬이 되어야겠어요,0.0,1개월 전
2,useryb8ub8rm5x,이런거 누가 알랴주냐... ㅠㅠㅠㅠㅠㅠㅠ 우리언니가 알랴주지 ㅠㅠㅠㅠ 영상 자주 올려주세요 너무기다렸어요 애교살 처돌이에게 꿀팁..,0.0,1개월 전
3,usersm6pk2gq8r,이때 바르신 립컬러 너무 궁금해요!!!,1.0,1개월 전
4,userjp7fh2hz1k,애교살은 보통 웃을 때 튀어나온 부분에 만드는데. 루혜님은. 애교살크기를 어떻게 결정하는건가요?,0.0,2시간 전
5,useryh2ni3bc6q,컴백을 축하합니다,4.0,1개월 전
6,usersb9tv2vp4d,허억 당장 맥 제품들 사러가요 ㅠㅠㅠ🩷🩷🩷🩷,0.0,1개월 전
7,myjay2pm,얼굴 자주 보여주세용 완전완전 도움됐어요 저는 투쿨포스쿨꺼 쓰면 금방 지워지던데 저렇게하면 좀 더 지속력이 있는 편인가요~?,0.0,1개월 전
8,bja9925,애교없는 나한테..애교살 이라도 혜자영상이댜ㅠ0ㅠ,0.0,1개월 전
9,userch5vu6mq7j,또 언제 올라오나 기다리고 있어요ㅜㅜ,0.0,1개월 전
10,userko4pj7th7r,렌즈 초점때문에 신경쓰여 못보겠어요.,1.0,1개월 전
11,usersc7ou2os3e,컴백???,0.0,3주 전
