,youtube_id,comment,like_num,comment_date
0,userzg7qq5wu9n,"언니 너무 오래 기다렸어요.
언니 영상보면서 메이크업 공부 했었는데 
2년동안 소식이 없어서 너무 속상했어요.
영상 꾸준하게 올려주세요.
기다리고있을게요.
정말 응원해요!!!",3.0,2개월 전
1,userkm9op7iu4k,와대박 제눈을 의심했어요 루혜님 영상이 올라오다니ㅠㅠ!!너무 기쁘고 좋아용 다시 돌아오셔서🥹🥹️️쉬시는 동안 놀랍도록 더 이뻐지신 것 같아용 돌아와주셔서 진짜기뻐여️,1.0,2개월 전
2,usertk9hr1ck3w,루혜언니ㅠㅠㅠㅠㅠ 왜케 점점 예뻐져요.. 보고싶었어요 앞으로 자주자주 영상올려주세요 ️,0.0,2개월 전
3,usermh7ys8jg5i,루혜님 🥹🥹 돌아오셔서 물론 저희는 너무너무너ㅓㄴ무 좋치만 하나 걱정되는 건 루혜님이 앞으로 영상 업로드에 부담을 느끼실까 봐 그게 조금 걱정되네용 ..ㅠㅠ 항상 영상에 정성 가득 꿀팁 꿀정보 많이 가져오시는 루혜님인거 다들 아니까 자주 올려야 한다는 부담 느끼지 마시고 천천히~~오래 유튜브 해주세용 저는 그냥 몇 달에 한 번 올라와도 그냥 이번에는 어떤 이쁜 메컵 들고오셧을까ㅏ하구 새 영상이라는 거 자체에 행복할거에용^0^,0.0,2개월 전
4,userch5vu6mq7j,진짜 누구보다 너무 오래 기다렸어요 ㅜㅜ,10.0,2개월 전
5,bja9925,오랜만에 보게되서 넘됴아요  30호 누렁이 등장~,0.0,2개월 전
6,userzo6vi4pi7h,헐 얼마만이지 루혜님 메이크업 영상 엄청 기다렸어요 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,0.0,2개월 전
7,myjay2pm,복귀축하드려용!!!더예뻐지셨네용 ㅠ!!!!,0.0,2개월 전
8,useriq8mb2iv8g,ㅠㅠㅠㅠㅠ이게 무슨일이예요 !!!!!! 너무너무너무 보고싶었어요...♡ 다시 돌아오셔서 넘 좋아요 환영해요,1.0,2개월 전
9,leeeh7pl,와 ㅠㅠㅠㅠ 너무 오랜만이에요,0.0,2개월 전
10,userlm3ws1ib3m,헉 댑악 너무 기다렸어요 ,0.0,2개월 전
11,userzg7qq5wu9n,너무 기다렸어요 ㅠㅠ,0.0,2개월 전
12,useruu2pe6mr5j,"헐,,2년만 이네요ㅠㅠㅜ 누나 헤이즈누나 너무 이뻐요",0.0,2개월 전
13,iiillilililill,눈 앞머리 하이라이터 브러쉬 정보 궁금해요!,1.0,2개월 전
14,usergz1xo7de7k,헉 너무 오랜만이에요!,1.0,2개월 전
15,slowmoving7996,보고싶었어요 ㅠㅠ..!!!,0.0,2개월 전
16,choiheaeun,너무너무ㅠ반가워요 루혜님,1.0,2개월 전
