,youtube_id,comment,like_num,comment_date
0,joy,아니 매번 옷 리폼하는 아이디어도 미쳤는데 그걸 또 완벽하게 소화하는 예쁜 류스펜나님 볼 때마다 너무 짜릿해...,62.0,5개월 전(수정됨)
1,IAintWorriedRightNow,"4:12 케로로 귀엽다면서 바로 미간 넓다고 극딜 박으시는 거 너무 귀여우심,,,,,,, 케로로 착장 쇼츠 보고 넘 귀여워서 브이로그 까지 찾아봤네요ㅎㅎㅎㅎ 이 착장 제 최애!!!!!!!!!!!!",7.0,4개월 전
2,uservq2mk6pv5j,원래도 좋았는데 요즘 더 호감이에요ㅠㅠㅠ 진짜 뭔가 넘 귀여워지고 예뻐지고 그냥 본인 스타일을 찾으신 느낌?.. 하 구냥 넘 최고!!! 더 유명해지구 행복만 하세용,48.0,5개월 전
3,userwz6nn9tk2u,진짜 2020년부터 봐오면서 너무 좋아했던 경아님이였는데 화장이 진짜 발전 하시면서 더 빠지시고 그래서 이제는 경아님 진짜 인형같이요.... 물론 쌩얼도 눈이 부시지만.... 경아님 일본 영상 보면서 매일 힐링해요 앞으로도 행복하게  유튜브 생활하시면 좋겠어요 감사합니다ㅏㅏ,1.0,5개월 전
4,Marohazi,진짜 생각지도 않은 조합으로 코디하시는거 재밌어요... 진짜 너무 귀엽고 캐릭터처럼 살기 너무 재밌어요,2.0,5개월 전
5,uservf2vj9fu5o,"류스펜나님
제가 고딩이었을때즘부터 봤는데 늘 변치않고 꾸준히 업로드 해주셔서 너무 감사드려요
저는 해보지 못할 것들을 해주시는거 보고 늘 멋지다고 생각하고 최근에 캐릭터로 살아보기 하시는거 진짜 너무 천재이신거같아요 머리도 넘 잘어울리시구 그냥 너무 좋아한다고 이야기 하고 싶었어요... 
일본 시리즈 진짜 너무 멋져서 즐겁게 봤습니다",2.0,5개월 전
6,useruh2np9ht2v,내가 가서 사진 찍을 땐 저런 느낌 아니었는데 ••• 언니 무슨 화보를 찍고 왓서요!!  너무 예뿌🥹🥹 오늘 룩 진짜 너무 취향이에요️️️ 그리고 무엇보다 언니는 헤어 스타일이 다채로워서 보는 맛이 있어요 넘 조아,1.0,5개월 전
7,jayw6631,와 케로로 전시회 하는건 지금 첨 알았어요 어릴때 되게 재밌게 봤었는데 ㅋㅋㅋ속에 나시 별모양 옷핀으로 연결하신거 완젼 귀여워요 ㅠㅜㅜ,8.0,5개월 전
8,freak91,중간중간에 찍은 사진 나올때마다 넘 예뻐서 감탄함.. 모델이 이뻐서 그런가,1.0,5개월 전
9,yomogimochii,"쌈네일의 표정이 진짜 귀여워요ㅠㅠ 
ケロケロ可愛すぎる
日本でいつか会ってみたいな…",1.0,5개월 전(수정됨)
10,lj2132,케로로걸 너무 기요워요 온니 .. 눈도 땡글땡글 케로로와 닮았어요 ㅎㅎ ,0.0,5개월 전
11,userib9pm7ht5v,언니 바뀐 스타일도 너무너무너무 잘어울려요,0.0,5개월 전
12,userqz2wj7fx7i,"으악! 케로로 전시회 옆에 있는 지브리 소품샵 갈때마다 너무 재밌어 보였는데 한 번 가봐야겠어요 컨셉 너무 찰떡이라 어떤 캐릭터를 코디 하실지 기대하고 있습니다🥹🥹 저두 사빈 조아했어요,,,",1.0,5개월 전
13,sugkrdhT,진짜 언니 너무너무 귀여운거아뇨..인스타보고 진짜 사랑에 빠진듯,1.0,5개월 전
