,youtube_id,comment,like_num,comment_date
0,leeanfilm2485,"[오휘 당첨자 발표]

여러분  이번 이벤트도 많은 참여해주셔서 감사해요!

제가 데일리로 잘쓰고 있는 오휘 쿠션인만큼 여러분들도 받아보시고
잘 사용해주셨으면 좋겠어요 


1	김수*	887*
2	김수*	583*
3	박지*	347*
4	이고*	570*
5	김지*	204*
6	김민*	553*
7	이선*	929*
8	조효*	512*
9	허수*	722*
10	손보*	670*
11	신성*	282*
12	이예*	678*
13	이가*	796*
14	문다*	497*
15	김보*	948*
16	이아*	610*
17	김인*	346*
18	박서*	922*
19	이지*	294*
20	손하*	454*
21	정혜*	297*
22	이소*	518*
23	이선*	810*
24	윤주*	931*
25	정연*	684*
26	이연*	863*
27	정자*	308*
28	우유*	460*
29	안혜*	085*
30	김민*	147*",9.0,3개월 전
1,lj2132,진짜 너무 신기해요  오휘하면 엄마 화장대에 있을 법한 화장품이라는 인식 때문에 한 번도 관심을 가져본적이 없는데 세상에 청바지 느낌을 담아낸 쿠션이라뇨  개인적으로 힙하고 어디서도 본 적 없는 디자인이라 너무 놀랐어요  다양한 콜라보 제품이 나오는 요즘 가끔은 무분별한 콜라보에 지치기도 했는데 오히려 하나의 확실한 컨셉 아래 리안님의 영상을 보니 제품력도 전달하고자 하는 메시지도 비주얼도 완벽한 삼위일체예욤 ,4.0,3개월 전
2,userqx5qh4lc3z,"진짜 퍼스널이라는게 존재하지 않는 사람 같아요,, 어떻게 모든 메이크업이 다 찰떡 같이 어울리는지…. 미쳐따 진짜ㅠ.ㅠ 완전 인간 오휘잖아요,, 특히 꾸안꾸 룩은 넘사벽️‍ 여기에 오휘 연청쿠션도 한몫 한것 같아요!! 발림성부터 쿠션 디자인까지.. 완벽한것 같아요 저도 오휘 쿠션으로 언니처럼 예뻐지고 싶네용",1.0,3개월 전(수정됨)
3,uservb5ne7bc5f,"우와,, 오휘 이번 쿠션 디자인이 유니크 하고 감각적이면서 예쁜 거 같아요 연청 쿠션 데일리로 사용하기 너무 좋을 거 같아요 평소에 피부 표현을 자연스럽게 해주는 편인데요 딱히 트러블도 없고 잡티도 딱히 없는 편이어서 자연스럽게 톤업이 되는 연청 쿠션 사용해 보고 싶어요. . . ",3.0,3개월 전
4,userpi2ob1fr9e,오휘 쿠션 디자인 보면 고급스러운 느낌이 항상 들었는데 이번 쿠션 디자인은 유니크하면서 감각적인 느낌이라 이번 여름에 가지고 다니면서 패션 아이템으로 들고 다니기도 좋고 매일매일 간편하게 사용할수있어서 경험해보고 싶어요! 과하지 않게 톤업되는 점도 너무 마음에 들어요,0.0,3개월 전
5,7r0406," 오휘 진 쿠션 1호 

분명 커버력이 있는 파운데이션 제형의 쿠션이라구 리안 님께서 설명해 주셨는데 막상 리안 님이 바르신 걸 보니 톤업 쿠션 만큼 뜨거나 두꺼워 보임 없이 커버는 해주되 밀착력가 가벼움까지 갖추고 있어서 진짜 혁명 쿠션이라구 생각했어요! 중학생 때부터 수부지에 트러블 때문에 항상 얼굴을 두껍게 가리지 않으면 마스크를 낄 정도로 피부가 콤플렉스인데 리안 님과 오휘의 진 쿠션 덕분에 트러블은 가리면서도 가볍게 바를 수 있어 두껍게 커버함으로써 다시 여드름이 생기고 더 두껍게 커버하게 되는 악순환을 끊을 수 있을 것 같아요 🥹 게다가 톤업 쿠션은 손민수하러 인터넷에 당장 써치했는데 이번 여름에 딱 맞게 바르고 나서 36시간까지 지속력이 유지되구 또 저같은 수부지 인간들에게 촉촉한 수분의 텍스쳐 마무리와 속광까지 제공해 주다니 이건 아마 저를 위해 오휘 브랜드에서 이를 갈고 만들어 주신 게 아닌가... 정말 감동의 도가니였어요 ㅜㅜ
게다가 패키징은 또 무슨 일인지... 요즘 y2k 트렌드에 걸맞게 진짜 청바지의 데님 소재를 사용해서 쿠션 커버에 담아낸다니 진짜 디자인 천재들이 만든 것 같아요 🫢 보통 쿠션과 달리 완전 흔치 않은 디자인에 쿠션에 지문이 묻거나 먼지 묻어서 더러워질 걱정 없이 힙함과 영함 다 느껴서 진짜 반해버렸어요 🫣

사실 제 픽은 바로... 🫰리안  님, 오휘🫰랍니다 꾸안꾸든 꾸꾸꾸든 어떤 메이크업과 코디를 소화해 내시는 우리 리안 님의 안목 그리고 용안, 패션 감각까지 안 반할 수가 없고 오휘의 갓벽한 제품의 콜라보에 환호성을 내질렀답니다 
이렇게 구독자들께 좋은 기회 주신 리안 님과 오휘 브랜드께 무한 감사 드리며 ️ 저는 물러나려구 합니다!
이번 이벤트에 꼭 제게 꼭 행운이 따라줘서 여름 오휘와 함께 날 수 있기를 그리고 꼭 리안 웅니와 커플템... 손민수 할 수 있기를 빌어봅니다 ",0.0,3개월 전
6,jyc9975,오휘라는 브랜드는 평소 기초제품 쓰고 너무 만족해서 좋아하는 브랜드인데 얼티밋핏진쿠션이 출시되었다니 보자마자 데님소재 패키지부터 진짜 취향저격이에요! 연청쿠션은 톤업쿠션이라 평소 진한 메이크업 보다도 자외선 차단이랑 자연스러운 톤업 기능을 더 좋아하는 저에게 잘 맞을것 같아 꼭 써보고 싶어요 리안님 바르시는거 보니까 정말 촉촉하게 발리고 보송보송한 마무리감이 너무 기대되는 제품이네요 ,2.0,3개월 전
7,Hongseheee,"이번에 오휘 진쿠션 인스타에서 광고로 보고 디자인도 너무 예뻐서 헉 했는데,,,, 진짜 리안님 영상에서 보게 되니까 더 대박 좋아요,,, 저는 연청쿠션이요!!! 
요즘 파데프리 메이크업을 자주하기도 하고 다크닝도 많이 신경쓰는 편이라 커버력보다는 톤업과 편안함을 찾는 중이었는데 오휘 연청쿠션이 딱인 거 같아서 넘넘 마음에 드네요!!! 광고로 봤을 때 부터 이건 진짜 안 쓰더라도 관상용으로 내껄로 만들고 싶었는데 좋은 이벤트 열어주셔서 정말 감사합니다ㅜㅜㅜ
그리고 저는 개인적으로 예전에는 꾸꾸꾸 로 다녔는데 요즘은 간편하게 꾸안꾸 패션이 좋은거 같아요!!!! 그리고 연청 가방도 너무 귀ㅕ워요,,,,, 
오늘도 멋진 룩들과 좋은 제품 소개해주셔서 감사해ㅐ요!!!
항상 좋은 영상 감사하고 좋은 하루들만 보내세요",1.0,3개월 전
8,userht7jk2bi4m,"오휘브랜드가 이렇게 감각적인 브랜드였다니  리안님 덕분에 좋은 아이템 알아갑니다! 먼저 디자인부터 너무 유니크하고 써보고 싶게 만드는 .. 🫧🫧 연청 진청 두 가지 버전이라니 이건 정말 말잇못이에요 ,,,  데님 소재부터 트렌디하면서도 여러 기능까지 좋아버리니 더더욱 기대가 됩니다! 저는 쿠션기능 중 커버력을 가장 중요하게 생각하는 사람으로서 진청쿠션1호 원해요 ..  영상으로 봐도 밀착력이나 커버력이 좋은 것 같아 너무 감동 ㅜㅜ.. 이번 여름 오휘 브랜드만의 감각적인 쿠션 꼭 사용해보고 싶어요! 두 가지 쿠션 모두 사용해서 비교해주시니 넘 좋았어요 오늘도 영상 잘 봤습니다 ! 🩵",1.0,3개월 전
9,usersg7yi2gi7l,언니가 메이크업하는 것도 보고 예쁜 스타일링까지 보는 영상 너무 좋은데요,0.0,3개월 전
