,youtube_id,comment,like_num,comment_date
0,userpo1fv9mn4g,리안 진짜 옷 너무 잘 입음...스우파에서 처음 봤을 때 부터 너무 잘 입는다고 생각했음...글고 아이돌하고 같이 춘 댄스영상에서도 진짜...짱 간지나게 입음...,79.0,1년 전
1,woouniverse,성형 고백도 너무 귀엽게 하는 리안띠️ 너무 귀엽당ㅋㅋㅋㅋㅋㅋㅋㅋ,51.0,1년 전
2,usernu2cz8pq3o,아 역시 라치카 케미 너무 재밌고 ㅋㅋㅋ근데 여름 다갔는데 겨울옷도 올려주면 좋겟다!!!,11.0,1년 전
3,userez8qp2im4n,좀 귀여우신게 여름 다 갔는데 여름 맞이 룩북 올렸다고 ㅋㅋㅋㅋ 이거 나만 귀엽나,121.0,1년 전
4,usertw8rs8iz5l,언니 너무 예뻐요~ ㅎㅎ 좋은 패션 센스 배우고 갑니다! ㅎㅎ,0.0,3개월 전
5,usercx3yl5sr7n,영상 다 봤는데 엄청 행복하게 그것도 많이 웃는거야♡♡ 부끄러워서 웃는건가♡♡♡ 항상 당차고 최고다 리안띠♡♡♡♡♡♡,12.0,1년 전(수정됨)
6,useriw7nh8mg2e,08:08 두상이 소멸 직전이라 ㅋㅋㅋㅋㅋㅋㅋ  표현이 너무 웃기고 찰떡이에요!!,0.0,5개월 전
7,delikim9014,아 피넛님하고 케미 너무 웃겨요 ㅋㅋㅋㅋ 피넛님 자주 나와주세요 영상 잘 봤어요,2.0,11개월 전
8,lovey1284,분홍탑 입고 포즈 취하는게 너무 귀여워요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,5.0,1년 전(수정됨)
9,userek8bs7er7q,우아 진짜 이렇게 이쁘고 자연스럽다니ㅜㅜ 어쩜 저리 이쁘지! 부롭당..,1.0,9개월 전
10,YyyyyyyyynyyyyyyyyyY,시즌별로 해도 좋을 것 같아열 너모 재밌다리 앞으로 넘기기 두번 밖에 안 함 ٩꒰⍢ ꒱۶⁼³₌₃,2.0,1년 전
11,leeyouwon6969,이런 패션미 넘치는 분이셨구나...이런분이 우리딕형패션을 강제로 봐야했으니 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0.0,10개월 전
12,userhl7rz6uk2y,리안님 좀 풍성(?)해지셨다생각했는데 그래ㅛ군요 이제진짜몸매끝판왕이되셔서 뭘 입어도 사실 !!!!!!! 피넛님이랑 짐짜 친해보여섴ㅋㅋㅋㅋㅋㅋㅋ 즐겁게봘어용,48.0,1년 전
13,userro2qg2yv5c,"우영우씨.. 춤도 잘 하시고 못 하시는게
없네요",1.0,1년 전
14,llolloli,어지간히 좋아한대ㅋㅋㅋㅋㅋ피넛 표현력ㅋㅋㅋㅋㅋㅋㅋㅋ,4.0,1년 전
15,userzu4nr2ps1j,트릭스도 이제 방송에나왔는데 콜라보 다시 해주세요 뭔가 찡할꺼같아요,7.0,1년 전
16,ce9877,"ㅋㅋㅋㅋㅋㅋㅋㅋ넘  재미따...
룩북을 빙자한 리안띠 패션 갱생 프로젝트였넼ㅋㅋㅋ",2.0,1년 전
17,KJH90,내가 만약 여자였으면 저렇게 패션철학있는 피넛같은 언니나 친구있음 든든할듯 피드백받으며 패션감각 늘어나는느낌날듯,2.0,1년 전
18,userbj9qc9cs5d,"rian, now that trix is in SMF, would you do a video reacting to the dancing9 couple mission with him?",1.0,1년 전
19,twin1018123,리안님 ~ 댄싱나인~ 팬입니다~ 항상 밝은 모습~ 멋지십니다~,0.0,2개월 전
20,delikim9014,아니 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 진짜 꽁트냐구요 ㅠㅠㅠㅠㅠㅠ 너무 웃겨,2.0,11개월 전
21,userql9mn7bm9s,감행했다는 언니 쥰내 기여워,0.0,1개월 전
22,userkm5re7ts2c,"진짜 예쁘다 ㅠ  
트릭스 형님 한번 출연시켜주세요!",4.0,1년 전
23,dangchica,언니..영상 언제 올려줘.. 너무너무 보고싶어ㅠㅠㅠㅠㅠㅠ,2.0,3개월 전
24,userdd7gy2xq6s,리안님 오늘 너무 이쁘고 쿨하시당,1.0,1년 전
25,userom8sj5en7p,리안님 12시 시그니쳐 어떻게 벌써~ 12시네 안무는 누가 짜셨나요...리안님 제일 뒤에있아도 안무는 제일 잘보이고 움직임이 남달라서 아쉬웠어요 느낌만 잘살리면 화면에서 안무는 안보이던데 느낌 안무까지 완벽하신분ㅎㅎ,0.0,10개월 전
26,userkt3ep5lc5p,아 이조합 너무좋아요 ㅋㅋㅋ 오디오가 안비엌,0.0,11개월 전
27,umy7908,겨울룩북 원해요ㅠㅠㅠㅠㅠ,0.0,9개월 전
28,dangchica,온니 영상 언제나 환영..ㅠㅠㅠㅠㅠㅠㅠ,1.0,1년 전
