,youtube_id,comment,like_num,comment_date
0,userxc9jc8lh2i,"러브바이트 나오자마자 이쁘다고 생각했는데 리음님도 여뮽 추천이라길래 신기했어용ㅋㅋㅋ 여름인데 겨울보다 글로우틴트 출시도 많고 또 이뻐보이는 이유는 뭘까요?!🫢 핑크립들은 다 사랑입니다,, 헤라틴트 궁금했는데 전색상 다 올려주셔서 감사해용 ",5.0,2개월 전
1,Whosthere,이거 정말 좋아요…ㅠ 오늘 배송 와서 발라봤는데 글로즈 같은 제형에 발색력 좋고 무엇보다 깔꼼하게 지워져서 나중에 입술에 지저분하게 색 남아 있거나 그러지 않을 것 같아요!,1.0,2개월 전
2,komgoogum8514,헤라 틴트 넘 이뻐요!!!,1.0,2개월 전
3,userwi9xn3lz4s,까메오랑 vs 시퀀스 거의 색 차이 없나요?? 웜톤이라 둘중 고민중이예요 모가 더 예뿐가요 …??? 어떤게 더 핑크끼 도는지 궁금해용️,0.0,2개월 전
4,ranit3251,뭔가 청순 여리🫢 요즘 내가 바르고 싶은 컬러 분위기 ,0.0,2개월 전
5,avadakedavra5044,혹시 써머 라일락이랑 러브 바이트 색상 차이 좀 설명해주실 수 있을까요!!,0.0,1개월 전
6,userkb3jf3ks7q,요즘 날씨가 완전 확 더워졌는데 지금은 피부화장 어떻게 하시는지 궁금해요 전 베이스메이크업 영상이 완전 도움이 되었어서 너무나도 궁금합니닷..,0.0,2개월 전
7,userng2ws5dc2d,쿨 퍼즈랑 리들러랑 차이점이 뭐가 있을까요?? 여쿨라한테는 리들러가 나을까용..?,0.0,1개월 전
8,mjmj0828,착색되면서 컬러가 딥해지지는 않나요?,0.0,2개월 전
9,usernp1ph3zk8t,"봄윔라인데 평소 볼터치 꼭하고 코랄핑크립 자주발라용~ 립까지 진해지면 화장이 진해지더라구용~ 볼터치에 피치플리즈+시퀀스, 픽셀핑크+시퀀스 넘 과할까요?",0.0,2개월 전
10,useryq9up6ms2n,"가을뮤트는 무슨색이 좋을까요 누드,글로우 둘 다요!!!",0.0,2개월 전
11,userks2nr5xd9j,"리들러 뭔가 리뉴얼 전이랑 색이
달라진것 같아서 아쉬운...",0.0,2개월 전
12,iseul5694,영상 처음에 어떤 립 바르셨을까용?,0.0,2개월 전
13,SONto4ip,리음 lieum님 틴트 잘 바르시네요.,2.0,2개월 전
14,pth05070,영상 아이메이크업 너무 이뻐요ㅠ 메이크업 영상 올려주실 수 있나요???,0.0,2개월 전
15,userlx9wo5yn4j,썸네일 두 가지 색상 호수 알려주세용 !,0.0,1개월 전
16,userud6gl2xk2o,여쿨에게 픽셀핑크는 어떨까요...??,1.0,2개월 전
17,userqz1sq2vv6f,절대 쌍수 안했으면 좋겠는 눈이에요 진짜,13.0,2개월 전(수정됨)
18,akinuakinu2087,🩷🩷🩷,1.0,2개월 전
19,userci2ox6bt9e,아니언니 농협은행..,0.0,2개월 전
