,youtube_id,comment,like_num,comment_date
0,userwt6ko7wg8q,"꾸안꾸인데 얼굴이 다 해따,,,,",15.0,5개월 전
1,userbj8qc9te1v,맨지님 투명 메이크업이 너무 예뻐요,1.0,5개월 전
2,hemihyeminR,"맨지님,, 꾸안꾸 아니고 예또예,,, 예쁜사람 또 예쁘네 ️",8.0,5개월 전
3,userpi6ju9tq6u,치크 색 너무 이뻐요,1.0,5개월 전
4,leesublooming8337,조녜….아름다워…,2.0,5개월 전
5,userrn6ln1lj6x,다이슨맨지님 오랜만에 꾸안꾸 잘 배우고 갑니당~^^️️️,1.0,5개월 전
6,SsAaxv7kq,マンジちゃん超絶可愛くてメロメロです,1.0,5개월 전
7,userdt2yk1qd4m,새로운 집에서 행복한 일 가득하시길..,1.0,5개월 전
8,grape0502,너무예쁘다 맨지님봄웜메컵도해주세욤,1.0,5개월 전
9,userwn7wl8qp3u,렌즈는 어떤 건가용?,0.0,5개월 전
10,dlekdus0108,언닝 맨투맨 정보 알 수 있을까욤??!,4.0,5개월 전
11,kimkong0423,,1.0,5개월 전
12,userdg5cv7dr9w,맨지님 예뻐요^^ ㅡㅡ희진아는언니임니당,0.0,4개월 전
