,youtube_id,comment,like_num,comment_date
0,manzzi,"안녕하세요 여러분 아직 격리 중인 맨지입니다. . .ㅎ
전 그냥 환절기에 찾아온 감기인 줄 알았더니 알고 보니 코로나였어용.
저는 한참 유행할 때도 안 걸려서 저에게는 코로나가 안 올 줄 알고 오만했는데^^,, 결국 막차 탑승~!

병원 가니 요즘은 증세가 많이 약해졌다고 해서 별로 안 아프겠지 했는데
그래도 며칠은 고생한 듯 싶어욤.
혹시라도 아직 걸리지 않으신 분들 평생 피해 가시길 바라며. . 

오늘도 영상 함께해 주셔서 감사합니다",13.0,10개월 전(수정됨)
1,enoughcompany95,"이번 메이쿠업 깨끗하고 도시적이구 넘 옙브네요,, 맨지님 더 더 유명해지셨으면 좋겠는 오랜 팬의 바램",18.0,10개월 전
2,seulgison2000,새벽에 선물처럼 찾아온 맨지님 영상ㅜㅜ 추워진 날씨만큼 선선하고 차가운. 느낌의 메이크업이라 좋으네요옹 ㅜ 전 아직 코로나 안 걸렸는데ㅜㅜ무서우ㅏ유 맨지님 얼릉 나으시길 바랄게요!!!,2.0,10개월 전
3,kimkoi,"맨지님 영상 넘 기다렸어요 역시 오늘도 완벽한 깔끔 메콥,, 코로나 확진 되셨다니,, 저는 코가 너무 막혀서 귀 안까지 아팠던 기억이 있네요ㅠ 목이 부어서 아프시더라도 물 많이 드시고! 회복 잘 하고 오세요",1.0,10개월 전(수정됨)
4,translatorinchaos,"코로나셨다니 고생 많으셨네요ㅜㅜ 지금은 다 회복하셨기를 바랍니다~
11:16 여기서 카메라 보시는데 여기서부터 이후까지 계속 맨지님에게서 신세경님이 보여요....!!
저는 무쌍에 눈두덩이 살이 많아서 속눈썹 예쁘게 올리는 게 항상 어려운데, 오늘도 맨지님 속눈썹에 감탄하고 갑니다...☆",3.0,10개월 전
5,userte8px3lx4s,"맨지님️점점 이뻐지세요
몸건강 잘 챙기세요",1.0,10개월 전
6,pepper489,"저도 슈퍼면역자라고 자부하고 다니다가 8월쯤 코로나 걸려서 엄청 고생했던 기억이 나네요ㅠ_ㅠ
잘 챙겨드시고 완쾌하시길 바라요!! 오늘 영상도 정말 잘 보구 갑니다~",0.0,10개월 전
7,daramoh,허걱 맨지님 코로나셨다니...! 얼른 괜찮아지셨으면 좋겠어요! 썸네일만 봐도 너무 영롱하셔요,1.0,10개월 전
8,userpi6ju9tq6u,이번 영상도 완전 취향 저격..♡ 코로나 얼른 나으시길 바랄게요!,0.0,10개월 전(수정됨)
9,userpo3uv7fy1y,맨지님 메이크업 영상 너무너무 기다렸어요,1.0,10개월 전
10,userik9sf5wr9z,"ㅇ..예쁘다... 이번 생일 메이크업은 이거닷!!
오늘 영상도 잘 봤숩니당",0.0,10개월 전
11,uservn7nd2xx3w,여쿨라 가을 겨울 메이크업 이거랑 데이지크 누드포션 중 뭐가 더 활용도 좋을까요!! 맨지님 마음엔 뭐가 더 드시는지 궁금해용..,0.0,10개월 전
12,eunujoy8738,하 이제 봤다니 ㅠㅠㅠ진짜 넘 감사해요,0.0,10개월 전
13,LOVEmf3ic,이뽀지셨어요~~~~,0.0,10개월 전
14,userme7cm1to4s,약 잘 챙겨 드시고 건강하게 낳으시고요 ,0.0,10개월 전
15,userme7cm1to4s,애쉬핑크 메이크업이요 영상제목이네요 ,0.0,10개월 전
16,energy2454,립너무이쁘네요ㅜㅠ단종립이라니,0.0,1개월 전
17,eunujoy8738,헐!!!!!!! 저 왜 이제온거죠????? 저 왜 이제본거죠???? ㅠㅠㅠㅠ 놓치고 지나갈뻔 했다니 맙소사 ㅠㅠㅠㅠㅠㅠㅠㅠ 감사합니다 맨지님 어디쪽에계세요 절할게요!!! 진짜진짜 사랑해유 🫶🫶🫶 언농 나아시길 기도하께요!!!!!!!,0.0,10개월 전
18,SOYyr7th,립컬러 너무 예뻐요~ 대체품 찾을 수 있을까요,0.0,10개월 전
19,sweetrain3158,컨실러 셀트리온 뷰티몰 홈페이지 들어가면 팔아요! 저도 며칠전에 샀어욤 ㅎㅎ,0.0,10개월 전(수정됨)
20,userww8fn5rb1x,렌즈 알려쥬ㅓ여ㅠㅠㅠ,0.0,9개월 전
21,userzs9ps4kr6q,페이스쿨러 괜찮나요 고민중이에요 구매ㅜㅠ,0.0,10개월 전
22,userme7cm1to4s,예,0.0,10개월 전
23,userdd8he3fm3f,이영지님 닮으셨다,0.0,10개월 전
24,userbe9kv7xl9v,김혜윤님 닮으셨다,0.0,10개월 전
