,youtube_id,comment,like_num,comment_date
0,cindyrella0811,메리지히님 얼마전에 우연히 영상보고 옷입는데 너무 도움 많이되어서 팬됐어요ㅠㅠ 전문성도 있으면서 일상에서 활용하기 좋게 쉽고 명확하게 설명해주셔서 너무 좋아요! 목소리도 좋으셔서 힐링되구요…! 앞으로도 올라올 영상들이 너무 기대됩니당,12.0,10개월 전
1,yoniyonipark5466,"얼마전 영상 보자마자 바로 팬이 되버렸어요! 요즘 많은 패션 유튜버분들이 메리지히님 영상 따라하는 거 보니, 결국에는 top패션유튜버 되실 거 같아요! 미모도 뛰어나신데 어쩜 저렇게 설명을 잘하시는지! 오늘도 많이 배우고 갑니다!!! :)",52.0,10개월 전
2,leemj6032,"메리지히님, 요즘 미우미우가 대세이긴한데 솔직히 몸매가 좋아야 소화하겠다 싶어서 저랑은 거리가 먼 트렌드라고 생각했거든요 헌데 영상으로 보니 오버사이즈 자켓, 스타킹 양말, 발레리나 슈즈는 저도 도전해볼 수 있을 거 같아요!!! 영상 보면서 행복했답니다~~ 늘 진정성 있는 패션 정보 주셔서 감사드려요~~10만 곧 달성하실듯요!!!",13.0,10개월 전
3,Jisookim6,"영상이 넘 고퀄입니다ㅋㅋㅋㅋ
미우미우 나와서 당황했지만? 대체 가능한 아이템도 소개해주시고 응용 가능한 방법들도 말씀해주셔서 넘 좋아여",11.0,10개월 전
4,userjb9po7rp4d,최애 패션유튭 내용이 귀에 팍팍 박힘 대중성과 전문성이 두루두루 묻어나네용 영상이 너무 빨리 끝나는 느낌!! 매번 벌써 끝이구나!! 또 없나!! 외치게 되네요,18.0,10개월 전
5,userkr4sv4ki9x,색조합  너무 예뻐요. 모델도 최고네요,3.0,7개월 전
6,userqj4ox2he1n,"원래 구독 잘 안하는데 어어박 설명영상 보자마자 바로 구독했어요! 
심지어 남성인데도 영상보고 코디에 적용할 수 있을거 같아요. 
특히 색감면에서 코디에 사용하고 실루엣도 요즘 젠더리스 감성에서 사용할 수 있을거 같네요! 
좋은 영상 감사합니다!",9.0,10개월 전
7,dddubbi8621,진짜 저 정말 영상 올라온거 다봤어요ㅠㅠ 옷입는데 너무 도움 많이 되고 옷 안사도 알려주신 패션 팁대로 입다보니 집에 입을게 생기고 너무 좋네요ㅠㅠ,15.0,10개월 전
8,userdd2vj4mx1n,"비싸게 옷 사도 항상 실패라 추위가 왔지만 못사고 있었는데 메리지히님 영상보고 용기가 생겼어요~감사합니다.
오늘 영상은 좀 피곤해 보이시는데..
건강 잘 챙기세요♡♡♡",8.0,10개월 전
9,hkkwon2040,"영상볼 때마다 느끼지만 고민한 흔적들이 보여요~ 그래서 집중해서 보게 되네요^^
내용도 넘 좋구여~ ㅎㅎ
오늘도 꿀팁얻어 갑니다요♡
좋은 건 나눠야죠?
채널 전파!!!!!!! ㅋㅋㅋㅋ",10.0,10개월 전
10,shpark1017,항상 업로드 기다리고 있어용 ㅋ 입으시는 제품도 가격이 넘 비싸거나 하지 않아서 구매하기도 좋아요. 다른 유튜버분들은 넘 비싼옷들을 많이 입으셔서 참고만 하거든요.,7.0,10개월 전
11,aasdf8276,양말패선에한표.넘좋아요,3.0,7개월 전
12,shhan5145,가성비 좋은 아이템 위주로 알려줘서 구독 눌렀습니다! 많이 올려주세요~~,4.0,10개월 전(수정됨)
