,youtube_id,comment,like_num,comment_date
0,userbb6ji4ec1b,본판이 이쁘시니깐…아무 화장해도 다 잘어울리실 듯,19.0,7개월 전
1,Soomin0430,말투도 뭔가 친근하고 말도 재밌게 하셔서 영상이 더 재밌는거 같아요 ㅋㅋ️,0.0,1개월 전
2,usergg3fv5ss2p,몽몽씨 사랑스럽게 이쁘세요,4.0,8개월 전
3,userme7cm1to4s,메이크업이요이쁘게하시네요,4.0,8개월 전
4,usertd7ck7gd6b,눈썹까지 그리니까 예리가 보임,0.0,2개월 전
5,userbj8qc9te1v,몽몽님 너무 예뻐요,4.0,8개월 전
6,SONto4ip,몽몽이는 몽몽 mongmong님 풀메이크업 아티스트 잘하시네요.,5.0,8개월 전
7,userpp5ue8sq6v,처음 봤는데 말 너무 재밌게 하심 ..,2.0,7개월 전
8,userbz5kq2hg4p,렌즈 궁금해요 !,4.0,8개월 전
9,userkt8bz3sd8v,그 커버쿠션이니깐 두껍게 발리는게 당연한거에효...,2.0,5개월 전
10,userro2gn5bg8m,아니 선크림 짜면서 빵구 소리 넣는 거 뭐냐고요 개웃ㅕ겨 ㅋㅎㅋㅎㅋㅎㅋㅋㅋ ㅠㅠㅠ,0.0,6개월 전
