,youtube_id,comment,like_num,comment_date
0,Ohbaksaitsme,"교교 주인장님 원래도 유명하셨지만 ,,, 상대방의 키와 체형을 생각해 최적의 코디를 완성해내시는게 진짜 찰떡이에요 !!! 저도 꼭 교교님께 코디 받고싶어요 🥹🥹️",6.0,8개월 전
1,usergy5xt9se2b,"와 제가 좋아하는 박민선 배우님
무지개빅깔에서 뵙게되니 너무 반갑네요️",1.0,5개월 전(수정됨)
2,userxr7bh6zw2u,"보면 볼수록 저까지 기분이 좋아져서 1화부터 다시 정주행 하는 중이에요!!¡ 진짜 볼수록 교교언니의 스타일링 실력은 미치신 것 같아요…🫣 장점은 부각시키면서 단점은 쏙 보완해주는 게 진짜 어려운데, 그걸 다 해내는 교교언니는 그냥,,, 패션계의 교수님 그 잡채…….. 저도 기회가 된다면 꼭꼭 언니 스타일링 받아보고 싶어요🥹 평소 뚱뚱하다는 이유로 몸을 다 가리고 펑퍼짐한 옷만 입던 저에게 이런 영상은 대리만족이라도 느낄 수 있게 해주어서 너무 좋고, 이 채널 기획해주신 분들께 정말 감사하다는 생각 뿐입니다️ 교교언니, 그리고 무지개빅깔 채널에 힘써주시는 모든 분들께 이 댓글을 빌려 정말로 감사하다는 말씀 드리고 싶어요!!!",0.0,7개월 전(수정됨)
3,pigdinosaur1,"와...코디에 따라 사람이 달라보여요!! 너무 힙하다가 너무 귀엽다가 난리 그잡채,,",10.0,8개월 전
4,meeding2,와... 힙한거부터 러블리함까지 다 잘 어울리는데 안어울리는게 뭐에여..? 머리스타일이랑 바라클라바 이렇게 잘 소화해내는 사람 첨 봄,2.0,8개월 전
5,owo3520,이렇게 제이스타일 아이템들 코디해서보여주시니까 실물느낌 잘알겠어서 너무좋아요ㅎㅎㅎ 하나하나 다 귀여워용,0.0,7개월 전
6,nayounglim800,4번 너무 러블리ㅠㅠ 체형이랑도 잘 어울리고 포근한 베이지 색 넘 조아ㅠㅠ,0.0,7개월 전
7,userml1xv1mw8b,캐주얼한 룩 너무 참고하고싶네요.. 귀엽고 너무 자연스럽게 찰떡이에요!!,2.0,8개월 전
8,park2161,진짜 네번째룩이 제일 잘 어울려요 너무 귀여움,1.0,7개월 전
9,userto3uc8vk5d,ㅎㅎㅎ 너무 기여운 룩!! 저도 저런 스타일 너무 입고 싶었어요!,2.0,8개월 전
10,useriw3dd6ow6l,저도 키작녀라서 후다닥 들어왔는데 제가 좋아하는 배우님이시군요!,0.0,2개월 전(수정됨)
11,Youngyong,3번 상여자룩도 너무 잘어울리세용!!!!!!!!!!완전 뭔가 시크하면서 적당하게 캐주얼하고 섹시하면서 이쁜것같아용,4.0,8개월 전
12,soleil5730,아니 러블리해 사람 자체두요ㅠㅠㅠ 룩도 넘 힙하고 사랑스러워요,0.0,7개월 전
13,haertthrob,민선이 정말 귀엽자나용~,5.0,8개월 전
14,alseodtl1,"모야모야 너무 찰떡이예욧,,,",2.0,8개월 전
15,waaaaaahuser,민선님..너무 러블리하시다....사실 민선님 제2의 이름이 베이지 아니신가요...? 베이지 너무 잘어울리셔..,0.0,7개월 전
16,userri8oi6vx3o,"아니아니 넘이쁘잖앙 ~ 코디매치해주는거대박이양 ㅠ
나도 코디 신청하고싶당ㅜㅜ",1.0,7개월 전
17,userco8db4nx3o,교교언니ㅋㅋㅋㅋㅋ도라에몽이세요?ㅌㅋㅋㅋㅋ 배우 박민선님 인스타에서 봤는데 완젼 기여우시네요>< 4번째룩 진짜 잘 어울리세요 완전 인형같고 기엽고 얼굴 겁나 화사해짐요ㅋㅋㅋㅋㅋ,3.0,8개월 전
18,usereb7mc5zg5j,붕어빵 뭐야 ㅋㅋㅋㅋ 너무 귀욤하메요~,0.0,4개월 전
19,userzm2lm9ox3j,아이구 귀엽네 ㅜ.ㅜ,4.0,8개월 전(수정됨)
20,injiminshearteu,아잇 민선아ㅏ 왤케 긔여워 ㅜ ㅜ,2.0,7개월 전
21,useryy6gz6ks3o,민선님 첫 등장에 입은 바지 알수있으까요🥹,0.0,7개월 전
22,userwm2js7eb4m,"귀여우시네요~~^^
ㅈㅓ같은 체형은 코디하기힘든몸이라..
거미형 인간인데..저같은사람두코디가 되실까요?? 요즘엔 어떻게 입어야될지 멘붕오네요",0.0,5개월 전
23,usereg2qn1hk5l,엇 배우분 저 팬이에요 ㄱㅇㅇ,4.0,8개월 전
24,landa9152,나 이체널을 왜 지금발견한거야!!!!,0.0,7개월 전
25,gksrufl85,ㅋㅣ작퉁퉁은 사랑입니다 ㅇㅅㅇ,0.0,7개월 전
26,useroj4ht9qp8b,교교온니가 입은 코트 이름 알려주세요,0.0,7개월 전
