,youtube_id,comment,like_num,comment_date
0,userid3ux9zi9q,"헐 언니 원래도 내적 친밀감 제대로 갖고 있었는데, 이런 영상을 올려주시믄 진짜 진짜 너무 감사합니다️ 혼자 적적하게 화장할때 언니 영상 보면서 시끌벅적 룰루랄라 화장해야겠어요ㅎㅎ
어쩜 이렇게 울 언니는 피부도 좋고 화장도 잘하실까요?? 못하는게 뭔가요 언늬..",2.0,1년 전
1,userkw296jen,"전 손톱 연장하고 화장하기(특히 렌즈 탈착ㅜ) 너무 힘들던데 교교님은 손으로 베이스까지 바르시네요ㅋㅋㅋㅋㅋ 진짜 대박.... 투쿨 뽐뿌 제대로 오는 영상 잘보고갑니다.....️ 
+)ㅋㅋㅋㅋㅋㅋㅋㅋ맞아야지 정신차리는 피부 무엇ㅋㅋㅋㅋㅋㅋㅋㅋ",0.0,1년 전
2,usernn6sn1it3l,프라이머 용도가 베이스 전 모공을 먼저 채워주는 거라 베이스 바르기 전에 모공이 넓은 부위 위주로 프라이머를 먼저 소량 발라서 모공을 채워주는 거랍니다!! 프리이머를 너무 많이 바르면 오히려 유분 때문에 화장이 뜰 수 있으니 조심하시구여!! 울 교교언니 화장 너무 잘하시고 완전 금손이세요...,8.0,1년 전(수정됨)
3,NoneNonegn8xw,세상에... 제목에 낚여서 1위라니... 쌩얼도 귀여운 교교님. 늘 흥하시길️️️,1.0,1년 전
4,userul1zb4rh4b,"와.. 드뎌 메컵영상!!!
교교님은 쌩얼도 예쁘시네용",1.0,1년 전(수정됨)
5,blossomuni8912,프라이머는 선크림 베이스 전에도 바르는걸로 알고 있어요 그러니까 기초 스킨케어 후 바로 프라이머 선크림 베이스 이렇게 발라주시면 돼요~ 근데 너무 많이 쌓는것이 부담스러운 분들은 베이스랑 선크림이랑 같이 나오는 제품들 나오니까 그걸 사용하던지 모공이 많이 크지 않은 분들은 프라이머 기능도 조금 있는 베이스라든지 고렇게 사용하면 될 것 같아요,0.0,1년 전
6,userid3ux9zi9q,"오늘 맥 누드립 영업당하고 갑니다..
이 언니 뷰티 유튜버 해도 맨날 챙겨볼것 같아…️",1.0,1년 전
7,NoneNonegn8xw,청순여신 인정하고 갑니다. 와... 좋은 tip 알려주셔서 감사합니다,0.0,1년 전
8,userwi2by9hh7m,메이크업 영상 기다렸어요!!!,0.0,1년 전
9,userut9fb4sk2q,웅니...겟레디 또 찍어주세요..짱이야 넘 재밌어,0.0,4개월 전
10,eejp7kc,"헐헐 존버성공,,,메컵 채널 운영하셔도 될거같어요 넘 금손이신것",2.0,1년 전
11,bbangzz,"넘무 이쁜 울 온니 ,,!!",1.0,1년 전
12,userzu6eg2px2o,교교님 왓츠인마이백도 찍어주세용,0.0,1년 전
13,jungdalcom,"쥐파먹은 우리 교교 앞눈썹.... 
있었는데 없었습니다... ",2.0,1년 전
14,usersy29,와 눈썹의 중요성...^^,1.0,1년 전
15,usernl9id6cz7z,이끼같은거 따개비같은거라녘ㅋㅋㅋㅋㅋ아 귀여워요 ㅋㅋㅋㅋㅋㅋㅋㅋ,1.0,1년 전
16,userdr1sx8dr8t,에동이님도 존버....,0.0,1년 전
17,cocobong871,헤어도 궁금해요 제뷰아아아알 ㅠㅠ,0.0,9개월 전
18,userkc7ey8gk9g,"에이 교교님!이쁜거 이제아셧어요?ㅋㅋㅋ
저도 쌍수할껀데 나중에 메이크업할때 교교님보다못하더라도 조금은 예뻐지겟죠?",0.0,1년 전
19,uservk9jt1rf2e,모모랜드 주이닮으신듯ㅋㅋ,1.0,9개월 전
20,userod5uy5ek3u,그냥 예뼜던거구나..,1.0,9개월 전
21,haigabavtqqtfafahg,몸이랑 얼굴색 차이가 ,1.0,6개월 전
